order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5934,0.5064,0.4986,0.4978,0.9451
Swifts and Hummingbirds,21,909,0.5996,0.5914,0.5761,0.5788,0.9197
"Hawks, Kites, Eagles, and Allies",29,1260,0.6524,0.6485,0.6399,0.6395,0.8873
Loons,6,226,0.6637,0.6851,0.6170,0.6360,0.9204
"Gulls, Terns, and Allies",26,1038,0.6840,0.6603,0.6615,0.6545,0.9277
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6855,0.6166,0.6279,0.6162,0.9115
Nightjars,1,39,0.6923,0.7500,0.6923,0.7200,0.7949
Caracaras and Falcons,7,346,0.7341,0.7515,0.7138,0.7281,0.9104
"Ducks, Geese, and Swans",70,2420,0.7835,0.7728,0.7569,0.7502,0.9492
Woodpeckers,16,843,0.7948,0.7864,0.7939,0.7878,0.9798
Perching Birds,265,12539,0.7976,0.7831,0.7712,0.7702,0.9462
Grebes,9,375,0.8080,0.8672,0.8068,0.8349,0.9547
Cuckoos,3,113,0.8230,0.7857,0.8222,0.8031,0.9469
"Pelicans, Herons, Ibises, and Allies",21,983,0.8342,0.8297,0.8266,0.8251,0.9593
Pigeons and Doves,7,359,0.8440,0.8729,0.8370,0.8534,0.9276
Owls,9,426,0.8521,0.8596,0.8408,0.8481,0.9437
"Plovers, Sandpipers, and Allies",32,1573,0.8582,0.8785,0.8567,0.8636,0.9777
Cranes and Rails,6,200,0.8700,0.8817,0.7922,0.8216,0.9250
Parrots,1,28,0.8929,1.0000,0.8929,0.9434,1.0000
"Grouse, Quail, and Allies",10,342,0.9094,0.9123,0.8774,0.8922,0.9678
Storks,1,56,0.9107,0.9623,0.9107,0.9358,0.9464
Kingfishers and Allies,1,60,0.9667,0.9206,0.9667,0.9431,0.9667
