species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0370,0.1111,0.0370,0.0556,0.8889
Northwestern Crow,1,19,0.0526,0.1111,0.0526,0.0714,0.9474
Bank Swallow,1,27,0.0741,0.2857,0.0741,0.1176,0.6667
Fish Crow,1,30,0.1333,0.4000,0.1333,0.2000,0.8000
Pacific Wren,1,21,0.1429,0.2727,0.1429,0.1875,0.8571
Juniper Titmouse,1,25,0.2400,0.5000,0.2400,0.3243,0.8800
Barrow's Goldeneye,2,60,0.2500,0.8571,0.2429,0.3707,0.9500
Greater Scaup,2,73,0.2603,0.5611,0.2512,0.3464,0.7808
Black Guillemot,2,32,0.3125,0.4167,0.3333,0.3701,0.9688
Broad-winged Hawk,2,55,0.3455,0.3991,0.3415,0.3681,0.7455
Cassin's Vireo,1,36,0.3611,0.3333,0.3611,0.3467,0.8611
California Gull,2,66,0.3636,0.4492,0.3395,0.3861,0.7879
Black-capped Chickadee,1,60,0.3667,0.6875,0.3667,0.4783,0.8833
Neotropic Cormorant,1,38,0.3684,0.5185,0.3684,0.4308,0.9211
Bell's Vireo,1,29,0.3793,0.6111,0.3793,0.4681,0.7241
Pacific Loon,2,47,0.3830,0.5033,0.4370,0.4665,0.9362
Greater Yellowlegs,1,59,0.3898,0.5750,0.3898,0.4646,0.9661
Plumbeous Vireo,1,41,0.4146,0.4595,0.4146,0.4359,0.8537
Great-tailed Grackle,1,60,0.4167,0.5435,0.4167,0.4717,0.8167
Mourning Warbler,1,52,0.4231,0.7097,0.4231,0.5301,0.8269
Chimney Swift,1,33,0.4242,0.4242,0.4242,0.4242,0.9091
Tundra Swan,1,28,0.4286,0.5455,0.4286,0.4800,1.0000
Swainson's Hawk,3,93,0.4301,0.4549,0.4128,0.4315,0.8387
Mew Gull,1,23,0.4348,0.4348,0.4348,0.4348,0.7826
Allen's Hummingbird,2,101,0.4356,0.5280,0.3976,0.4484,0.8911
Mississippi Kite,1,50,0.4400,0.5946,0.4400,0.5057,0.7200
Cave Swallow,1,34,0.4412,0.4286,0.4412,0.4348,0.6765
Common Tern,1,60,0.4500,0.6750,0.4500,0.5400,0.9500
Great Cormorant,2,64,0.4531,0.5071,0.4375,0.4690,0.8906
Hairy Woodpecker,1,60,0.4667,0.6087,0.4667,0.5283,1.0000
Cliff Swallow,1,30,0.4667,0.5385,0.4667,0.5000,0.8667
Brandt's Cormorant,1,33,0.4848,0.5714,0.4848,0.5246,0.8788
Rusty Blackbird,1,48,0.5000,0.6486,0.5000,0.5647,0.8333
Vaux's Swift,1,28,0.5000,0.3784,0.5000,0.4308,0.8571
Western Gull,2,59,0.5085,0.4769,0.4627,0.4630,0.8475
Boat-tailed Grackle,1,60,0.5167,0.5082,0.5167,0.5124,0.9000
Hoary Redpoll,1,29,0.5172,0.5556,0.5172,0.5357,0.8966
Boreal Chickadee,1,42,0.5238,1.0000,0.5238,0.6875,0.8095
American Crow,1,57,0.5263,0.3371,0.5263,0.4110,0.8772
Common Raven,1,57,0.5263,0.3333,0.5263,0.4082,0.9123
Western Screech-Owl,1,34,0.5294,0.6207,0.5294,0.5714,0.9412
Black-chinned Hummingbird,2,109,0.5321,0.5546,0.5541,0.5537,0.8165
Hutton's Vireo,1,39,0.5385,0.6000,0.5385,0.5676,0.9744
Oak Titmouse,1,37,0.5405,0.6061,0.5405,0.5714,0.8649
Pacific-slope Flycatcher,1,59,0.5424,0.7111,0.5424,0.6154,0.9322
White-winged Scoter,2,57,0.5439,0.6733,0.5426,0.6008,0.9474
Cordilleran Flycatcher,1,31,0.5484,0.3400,0.5484,0.4198,0.9032
White-throated Swift,1,40,0.5500,0.7586,0.5500,0.6377,0.9250
Least Flycatcher,1,60,0.5500,0.6471,0.5500,0.5946,0.8833
Mottled Duck,1,29,0.5517,0.6667,0.5517,0.6038,0.9655
Northern Harrier,2,120,0.5583,0.7293,0.5583,0.6160,0.7583
Sharp-shinned Hawk,2,116,0.5603,0.5464,0.5603,0.5532,0.9224
Broad-tailed Hummingbird,2,73,0.5616,0.6095,0.5247,0.5619,0.9178
Golden Eagle,2,72,0.5694,0.6100,0.5738,0.5886,0.9028
Eastern Wood-Pewee,1,49,0.5714,0.5385,0.5714,0.5545,0.9388
Red-naped Sapsucker,1,54,0.5741,0.7209,0.5741,0.6392,0.9815
Costa's Hummingbird,2,58,0.5862,0.4398,0.4801,0.4577,0.9310
Western Sandpiper,1,51,0.5882,0.6667,0.5882,0.6250,1.0000
Cooper's Hawk,2,117,0.5897,0.5245,0.5899,0.5532,0.9316
Black-tailed Gnatcatcher,1,22,0.5909,0.5000,0.5909,0.5417,0.8636
Townsend's Solitaire,1,37,0.5946,0.7586,0.5946,0.6667,0.9459
Prairie Falcon,1,42,0.5952,0.6410,0.5952,0.6173,0.8810
Clay-colored Sparrow,1,60,0.6000,0.6000,0.6000,0.6000,0.9333
Brewer's Blackbird,2,91,0.6044,0.6529,0.5987,0.6246,0.8571
Black-crested Titmouse,1,33,0.6061,0.7143,0.6061,0.6557,0.9697
Calliope Hummingbird,2,89,0.6067,0.7146,0.6159,0.6567,0.9101
Western Wood-Pewee,1,49,0.6122,0.5085,0.6122,0.5556,0.8980
Pelagic Cormorant,1,26,0.6154,0.5161,0.6154,0.5614,0.8846
Rufous Hummingbird,2,87,0.6207,0.5609,0.6243,0.5892,0.9655
Cassin's Kingbird,1,35,0.6286,0.6667,0.6286,0.6471,0.9714
Black Tern,1,35,0.6286,0.7857,0.6286,0.6984,0.8571
Glaucous-winged Gull,2,60,0.6333,0.7500,0.6340,0.6863,0.9333
Ruby-throated Hummingbird,2,114,0.6404,0.6532,0.6435,0.6460,0.9561
Black-legged Kittiwake,2,42,0.6429,0.5423,0.6465,0.5819,0.9048
Lark Bunting,2,51,0.6471,0.7547,0.6760,0.7105,0.8627
Snow Goose,2,54,0.6481,0.7057,0.6429,0.6727,0.9074
Trumpeter Swan,1,37,0.6486,0.5333,0.6486,0.5854,0.9730
Eastern Meadowlark,1,40,0.6500,0.7647,0.6500,0.7027,0.9750
Abert's Towhee,1,29,0.6552,0.7037,0.6552,0.6786,0.9310
Merlin,1,58,0.6552,0.7308,0.6552,0.6909,0.8448
Brewer's Sparrow,1,35,0.6571,0.5610,0.6571,0.6053,0.9714
Peregrine Falcon,2,77,0.6623,0.6451,0.6332,0.6376,0.8961
Hooded Oriole,2,78,0.6667,0.7440,0.6419,0.6843,0.9487
White-winged Crossbill,2,52,0.6731,0.8369,0.6500,0.7268,0.9038
Herring Gull,2,101,0.6733,0.5380,0.6613,0.5921,0.9802
Gray-crowned Rosy-Finch,1,37,0.6757,0.7143,0.6757,0.6944,0.9730
Brown-capped Rosy-Finch,1,34,0.6765,0.6970,0.6765,0.6866,0.9412
White-faced Ibis,1,34,0.6765,0.6970,0.6765,0.6866,0.9706
Bay-breasted Warbler,2,62,0.6774,0.8258,0.6677,0.7282,0.8871
Lesser Yellowlegs,1,60,0.6833,0.5775,0.6833,0.6260,0.9833
Lesser Scaup,2,79,0.6835,0.5291,0.6838,0.5962,0.9873
Brown-headed Nuthatch,1,38,0.6842,0.8125,0.6842,0.7429,0.8421
Red-tailed Hawk,3,150,0.6867,0.6609,0.6833,0.6668,0.9000
Black-billed Cuckoo,1,32,0.6875,0.6111,0.6875,0.6471,0.9062
Verdin,1,32,0.6875,0.8462,0.6875,0.7586,0.9062
Bronzed Cowbird,1,32,0.6875,0.6111,0.6875,0.6471,0.9375
Louisiana Waterthrush,1,42,0.6905,0.6905,0.6905,0.6905,1.0000
Common Nighthawk,1,39,0.6923,0.7500,0.6923,0.7200,0.7949
Gadwall,2,75,0.6933,0.5690,0.6208,0.5934,0.9333
Red-shouldered Hawk,2,76,0.6974,0.6972,0.6974,0.6965,0.9211
Ring-billed Gull,2,96,0.6979,0.5753,0.6806,0.6219,0.9271
Warbling Vireo,1,60,0.7000,0.8571,0.7000,0.7706,0.9500
Cape May Warbler,1,60,0.7000,0.9130,0.7000,0.7925,0.8667
Violet-green Swallow,1,37,0.7027,0.6341,0.7027,0.6667,0.8649
Rough-legged Hawk,2,64,0.7031,0.5421,0.6625,0.5948,0.9219
Winter Wren,1,54,0.7037,0.6032,0.7037,0.6496,0.9630
Yellow-billed Magpie,1,27,0.7037,0.7917,0.7037,0.7451,0.8889
Pine Warbler,1,48,0.7083,0.7234,0.7083,0.7158,0.8958
Pygmy Nuthatch,1,38,0.7105,0.6750,0.7105,0.6923,0.8684
Red-throated Loon,2,59,0.7119,0.8723,0.6640,0.7408,0.8814
Snowy Egret,1,49,0.7143,0.8537,0.7143,0.7778,0.9592
Cackling Goose,1,14,0.7143,0.7143,0.7143,0.7143,0.9286
Eastern Phoebe,1,60,0.7167,0.8113,0.7167,0.7611,0.9167
Canyon Towhee,1,46,0.7174,0.6000,0.7174,0.6535,0.9565
Purple Martin,2,71,0.7183,0.7356,0.7198,0.7263,0.9437
Crested Caracara,1,54,0.7222,0.9750,0.7222,0.8298,0.8889
Bonaparte's Gull,1,58,0.7241,0.8235,0.7241,0.7706,0.9483
Great Black-backed Gull,2,73,0.7260,0.7552,0.7355,0.7361,0.8904
Wrentit,1,37,0.7297,0.7714,0.7297,0.7500,0.8378
Hermit Warbler,1,37,0.7297,0.7500,0.7297,0.7397,0.9730
Florida Scrub-Jay,1,26,0.7308,0.8261,0.7308,0.7755,1.0000
Mexican Jay,1,26,0.7308,0.9048,0.7308,0.8085,1.0000
Orchard Oriole,3,93,0.7312,0.7289,0.6744,0.6933,0.9785
Black Scoter,2,41,0.7317,0.7333,0.7464,0.7156,0.8537
Cattle Egret,1,49,0.7347,0.8571,0.7347,0.7912,0.9592
Phainopepla,2,53,0.7358,0.6795,0.7190,0.6982,0.8679
Northern Rough-winged Swallow,1,42,0.7381,0.5439,0.7381,0.6263,0.9048
Yellow-rumped Warbler,4,214,0.7383,0.7045,0.7244,0.7127,0.9860
Curve-billed Thrasher,1,46,0.7391,0.8718,0.7391,0.8000,0.9565
MacGillivray's Warbler,1,46,0.7391,0.7727,0.7391,0.7556,0.9565
Ladder-backed Woodpecker,1,50,0.7400,0.7708,0.7400,0.7551,0.9600
Canada Goose,1,31,0.7419,0.8519,0.7419,0.7931,0.8710
Western Tanager,2,86,0.7442,0.7707,0.6895,0.7182,0.9651
Blackburnian Warbler,1,51,0.7451,1.0000,0.7451,0.8539,0.9020
Pigeon Guillemot,2,59,0.7458,0.5962,0.6639,0.6254,0.9322
Horned Grebe,2,95,0.7474,0.8160,0.7583,0.7856,0.9789
Blue Grosbeak,2,100,0.7500,0.8221,0.7352,0.7754,0.9400
Common Loon,2,120,0.7500,0.6797,0.7500,0.7007,0.9333
