class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,0,1,16,0.0000,0.0000,0.0000,0.0000,1.0000,Fox Sparrow (Sooty) (12)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,4,21,23,0.1600,0.1481,0.1538,0.1481,0.8889,Common Raven (13)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,5,27,0.3750,0.1000,0.1579,0.1000,0.9667,Lesser Scaup (Female/Eclipse male) (15)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,1.0000,Dark-eyed Junco (Slate-colored) (7)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,4,17,17,0.1905,0.1905,0.1905,0.1905,0.8571,"Anna's Hummingbird (Female, immature) (6)"
344,Fish Crow,Fish Crow,Perching Birds,30,5,13,25,0.2778,0.1667,0.2083,0.1667,0.8667,American Crow (8)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,15,21,0.2500,0.1923,0.2174,0.1923,0.8077,Herring Gull (Immature) (6)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,4,13,15,0.2353,0.2105,0.2222,0.2105,0.8947,American Crow (10)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,6,22,19,0.2143,0.2400,0.2264,0.2400,0.7600,Western Gull (Immature) (5)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,7,8,34,0.4667,0.1707,0.2500,0.1707,0.8293,"Rufous Hummingbird (Female, immature) (23)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,0,23,1.0000,0.1481,0.2581,0.1481,0.7037,Tree Swallow (6)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,27,25,0.2895,0.3056,0.2973,0.3056,0.9167,Blue-headed Vireo (16)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,5,8,15,0.3846,0.2500,0.3030,0.2500,0.8500,Pigeon Guillemot (Breeding) (12)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,6,16,0.4545,0.2381,0.3125,0.2381,0.8571,Winter Wren (16)
