order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6271,0.6292,0.6095,0.6119,0.9307
Skuas and Alcids,4,91,0.6484,0.6471,0.5958,0.6026,0.9231
"Hawks, Kites, Eagles, and Allies",29,1260,0.6810,0.6840,0.6673,0.6664,0.9032
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6855,0.6756,0.6225,0.6291,0.9263
"Gulls, Terns, and Allies",26,1038,0.7110,0.6751,0.6804,0.6733,0.9547
Loons,6,226,0.7478,0.7350,0.7071,0.7152,0.9336
Caracaras and Falcons,7,346,0.7688,0.7906,0.7483,0.7669,0.9220
Nightjars,1,39,0.7692,0.9091,0.7692,0.8333,0.8974
"Ducks, Geese, and Swans",70,2420,0.8322,0.8047,0.8054,0.7979,0.9657
Perching Birds,265,12539,0.8356,0.8201,0.8118,0.8108,0.9605
Grebes,9,375,0.8373,0.8668,0.8368,0.8494,0.9440
Woodpeckers,16,843,0.8375,0.8287,0.8373,0.8324,0.9858
Cuckoos,3,113,0.8496,0.8199,0.8408,0.8279,0.9646
Pigeons and Doves,7,359,0.8579,0.8839,0.8590,0.8696,0.9499
Owls,9,426,0.8615,0.8577,0.8527,0.8543,0.9695
"Pelicans, Herons, Ibises, and Allies",21,983,0.8667,0.8712,0.8582,0.8611,0.9746
"Plovers, Sandpipers, and Allies",32,1573,0.8773,0.8783,0.8791,0.8765,0.9777
Cranes and Rails,6,200,0.9000,0.8697,0.8252,0.8415,0.9450
Storks,1,56,0.9286,0.9630,0.9286,0.9455,0.9643
Kingfishers and Allies,1,60,0.9333,0.9333,0.9333,0.9333,0.9500
"Grouse, Quail, and Allies",10,342,0.9444,0.9306,0.9200,0.9230,0.9766
Parrots,1,28,0.9643,1.0000,0.9643,0.9818,1.0000
