species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1481,0.1600,0.1481,0.1538,0.8889
Bank Swallow,1,27,0.1481,1.0000,0.1481,0.2581,0.7037
Fish Crow,1,30,0.1667,0.2778,0.1667,0.2083,0.8667
Northwestern Crow,1,19,0.2105,0.2353,0.2105,0.2222,0.8947
Pacific Wren,1,21,0.2381,0.4545,0.2381,0.3125,0.8571
Cassin's Vireo,1,36,0.3056,0.2895,0.3056,0.2973,0.9167
Greater Scaup,2,73,0.3288,0.5156,0.2942,0.3589,0.8904
California Gull,2,66,0.3333,0.3929,0.3151,0.3451,0.8333
Neotropic Cormorant,1,38,0.3421,0.4815,0.3421,0.4000,0.9211
Black Guillemot,2,32,0.3438,0.6209,0.3750,0.4673,0.8438
Mew Gull,1,23,0.3913,0.4091,0.3913,0.4000,0.8696
Brandt's Cormorant,1,33,0.3939,0.7647,0.3939,0.5200,0.8788
Broad-winged Hawk,2,55,0.4182,0.5099,0.4224,0.4535,0.8909
Mourning Warbler,1,52,0.4231,0.5946,0.4231,0.4944,0.8269
Great Cormorant,2,64,0.4375,0.6494,0.4167,0.4952,0.9062
Mississippi Kite,1,50,0.4400,0.6667,0.4400,0.5301,0.7000
Cave Swallow,1,34,0.4412,0.6522,0.4412,0.5263,0.7647
Common Raven,1,57,0.4561,0.4561,0.4561,0.4561,0.9649
Greater Yellowlegs,1,59,0.4576,0.6000,0.4576,0.5192,0.9831
Allen's Hummingbird,2,101,0.4653,0.5842,0.4187,0.4669,0.9208
Great-tailed Grackle,1,60,0.4667,0.5283,0.4667,0.4956,0.8667
Juniper Titmouse,1,25,0.4800,0.6000,0.4800,0.5333,0.9600
Swainson's Hawk,3,93,0.4839,0.4566,0.4553,0.4466,0.8495
Western Gull,2,59,0.4915,0.4779,0.4598,0.4669,0.9153
American Crow,1,57,0.5088,0.4328,0.5088,0.4677,0.8772
Western Wood-Pewee,1,49,0.5102,0.5556,0.5102,0.5319,0.8776
Chimney Swift,1,33,0.5152,0.6800,0.5152,0.5862,0.9394
Black-capped Chickadee,1,60,0.5167,0.7750,0.5167,0.6200,0.9167
Boat-tailed Grackle,1,60,0.5333,0.5079,0.5333,0.5203,0.9500
Barrow's Goldeneye,2,60,0.5333,0.8762,0.5257,0.6571,0.9667
Least Flycatcher,1,60,0.5500,0.6735,0.5500,0.6055,0.8833
White-faced Ibis,1,34,0.5588,0.8636,0.5588,0.6786,0.9412
Black-chinned Hummingbird,2,109,0.5688,0.5222,0.5864,0.5522,0.8899
Costa's Hummingbird,2,58,0.5690,0.4577,0.4871,0.4719,0.9483
Eastern Wood-Pewee,1,49,0.5714,0.5091,0.5714,0.5385,0.9592
Cackling Goose,1,14,0.5714,0.5714,0.5714,0.5714,0.9286
Pelagic Cormorant,1,26,0.5769,0.5172,0.5769,0.5455,1.0000
Northern Harrier,2,120,0.5833,0.8006,0.5833,0.6349,0.8167
Hoary Redpoll,1,29,0.5862,0.8500,0.5862,0.6939,0.8966
Bell's Vireo,1,29,0.5862,0.6296,0.5862,0.6071,0.8621
Western Screech-Owl,1,34,0.5882,0.5714,0.5882,0.5797,0.9706
Cliff Swallow,1,30,0.6000,0.4186,0.6000,0.4932,0.8333
Vaux's Swift,1,28,0.6071,0.4595,0.6071,0.5231,0.9286
Western Sandpiper,1,51,0.6078,0.7045,0.6078,0.6526,0.9804
Hairy Woodpecker,1,60,0.6167,0.6852,0.6167,0.6491,0.9833
Pacific Loon,2,47,0.6170,0.6548,0.6407,0.6329,1.0000
Brown-capped Rosy-Finch,1,34,0.6176,0.6562,0.6176,0.6364,0.9706
Boreal Chickadee,1,42,0.6190,1.0000,0.6190,0.7647,0.8333
Sharp-shinned Hawk,2,116,0.6207,0.6370,0.6207,0.6277,0.9397
Black Tern,1,35,0.6286,0.7333,0.6286,0.6769,0.9714
Broad-tailed Hummingbird,2,73,0.6301,0.6266,0.5991,0.6124,0.9041
Rufous Hummingbird,2,87,0.6322,0.5230,0.6308,0.5691,0.9655
Common Tern,1,60,0.6333,0.8261,0.6333,0.7170,0.9500
Clay-colored Sparrow,1,60,0.6333,0.7451,0.6333,0.6847,0.9333
Glaucous-winged Gull,2,60,0.6333,0.6929,0.6340,0.6621,1.0000
Peregrine Falcon,2,77,0.6364,0.6418,0.6168,0.6289,0.9091
Golden Eagle,2,72,0.6389,0.7191,0.6381,0.6688,0.8750
Calliope Hummingbird,2,89,0.6404,0.6640,0.6596,0.6617,0.9213
Brewer's Blackbird,2,91,0.6484,0.6923,0.6320,0.6597,0.9231
MacGillivray's Warbler,1,46,0.6522,0.5769,0.6522,0.6122,0.9565
Merlin,1,58,0.6552,0.7600,0.6552,0.7037,0.8966
Pacific-slope Flycatcher,1,59,0.6610,0.8298,0.6610,0.7358,0.9322
Ruby-throated Hummingbird,2,114,0.6667,0.6809,0.6694,0.6703,0.9386
Red-naped Sapsucker,1,54,0.6667,0.7059,0.6667,0.6857,0.9815
Rusty Blackbird,1,48,0.6667,0.7273,0.6667,0.6957,0.8750
Red-shouldered Hawk,2,76,0.6711,0.6259,0.6711,0.6455,0.9211
Cordilleran Flycatcher,1,31,0.6774,0.4468,0.6774,0.5385,0.9677
Tundra Swan,1,28,0.6786,0.6333,0.6786,0.6552,1.0000
Eastern Screech-Owl,1,50,0.6800,0.6415,0.6800,0.6602,0.9800
Red-tailed Hawk,3,150,0.6800,0.6228,0.6444,0.6300,0.9333
Black Scoter,2,41,0.6829,0.6931,0.6974,0.6868,0.9512
Plumbeous Vireo,1,41,0.6829,0.7179,0.6829,0.7000,0.9512
Cooper's Hawk,2,117,0.6838,0.5863,0.6829,0.6303,0.9402
Snow Goose,2,54,0.6852,0.7379,0.6841,0.7036,0.9259
Bronzed Cowbird,1,32,0.6875,0.5116,0.6875,0.5867,0.8750
Black-billed Cuckoo,1,32,0.6875,0.7097,0.6875,0.6984,0.9375
Black-legged Kittiwake,2,42,0.6905,0.5391,0.6808,0.6015,0.9524
Florida Scrub-Jay,1,26,0.6923,0.7200,0.6923,0.7059,1.0000
Herring Gull,2,101,0.6931,0.5963,0.6840,0.6359,0.9703
Ross's Goose,1,23,0.6957,0.5714,0.6957,0.6275,1.0000
Anna's Hummingbird,2,106,0.6981,0.6852,0.6952,0.6901,0.9623
White-throated Swift,1,40,0.7000,0.9333,0.7000,0.8000,0.9000
White-winged Scoter,2,57,0.7018,0.7412,0.7019,0.7187,0.9649
Trumpeter Swan,1,37,0.7027,0.7222,0.7027,0.7123,1.0000
Rough-legged Hawk,2,64,0.7031,0.6752,0.7125,0.6903,0.9531
Bay-breasted Warbler,2,62,0.7097,0.8221,0.6959,0.7278,0.9355
Canada Goose,1,31,0.7097,0.7857,0.7097,0.7458,0.8065
Yellow-bellied Sapsucker,1,59,0.7119,0.6774,0.7119,0.6942,0.9661
Red-throated Loon,2,59,0.7119,0.6859,0.6640,0.6733,0.8814
Caspian Tern,1,49,0.7143,0.6731,0.7143,0.6931,0.9796
Prairie Falcon,1,42,0.7143,0.7143,0.7143,0.7143,0.9286
Brewer's Sparrow,1,35,0.7143,0.5952,0.7143,0.6494,0.9143
Lesser Yellowlegs,1,60,0.7167,0.5375,0.7167,0.6143,0.9833
Hooded Oriole,2,78,0.7179,0.7949,0.7043,0.7467,1.0000
Purple Martin,2,71,0.7183,0.8038,0.7206,0.7416,0.9437
Abert's Towhee,1,29,0.7241,0.9130,0.7241,0.8077,0.9655
Lark Bunting,2,51,0.7255,0.8205,0.7385,0.7773,0.9412
Black-crested Titmouse,1,33,0.7273,0.8889,0.7273,0.8000,1.0000
Pine Warbler,1,48,0.7292,0.8537,0.7292,0.7865,0.9375
Oak Titmouse,1,37,0.7297,0.7297,0.7297,0.7297,0.9730
Mexican Jay,1,26,0.7308,0.8636,0.7308,0.7917,1.0000
Orchard Oriole,3,93,0.7312,0.6877,0.6738,0.6800,0.9570
Snowy Egret,1,49,0.7347,0.8571,0.7347,0.7912,0.9796
Northern Gannet,2,80,0.7375,0.7695,0.6750,0.7184,0.8625
Western Grebe,1,42,0.7381,0.9118,0.7381,0.8158,1.0000
Great Black-backed Gull,2,73,0.7397,0.7368,0.7477,0.7344,0.9726
Red Crossbill,2,59,0.7458,0.7586,0.7688,0.7593,0.9153
Semipalmated Sandpiper,1,60,0.7500,0.7500,0.7500,0.7500,1.0000
Downy Woodpecker,1,60,0.7500,0.6923,0.7500,0.7200,0.9833
White-winged Crossbill,2,52,0.7500,0.8048,0.7500,0.7746,0.9615
Violet-green Swallow,1,37,0.7568,0.7568,0.7568,0.7568,0.8649
American Black Duck,1,37,0.7568,0.8235,0.7568,0.7887,0.9459
Townsend's Solitaire,1,37,0.7568,0.6667,0.7568,0.7089,0.9730
Mottled Duck,1,29,0.7586,0.7586,0.7586,0.7586,0.9655
Bonaparte's Gull,1,58,0.7586,0.8000,0.7586,0.7788,0.9655
Fox Sparrow,3,119,0.7647,0.5247,0.5890,0.5529,1.0000
Yellow-rumped Warbler,4,214,0.7664,0.7426,0.7490,0.7446,0.9860
Warbling Vireo,1,60,0.7667,0.9388,0.7667,0.8440,0.9333
Mourning Dove,1,60,0.7667,0.8846,0.7667,0.8214,0.9000
Cape May Warbler,1,60,0.7667,0.8846,0.7667,0.8214,0.9000
Hutton's Vireo,1,39,0.7692,0.8333,0.7692,0.8000,0.9231
Common Nighthawk,1,39,0.7692,0.9091,0.7692,0.8333,0.8974
Ring-billed Gull,2,96,0.7708,0.6797,0.7444,0.7056,0.9271
Lesser Scaup,2,79,0.7722,0.6042,0.7838,0.6789,0.9747
Black-tailed Gnatcatcher,1,22,0.7727,0.5000,0.7727,0.6071,0.8636
Eastern Meadowlark,1,40,0.7750,0.7750,0.7750,0.7750,0.9750
Yellow-billed Magpie,1,27,0.7778,0.8750,0.7778,0.8235,1.0000
Crested Caracara,1,54,0.7778,0.9767,0.7778,0.8660,0.8333
