true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,28,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),24,False,True
Greater Yellowlegs,Lesser Yellowlegs,24,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),22,False,True
Boreal Chickadee,Chestnut-backed Chickadee,21,False,True
Common Raven,American Crow,21,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,20,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),20,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),20,False,True
Western Wood-Pewee,Eastern Wood-Pewee,19,False,True
Downy Woodpecker,Hairy Woodpecker,19,False,True
Boat-tailed Grackle,Great-tailed Grackle,17,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",17,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",17,False,True
Pacific Wren,Winter Wren,16,False,True
Hairy Woodpecker,Downy Woodpecker,16,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),15,False,True
Fish Crow,American Crow,15,False,True
Western Sandpiper,Semipalmated Sandpiper,15,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),15,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",14,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,14,False,True
Chihuahuan Raven,Common Raven,14,False,True
Lesser Yellowlegs,Greater Yellowlegs,14,False,True
Eastern Wood-Pewee,Western Wood-Pewee,14,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),14,False,True
California Gull (Adult),Herring Gull (Adult),13,False,True
Western Screech-Owl,Eastern Screech-Owl,13,False,True
Eastern Screech-Owl,Western Screech-Owl,13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),13,True,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),13,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),13,False,True
"Black-chinned Hummingbird (Female, immature)","Anna's Hummingbird (Female, immature)",12,False,True
American Crow,Common Raven,12,False,True
Mourning Warbler,Nashville Warbler,12,False,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),12,False,True
Black-crested Titmouse,Tufted Titmouse,12,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),12,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",12,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),11,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),11,False,True
Common Tern,Forster's Tern,11,False,True
Hermit Thrush,Swainson's Thrush,11,False,True
Hoary Redpoll,Common Redpoll,11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),11,False,True
Eastern Meadowlark,Western Meadowlark,11,False,True
Tundra Swan,Trumpeter Swan,11,False,True
California Gull (Immature),Herring Gull (Immature),10,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),10,True,True
Cassin's Kingbird,Western Kingbird,10,False,True
Loggerhead Shrike,Northern Shrike,10,False,True
Trumpeter Swan,Tundra Swan,10,False,True
Blue Grosbeak (Female/juvenile),Indigo Bunting (Female/juvenile),10,False,True
Northwestern Crow,American Crow,10,False,True
Canyon Towhee,California Towhee,10,False,True
Snowy Egret,Little Blue Heron (Immature),10,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),10,False,True
Snow Goose (White morph),Ross's Goose,10,False,True
