class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
351,Bank Swallow,Bank Swallow,Perching Birds,27,0,2,27,0.0000,0.0000,0.0000,0.0000,0.4815,Northern Rough-winged Swallow (9)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,1,3,29,0.2500,0.0333,0.0588,0.0333,0.7333,Lesser Scaup (Female/Eclipse male) (13)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,1,3,18,0.2500,0.0526,0.0870,0.0526,0.7895,American Crow (10)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,13,24,0.1333,0.0769,0.0976,0.0769,0.7692,Herring Gull (Immature) (9)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,2,9,19,0.1818,0.0952,0.1250,0.0952,0.6190,"Black-chinned Hummingbird (Female, immature) (7)"
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,3,10,22,0.2308,0.1200,0.1579,0.1200,0.6800,Herring Gull (Immature) (10)
344,Fish Crow,Fish Crow,Perching Birds,30,4,12,26,0.2500,0.1333,0.1739,0.1333,0.7667,American Crow (15)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
377,Pacific Wren,Pacific Wren,Perching Birds,21,3,5,18,0.3750,0.1429,0.2069,0.1429,0.9048,Winter Wren (16)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,5,16,22,0.2381,0.1852,0.2083,0.1852,0.9630,Common Loon (Nonbreeding/juvenile) (13)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,12,31,47,0.2791,0.2034,0.2353,0.2034,0.7966,"Ruby-throated Hummingbird (Female, immature) (17)"
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,7,21,22,0.2500,0.2414,0.2456,0.2414,0.7931,"Calliope Hummingbird (Female, immature) (14)"
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,5,7,22,0.4167,0.1852,0.2564,0.1852,0.8519,Common Raven (14)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,1,21,0.8000,0.1600,0.2667,0.1600,0.8800,Common Goldeneye (Female/Eclipse male) (20)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,7,17,21,0.2917,0.2500,0.2692,0.2500,0.7500,Chimney Swift (6)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,7,15,22,0.3182,0.2414,0.2745,0.2414,0.7586,Least Flycatcher (4)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,7,14,23,0.3333,0.2333,0.2745,0.2333,0.9000,Rough-legged Hawk (Dark morph) (8)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,7,8,28,0.4667,0.2000,0.2800,0.2000,0.8571,Orchard Oriole (Female/Juvenile) (12)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,2,13,0.6000,0.1875,0.2857,0.1875,0.8125,Fox Sparrow (Sooty) (8)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,10,28,20,0.2632,0.3333,0.2941,0.3333,0.7000,Swainson's Hawk (Light morph ) (6)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,8,18,0.4286,0.2500,0.3158,0.2500,0.8333,Double-crested Cormorant (Immature) (11)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,9,4,34,0.6923,0.2093,0.3214,0.2093,0.8140,Lesser Scaup (Breeding male) (22)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,6,9,16,0.4000,0.2727,0.3243,0.2727,0.8182,"Anna's Hummingbird (Female, immature) (7)"
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,6,11,14,0.3529,0.3000,0.3243,0.3000,0.9000,Pigeon Guillemot (Breeding) (12)
346,Common Raven,Common Raven,Perching Birds,57,21,47,36,0.3088,0.3684,0.3360,0.3684,0.8596,American Crow (21)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,13,26,23,0.3333,0.3611,0.3467,0.3611,0.8056,Blue-headed Vireo (8)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,10,23,14,0.3030,0.4167,0.3509,0.4167,0.8333,Red-tailed Hawk (Dark morph) (3)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,12,15,29,0.4444,0.2927,0.3529,0.2927,0.8537,Herring Gull (Adult) (13)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,12,17,26,0.4138,0.3158,0.3582,0.3158,0.8158,Double-crested Cormorant (Immature) (9)
134,Mississippi Kite,Mississippi Kite,"Hawks, Kites, Eagles, and Allies",50,15,15,35,0.5000,0.3000,0.3750,0.3000,0.5600,Golden Eagle (Adult) (4)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,15,33,16,0.3125,0.4839,0.3797,0.4839,0.9677,Pacific-slope Flycatcher (7)
