order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.5743,0.5577,0.5428,0.5416,0.9076
"Hawks, Kites, Eagles, and Allies",29,1260,0.5968,0.6042,0.5804,0.5823,0.8659
Skuas and Alcids,4,91,0.6374,0.5515,0.5789,0.5589,0.9231
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6437,0.5832,0.5967,0.5820,0.9091
"Gulls, Terns, and Allies",26,1038,0.6522,0.6164,0.6235,0.6143,0.9287
Nightjars,1,39,0.6667,0.6667,0.6667,0.6667,0.7692
Loons,6,226,0.6814,0.6833,0.6264,0.6461,0.9336
Caracaras and Falcons,7,346,0.7225,0.7255,0.6972,0.7055,0.8931
Cuckoos,3,113,0.7257,0.7691,0.7200,0.7426,0.9292
"Ducks, Geese, and Swans",70,2420,0.7500,0.7318,0.7187,0.7095,0.9281
Woodpeckers,16,843,0.7568,0.7538,0.7566,0.7530,0.9561
Perching Birds,265,12539,0.7698,0.7584,0.7444,0.7439,0.9306
Grebes,9,375,0.7760,0.8442,0.7714,0.8034,0.9440
"Pelicans, Herons, Ibises, and Allies",21,983,0.7803,0.7852,0.7762,0.7776,0.9369
Pigeons and Doves,7,359,0.7911,0.8272,0.7874,0.8050,0.9081
Cranes and Rails,6,200,0.8200,0.8147,0.7418,0.7679,0.9000
Owls,9,426,0.8239,0.8191,0.8170,0.8175,0.9437
"Plovers, Sandpipers, and Allies",32,1573,0.8322,0.8452,0.8286,0.8309,0.9676
Storks,1,56,0.8571,0.8889,0.8571,0.8727,0.9286
Parrots,1,28,0.8571,1.0000,0.8571,0.9231,0.9643
"Grouse, Quail, and Allies",10,342,0.8918,0.9399,0.8704,0.9005,0.9503
Kingfishers and Allies,1,60,0.9167,0.9167,0.9167,0.9167,0.9333
