species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.0000,0.0000,0.0000,0.0000,0.4815
Northwestern Crow,1,19,0.0526,0.2500,0.0526,0.0870,0.7895
Fish Crow,1,30,0.1333,0.2500,0.1333,0.1739,0.7667
Greater Scaup,2,73,0.1370,0.4712,0.1213,0.1901,0.7808
Pacific Wren,1,21,0.1429,0.3750,0.1429,0.2069,0.9048
Chihuahuan Raven,1,27,0.1852,0.4167,0.1852,0.2564,0.8519
California Gull,2,66,0.2273,0.3376,0.2063,0.2554,0.7879
Barrow's Goldeneye,2,60,0.2333,0.7846,0.2229,0.3417,0.9167
Bell's Vireo,1,29,0.2414,0.3182,0.2414,0.2745,0.7586
Vaux's Swift,1,28,0.2500,0.2917,0.2500,0.2692,0.7500
Boreal Chickadee,1,42,0.2857,1.0000,0.2857,0.4444,0.8095
Mississippi Kite,1,50,0.3000,0.5000,0.3000,0.3750,0.5600
Neotropic Cormorant,1,38,0.3158,0.4138,0.3158,0.3582,0.8158
Tundra Swan,1,28,0.3571,0.4167,0.3571,0.3846,0.8571
Juniper Titmouse,1,25,0.3600,0.7500,0.3600,0.4865,0.8400
Cassin's Vireo,1,36,0.3611,0.3333,0.3611,0.3467,0.8056
Plumbeous Vireo,1,41,0.3659,0.4286,0.3659,0.3947,0.8049
Common Raven,1,57,0.3684,0.3088,0.3684,0.3360,0.8596
Rusty Blackbird,1,48,0.3750,0.5455,0.3750,0.4444,0.8125
Black Guillemot,2,32,0.3750,0.4765,0.4000,0.4349,0.8750
Cave Swallow,1,34,0.3824,0.4643,0.3824,0.4194,0.7353
Mourning Warbler,1,52,0.3846,0.5405,0.3846,0.4494,0.7308
Great Cormorant,2,64,0.3906,0.4405,0.3625,0.3896,0.9062
Mew Gull,1,23,0.3913,0.4500,0.3913,0.4186,0.8696
Black-capped Chickadee,1,60,0.4000,0.7273,0.4000,0.5161,0.9000
Boat-tailed Grackle,1,60,0.4167,0.5102,0.4167,0.4587,0.8333
Brandt's Cormorant,1,33,0.4242,0.5185,0.4242,0.4667,0.9091
Cliff Swallow,1,30,0.4333,0.5000,0.4333,0.4643,0.8333
Broad-winged Hawk,2,55,0.4364,0.5326,0.4357,0.4792,0.8727
Swainson's Hawk,3,93,0.4409,0.3750,0.4295,0.4000,0.8065
Pacific Loon,2,47,0.4468,0.6190,0.4926,0.5486,0.9787
Hoary Redpoll,1,29,0.4483,0.5200,0.4483,0.4815,0.8276
Western Wood-Pewee,1,49,0.4490,0.4314,0.4490,0.4400,0.8776
Black-chinned Hummingbird,2,109,0.4495,0.4641,0.4717,0.4634,0.8716
Chimney Swift,1,33,0.4545,0.5000,0.4545,0.4762,0.9091
Black-crested Titmouse,1,33,0.4545,0.6522,0.4545,0.5357,0.8788
Western Gull,2,59,0.4576,0.4455,0.4172,0.4276,0.8983
Greater Yellowlegs,1,59,0.4576,0.5870,0.4576,0.5143,0.9661
Golden Eagle,2,72,0.4583,0.4817,0.4690,0.4748,0.8889
Broad-tailed Hummingbird,2,73,0.4658,0.4899,0.4275,0.4561,0.9041
Great-tailed Grackle,1,60,0.4667,0.4444,0.4667,0.4553,0.8667
Sharp-shinned Hawk,2,116,0.4828,0.5788,0.4828,0.5258,0.9224
Cordilleran Flycatcher,1,31,0.4839,0.3125,0.4839,0.3797,0.9677
Black Tern,1,35,0.4857,0.6296,0.4857,0.5484,0.8571
Least Flycatcher,1,60,0.5000,0.5263,0.5000,0.5128,0.8333
Allen's Hummingbird,2,101,0.5050,0.6754,0.4752,0.5415,0.9010
Northern Harrier,2,120,0.5167,0.8583,0.5167,0.5988,0.7167
Costa's Hummingbird,2,58,0.5172,0.4693,0.4260,0.4409,0.8276
White-winged Scoter,2,57,0.5263,0.5320,0.5296,0.5259,0.8596
Rough-legged Hawk,2,64,0.5312,0.4758,0.5083,0.4871,0.8750
Snow Goose,2,54,0.5370,0.6864,0.5343,0.6009,0.8704
Hooded Oriole,2,78,0.5385,0.6057,0.5070,0.5289,0.9103
Pacific-slope Flycatcher,1,59,0.5424,0.6667,0.5424,0.5981,0.8983
Brewer's Sparrow,1,35,0.5429,0.6129,0.5429,0.5758,0.9143
Western Sandpiper,1,51,0.5490,0.7568,0.5490,0.6364,0.9412
Eastern Wood-Pewee,1,49,0.5510,0.4030,0.5510,0.4655,0.9388
Red-naped Sapsucker,1,54,0.5556,0.6667,0.5556,0.6061,0.9444
Calliope Hummingbird,2,89,0.5618,0.6629,0.5742,0.6137,0.8876
Black-billed Cuckoo,1,32,0.5625,0.5625,0.5625,0.5625,0.9062
Lark Bunting,2,51,0.5686,0.6569,0.6028,0.6270,0.9020
Eastern Meadowlark,1,40,0.5750,0.6389,0.5750,0.6053,0.9250
American Crow,1,57,0.5789,0.3173,0.5789,0.4099,0.8246
Red-tailed Hawk,3,150,0.5800,0.5423,0.5222,0.5288,0.8667
Brewer's Blackbird,2,91,0.5824,0.6016,0.5586,0.5768,0.8571
Hairy Woodpecker,1,60,0.5833,0.5385,0.5833,0.5600,0.9500
Downy Woodpecker,1,60,0.5833,0.6604,0.5833,0.6195,0.9333
MacGillivray's Warbler,1,46,0.5870,0.7500,0.5870,0.6585,0.9348
Ruby-throated Hummingbird,2,114,0.5877,0.5599,0.5880,0.5699,0.9386
Western Screech-Owl,1,34,0.5882,0.5556,0.5882,0.5714,0.9706
