true_class,pred_class,count,same_species,same_order
Greater Yellowlegs,Lesser Yellowlegs,25,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",25,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,24,False,True
Black-capped Chickadee,Carolina Chickadee,22,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Hairy Woodpecker,Downy Woodpecker,18,False,True
Mourning Warbler,MacGillivray's Warbler,18,False,True
Chihuahuan Raven,Common Raven,17,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),17,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,17,False,True
Eastern Meadowlark,Western Meadowlark,17,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),17,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),16,False,True
Western Wood-Pewee,Eastern Wood-Pewee,16,False,True
Downy Woodpecker,Hairy Woodpecker,16,False,True
Pacific Wren,Winter Wren,16,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",16,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),15,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),15,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),15,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),14,False,True
Eastern Wood-Pewee,Western Wood-Pewee,14,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Boreal Chickadee,Chestnut-backed Chickadee,14,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),13,True,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),12,True,True
American Crow,Common Raven,12,False,True
Louisiana Waterthrush,Northern Waterthrush,12,False,True
Laughing Gull (Nonbreeding/Immature),Laughing Gull (Breeding),12,True,True
Golden Eagle (Immature),Golden Eagle (Adult),12,True,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),12,True,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",12,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",12,False,True
Eastern Screech-Owl,Western Screech-Owl,12,False,True
Chimney Swift,Vaux's Swift,12,False,True
American Crow,Fish Crow,11,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),11,True,True
Cave Swallow,Cliff Swallow,11,False,True
Western Sandpiper,Semipalmated Sandpiper,11,False,True
Boat-tailed Grackle,Great-tailed Grackle,11,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),11,False,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),10,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),10,False,True
California Gull (Adult),Mew Gull,10,False,True
Great-tailed Grackle,Boat-tailed Grackle,10,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,10,False,True
Snow Goose (White morph),Ross's Goose,10,False,True
Lesser Yellowlegs,Greater Yellowlegs,10,False,True
Common Tern,Forster's Tern,10,False,True
Tundra Swan,Trumpeter Swan,10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
Cassin's Vireo,Blue-headed Vireo,10,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",9,False,True
Broad-winged Hawk (Immature),Red-shouldered Hawk (Immature),9,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),9,True,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),9,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),9,True,True
Western Grebe,Clark's Grebe,9,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),9,True,True
