class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,10,24,0.2308,0.1111,0.1500,0.1111,0.7778,Common Raven (17)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,15,18,0.1667,0.1429,0.1538,0.1429,0.7619,"Ruby-throated Hummingbird (Female, immature) (5)"
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,10,23,0.2308,0.1154,0.1538,0.1154,0.6154,Herring Gull (Immature) (6)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,2,1,14,0.6667,0.1250,0.2105,0.1250,0.8750,Fox Sparrow (Sooty) (9)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,4,3,26,0.5714,0.1333,0.2162,0.1333,0.7333,Lesser Scaup (Female/Eclipse male) (19)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,5,12,19,0.2941,0.2083,0.2439,0.2083,0.5833,Red-tailed Hawk (Light morph immature) (6)
351,Bank Swallow,Bank Swallow,Perching Birds,27,5,6,22,0.4545,0.1852,0.2632,0.1852,0.4444,Northern Rough-winged Swallow (7)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,7,1,34,0.8750,0.1707,0.2857,0.1707,0.8049,"Rufous Hummingbird (Female, immature) (25)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,3,17,0.5714,0.1905,0.2857,0.1905,0.7143,Winter Wren (16)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,28,25,0.2821,0.3056,0.2933,0.3056,0.8333,Blue-headed Vireo (10)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,7,12,20,0.3684,0.2593,0.3043,0.2593,0.9259,Common Loon (Nonbreeding/juvenile) (10)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,7,13,18,0.3500,0.2800,0.3111,0.2800,0.6400,Western Gull (Immature) (4)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,5,1,20,0.8333,0.2000,0.3226,0.2000,0.8400,Common Goldeneye (Female/Eclipse male) (14)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,7,18,0.4615,0.2500,0.3243,0.2500,0.8750,Double-crested Cormorant (Immature) (13)
344,Fish Crow,Fish Crow,Perching Birds,30,11,24,19,0.3143,0.3667,0.3385,0.3667,0.8667,Common Raven (6)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,18,28,41,0.3913,0.3051,0.3429,0.3051,0.6949,"Ruby-throated Hummingbird (Female, immature) (16)"
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,4,7,8,0.3636,0.3333,0.3478,0.3333,0.7500,"Pigeon Guillemot (Nonbreeding, juvenile) (3)"
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,9,13,0.4000,0.3158,0.3529,0.3158,0.7368,American Crow (7)
353,Cave Swallow,Cave Swallow,Perching Birds,34,10,12,24,0.4545,0.2941,0.3571,0.2941,0.7647,Cliff Swallow (11)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,23,17,0.3429,0.4138,0.3750,0.4138,0.8276,"Calliope Hummingbird (Female, immature) (12)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,11,23,12,0.3235,0.4783,0.3860,0.4783,0.8261,Herring Gull (Adult) (3)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,9,2,26,0.8182,0.2571,0.3913,0.2571,0.6000,Gray Catbird (3)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,12,25,12,0.3243,0.5000,0.3934,0.5000,0.9583,"Bald Eagle (Immature, juvenile) (5)"
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,7,8,13,0.4667,0.3500,0.4000,0.3500,0.9500,Pigeon Guillemot (Breeding) (9)
233,Black Scoter (Female/juvenile),Black Scoter,"Ducks, Geese, and Swans",22,7,5,15,0.5833,0.3182,0.4118,0.3182,0.5909,American Black Duck (3)
