order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5604,0.5282,0.4790,0.4999,0.9121
Swifts and Hummingbirds,21,909,0.6370,0.6261,0.6194,0.6071,0.9318
"Hawks, Kites, Eagles, and Allies",29,1260,0.6421,0.6460,0.6217,0.6202,0.8786
"Gulls, Terns, and Allies",26,1038,0.6724,0.6514,0.6364,0.6327,0.9191
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6855,0.6749,0.6413,0.6424,0.9312
Loons,6,226,0.6947,0.7411,0.6565,0.6900,0.9204
Caracaras and Falcons,7,346,0.7283,0.7820,0.7063,0.7382,0.8873
Woodpeckers,16,843,0.7936,0.7854,0.7868,0.7829,0.9727
"Ducks, Geese, and Swans",70,2420,0.8050,0.7915,0.7687,0.7672,0.9500
Grebes,9,375,0.8080,0.8236,0.8052,0.8071,0.9440
Perching Birds,265,12539,0.8119,0.8002,0.7864,0.7868,0.9490
Owls,9,426,0.8427,0.8248,0.8301,0.8269,0.9648
Pigeons and Doves,7,359,0.8468,0.9085,0.8489,0.8758,0.9443
Cuckoos,3,113,0.8496,0.8216,0.8429,0.8299,0.9735
"Pelicans, Herons, Ibises, and Allies",21,983,0.8688,0.8567,0.8634,0.8582,0.9776
Nightjars,1,39,0.8718,0.8095,0.8718,0.8395,0.9744
"Plovers, Sandpipers, and Allies",32,1573,0.8868,0.8811,0.8829,0.8784,0.9860
Storks,1,56,0.8929,0.9434,0.8929,0.9174,0.9821
Cranes and Rails,6,200,0.9050,0.9228,0.8299,0.8564,0.9700
Parrots,1,28,0.9286,1.0000,0.9286,0.9630,0.9643
"Grouse, Quail, and Allies",10,342,0.9298,0.9446,0.9087,0.9252,0.9737
Kingfishers and Allies,1,60,0.9333,1.0000,0.9333,0.9655,0.9833
