species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.0909,0.0741,0.0816,0.8148
Bank Swallow,1,27,0.1111,0.3333,0.1111,0.1667,0.5556
Northwestern Crow,1,19,0.1579,0.2308,0.1579,0.1875,0.8421
Pacific Wren,1,21,0.1905,0.4444,0.1905,0.2667,0.7619
Bell's Vireo,1,29,0.2069,0.6000,0.2069,0.3077,0.7241
Black Tern,1,35,0.2286,0.6154,0.2286,0.3333,0.5143
Fish Crow,1,30,0.2333,0.2593,0.2333,0.2456,0.8333
Greater Scaup,2,73,0.2466,0.5333,0.2194,0.2959,0.7260
Cassin's Vireo,1,36,0.2500,0.3214,0.2500,0.2812,0.9167
Mourning Warbler,1,52,0.2885,0.7143,0.2885,0.4110,0.6154
Western Wood-Pewee,1,49,0.3265,0.3721,0.3265,0.3478,0.8163
Mew Gull,1,23,0.3478,0.4706,0.3478,0.4000,0.8261
Cave Swallow,1,34,0.3529,0.5455,0.3529,0.4286,0.8529
Juniper Titmouse,1,25,0.3600,0.4500,0.3600,0.4000,0.8400
Great Cormorant,2,64,0.3906,0.4426,0.3792,0.4050,0.8281
Neotropic Cormorant,1,38,0.3947,0.5172,0.3947,0.4478,0.7632
Allen's Hummingbird,2,101,0.3960,0.6819,0.3758,0.4700,0.9307
Swainson's Hawk,3,93,0.3978,0.4103,0.3716,0.3835,0.7527
Western Screech-Owl,1,34,0.4118,0.4118,0.4118,0.4118,0.9706
Mississippi Kite,1,50,0.4200,0.7241,0.4200,0.5316,0.6600
California Gull,2,66,0.4242,0.4514,0.4117,0.4304,0.8182
Broad-winged Hawk,2,55,0.4364,0.4967,0.4337,0.4615,0.8182
Black Guillemot,2,32,0.4375,0.3818,0.4167,0.3961,0.8438
American Crow,1,57,0.4386,0.3788,0.4386,0.4065,0.8421
Plumbeous Vireo,1,41,0.4634,0.5588,0.4634,0.5067,0.8780
Tundra Swan,1,28,0.4643,0.5200,0.4643,0.4906,0.8929
Calliope Hummingbird,2,89,0.4719,0.6842,0.4873,0.5686,0.8989
Western Gull,2,59,0.4746,0.4103,0.4283,0.4127,0.7797
Hoary Redpoll,1,29,0.4828,0.6087,0.4828,0.5385,0.8966
Least Flycatcher,1,60,0.4833,0.5179,0.4833,0.5000,0.9000
Barrow's Goldeneye,2,60,0.4833,1.0000,0.4429,0.5734,0.9167
Greater Yellowlegs,1,59,0.4915,0.6042,0.4915,0.5421,0.9831
Pacific-slope Flycatcher,1,59,0.4915,0.6591,0.4915,0.5631,0.8305
Vaux's Swift,1,28,0.5000,0.4516,0.5000,0.4746,0.9286
Pacific Loon,2,47,0.5106,0.6211,0.5481,0.5805,0.9149
Red-tailed Hawk,3,150,0.5133,0.5990,0.5000,0.5417,0.8133
Boat-tailed Grackle,1,60,0.5167,0.5741,0.5167,0.5439,0.8500
Mottled Duck,1,29,0.5172,0.6818,0.5172,0.5882,1.0000
Eastern Meadowlark,1,40,0.5250,0.7778,0.5250,0.6269,0.9750
