true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,36,False,True
Hairy Woodpecker,Downy Woodpecker,22,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),21,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",21,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Western Wood-Pewee,Eastern Wood-Pewee,19,False,True
Greater Yellowlegs,Lesser Yellowlegs,19,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),18,False,True
Western Screech-Owl,Eastern Screech-Owl,18,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),17,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),17,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,16,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",16,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,16,False,True
Great-tailed Grackle,Boat-tailed Grackle,16,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),15,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),15,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",14,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),14,True,True
Common Raven,American Crow,14,False,True
Eastern Meadowlark,Western Meadowlark,14,False,True
Chihuahuan Raven,Common Raven,14,False,True
Common Tern,Forster's Tern,13,False,True
Pacific Wren,Winter Wren,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),13,False,True
Cassin's Vireo,Blue-headed Vireo,13,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),12,True,True
American Crow,Common Raven,12,False,True
Lesser Yellowlegs,Greater Yellowlegs,12,False,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),12,False,True
Eastern Screech-Owl,Western Screech-Owl,12,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Tundra Swan,Trumpeter Swan,12,False,True
Mourning Warbler,MacGillivray's Warbler,12,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),11,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),11,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",10,False,True
Western Sandpiper,Semipalmated Sandpiper,10,False,True
Fish Crow,American Crow,10,False,True
Cave Swallow,Cliff Swallow,10,False,True
Boreal Chickadee,Chestnut-backed Chickadee,10,False,True
Trumpeter Swan,Mute Swan,10,False,True
Boat-tailed Grackle,Great-tailed Grackle,10,False,True
Black-crested Titmouse,Tufted Titmouse,10,False,True
Brandt's Cormorant,Pelagic Cormorant,10,False,True
Golden Eagle (Immature),Golden Eagle (Adult),10,True,True
Hoary Redpoll,Common Redpoll,9,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",9,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),9,False,True
Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow (Sooty),9,True,True
Swainson's Hawk (Dark morph ),Swainson's Hawk (Light morph ),9,True,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),9,False,True
Louisiana Waterthrush,Northern Waterthrush,9,False,True
Downy Woodpecker,Hairy Woodpecker,9,False,True
"Costa's Hummingbird (Female, immature)","Anna's Hummingbird (Female, immature)",8,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),8,True,True
Mexican Jay,Western Scrub-Jay,8,False,True
