class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.6667,Dark-eyed Junco (Slate-colored) (7)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,12,25,0.1429,0.0741,0.0976,0.0741,0.7407,Common Raven (14)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,4,28,0.3333,0.0667,0.1111,0.0667,0.6333,Lesser Scaup (Female/Eclipse male) (19)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,6,25,0.2500,0.0741,0.1143,0.0741,0.4444,Northern Rough-winged Swallow (6)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,10,23,0.2308,0.1154,0.1538,0.1154,0.6538,California Gull (Immature) (6)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,7,18,0.3000,0.1429,0.1935,0.1429,0.7143,"Anna's Hummingbird (Female, immature) (8)"
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,0,22,1.0000,0.1200,0.2143,0.1200,0.8000,Common Goldeneye (Female/Eclipse male) (17)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,5,12,22,0.2941,0.1852,0.2273,0.1852,0.7407,Common Loon (Nonbreeding/juvenile) (9)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,4,7,20,0.3636,0.1667,0.2286,0.1667,0.6250,Red-tailed Hawk (Light morph immature) (7)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,6,16,24,0.2727,0.2000,0.2308,0.2000,0.7667,Swainson's Hawk (Light morph ) (9)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,3,2,17,0.6000,0.1500,0.2400,0.1500,0.8000,Blue-winged Teal (Female/juvenile) (5)
344,Fish Crow,Fish Crow,Perching Birds,30,7,20,23,0.2593,0.2333,0.2456,0.2333,0.8333,American Crow (10)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,6,7,29,0.4615,0.1714,0.2500,0.1714,0.5429,Forster's Tern (5)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,11,14,0.3125,0.2632,0.2857,0.2632,0.8421,American Crow (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,2,13,0.6000,0.1875,0.2857,0.1875,0.8125,Fox Sparrow (Sooty) (9)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,5,8,14,0.3846,0.2632,0.3125,0.2632,0.8421,Northern Shoveler (Female/Eclipse male) (5)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,6,10,14,0.3750,0.3000,0.3333,0.3000,0.8000,Pigeon Guillemot (Breeding) (9)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,18,25,0.3793,0.3056,0.3385,0.3056,0.8889,Blue-headed Vireo (13)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,8,15,15,0.3478,0.3478,0.3478,0.3478,0.7826,Ring-billed Gull (Adult) (4)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,5,31,0.6667,0.2439,0.3571,0.2439,0.8049,"Rufous Hummingbird (Female, immature) (16)"
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,9,16,16,0.3600,0.3600,0.3600,0.3600,0.6400,Ring-billed Gull (Immature) (4)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,6,5,16,0.5455,0.2727,0.3636,0.2727,0.9091,Herring Gull (Immature) (12)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,7,17,0.5000,0.2917,0.3684,0.2917,0.7917,Double-crested Cormorant (Immature) (10)
353,Cave Swallow,Cave Swallow,Perching Birds,34,10,10,24,0.5000,0.2941,0.3704,0.2941,0.8529,Cliff Swallow (10)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,12,13,26,0.4800,0.3158,0.3810,0.3158,0.7368,Double-crested Cormorant (Immature) (11)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,9,12,17,0.4286,0.3462,0.3830,0.3462,0.7308,Cooper's Hawk (Adult) (3)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,5,9,7,0.3571,0.4167,0.3846,0.4167,0.7500,"Pigeon Guillemot (Nonbreeding, juvenile) (4)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,6,3,15,0.6667,0.2857,0.4000,0.2857,0.7619,Winter Wren (13)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,19,27,30,0.4130,0.3878,0.4000,0.3878,0.8571,Eastern Wood-Pewee (19)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,14,15,27,0.4828,0.3415,0.4000,0.3415,0.8537,Ring-billed Gull (Adult) (7)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,25,36,34,0.4098,0.4237,0.4167,0.4237,0.8305,"Ruby-throated Hummingbird (Female, immature) (21)"
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,15,28,14,0.3488,0.5172,0.4167,0.5172,0.8966,"Calliope Hummingbird (Female, immature) (10)"
233,Black Scoter (Female/juvenile),Black Scoter,"Ducks, Geese, and Swans",22,7,4,15,0.6364,0.3182,0.4242,0.3182,0.7273,White-winged Scoter (Female/juvenile) (2)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,10,13,14,0.4348,0.4167,0.4255,0.4167,0.8333,"Bald Eagle (Immature, juvenile) (6)"
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,20,25,28,0.4444,0.4167,0.4301,0.4167,0.8750,"Broad-tailed Hummingbird (Female, immature) (14)"
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,17,31,14,0.3542,0.5484,0.4304,0.5484,0.9032,Pacific-slope Flycatcher (6)
501,American Crow,American Crow,Perching Birds,57,27,38,30,0.4154,0.4737,0.4426,0.4737,0.7719,Common Raven (12)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,11,10,17,0.5238,0.3929,0.4490,0.3929,0.8571,Trumpeter Swan (12)
352,Cliff Swallow,Cliff Swallow,Perching Birds,30,16,25,14,0.3902,0.5333,0.4507,0.5333,0.7000,Cave Swallow (5)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,14,14,20,0.5000,0.4118,0.4516,0.4118,0.9706,Eastern Screech-Owl (18)
356,Black-capped Chickadee,Black-capped Chickadee,Perching Birds,60,21,10,39,0.6774,0.3500,0.4615,0.3500,0.9500,Carolina Chickadee (36)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,13,17,13,0.4333,0.5000,0.4643,0.5000,0.7308,Baltimore Oriole (Female/Immature male) (4)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,10,8,15,0.5556,0.4000,0.4651,0.4000,0.8800,Oak Titmouse (8)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,11,8,17,0.5789,0.3929,0.4681,0.3929,0.8929,White-throated Swift (8)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,9,12,8,0.4286,0.5294,0.4737,0.5294,0.9412,Northern Shoveler (Female/Eclipse male) (3)
346,Common Raven,Common Raven,Perching Birds,57,33,48,24,0.4074,0.5789,0.4783,0.5789,0.9298,American Crow (14)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,20,25,18,0.4444,0.5263,0.4819,0.5263,0.8421,Red-shouldered Hawk (Adult ) (5)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,15,18,14,0.4545,0.5172,0.4839,0.5172,0.7931,Red-shouldered Hawk (Immature) (7)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,8,3,14,0.7273,0.3636,0.4848,0.3636,0.8182,"Anna's Hummingbird (Female, immature) (6)"
99,Trumpeter Swan,Trumpeter Swan,"Ducks, Geese, and Swans",37,18,19,19,0.4865,0.4865,0.4865,0.4865,0.9730,Mute Swan (10)
231,Surf Scoter (Female/immature),Surf Scoter,"Ducks, Geese, and Swans",24,11,10,13,0.5238,0.4583,0.4889,0.4583,0.7500,Common Eider (Immature/Eclipse male) (3)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,11,5,18,0.6875,0.3793,0.4889,0.3793,0.6207,Warbling Vireo (3)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,14,8,21,0.6364,0.4000,0.4912,0.4000,0.9429,Orchard Oriole (Female/Juvenile) (11)
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,30,34,28,0.4688,0.5172,0.4918,0.5172,0.8793,Cooper's Hawk (Immature) (18)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,36,50,24,0.4186,0.6000,0.4932,0.6000,0.9500,"Black-chinned Hummingbird (Female, immature) (9)"
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,20,24,17,0.4545,0.5405,0.4938,0.5405,0.8649,"Broad-tailed Hummingbird (Female, immature) (6)"
134,Mississippi Kite,Mississippi Kite,"Hawks, Kites, Eagles, and Allies",50,20,10,30,0.6667,0.4000,0.5000,0.4000,0.7800,Swallow-tailed Kite (3)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,15,15,15,0.5000,0.5000,0.5000,0.5000,0.8000,Rough-legged Hawk (Dark morph) (5)
521,Scarlet Tanager (Female/Nonbreeding Male),Scarlet Tanager,Perching Birds,28,18,25,10,0.4186,0.6429,0.5070,0.6429,0.9286,Western Tanager (Female/Nonbreeding Male) (2)
468,Eastern Wood-Pewee,Eastern Wood-Pewee,Perching Birds,49,30,38,19,0.4412,0.6122,0.5128,0.6122,0.9388,Western Wood-Pewee (8)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,19,3,33,0.8636,0.3654,0.5135,0.3654,0.7115,MacGillivray's Warbler (12)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,17,4,26,0.8095,0.3953,0.5312,0.3953,0.7209,Lesser Scaup (Breeding male) (13)
203,"Pigeon Guillemot (Nonbreeding, juvenile)",Pigeon Guillemot,Skuas and Alcids,17,8,5,9,0.6154,0.4706,0.5333,0.4706,0.8824,"Black Guillemot (Nonbreeding, juvenile) (4)"
114,Brandt's Cormorant,Brandt's Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",33,15,8,18,0.6522,0.4545,0.5357,0.4545,0.8788,Pelagic Cormorant (10)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,14,7,17,0.6667,0.4516,0.5385,0.4516,0.8065,Peregrine Falcon (Adult) (4)
361,Oak Titmouse,Oak Titmouse,Perching Birds,37,21,20,16,0.5122,0.5676,0.5385,0.5676,0.8378,Bushtit (4)
469,Least Flycatcher,Least Flycatcher,Perching Birds,60,31,24,29,0.5636,0.5167,0.5391,0.5167,0.8667,Pacific-slope Flycatcher (7)
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,30,21,30,0.5882,0.5000,0.5405,0.5000,0.8333,Great-tailed Grackle (10)
249,Northern Gannet (Immature/Juvenile),Northern Gannet,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",20,9,4,11,0.6923,0.4500,0.5455,0.4500,0.7000,"Northern Gannet (Adult, Subadult) (1)"
260,Cooper's Hawk (Immature),Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",60,36,36,24,0.5000,0.6000,0.5455,0.6000,0.9500,Sharp-shinned Hawk (Immature) (13)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,26,19,24,0.5778,0.5200,0.5474,0.5200,1.0000,Allen's Hummingbird (Adult Male) (21)
264,Golden Eagle (Immature),Golden Eagle,"Hawks, Kites, Eagles, and Allies",30,14,7,16,0.6667,0.4667,0.5490,0.4667,0.8000,Golden Eagle (Adult) (10)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,22,18,18,0.5500,0.5500,0.5500,0.5500,0.8750,Double-crested Cormorant (Adult) (8)
458,Great-tailed Grackle,Great-tailed Grackle,Perching Birds,60,33,27,27,0.5500,0.5500,0.5500,0.5500,0.8833,Boat-tailed Grackle (16)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,13,8,13,0.6190,0.5000,0.5532,0.5000,0.7692,Ross's Goose (8)
204,Black-legged Kittiwake (Immature),Black-legged Kittiwake,"Gulls, Terns, and Allies",19,12,12,7,0.5000,0.6316,0.5581,0.6316,0.9474,Black-legged Kittiwake (Adult) (4)
486,Plumbeous Vireo,Plumbeous Vireo,Perching Birds,41,19,8,22,0.7037,0.4634,0.5588,0.4634,0.8780,Cassin's Vireo (8)
