order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5385,0.4869,0.4754,0.4759,0.8791
"Hawks, Kites, Eagles, and Allies",29,1260,0.6341,0.6313,0.6069,0.6104,0.8754
Swifts and Hummingbirds,21,909,0.6359,0.6339,0.6111,0.6079,0.9307
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6806,0.6265,0.6238,0.6091,0.9115
"Gulls, Terns, and Allies",26,1038,0.6821,0.6428,0.6462,0.6370,0.9162
Loons,6,226,0.6903,0.7119,0.6669,0.6809,0.8805
Caracaras and Falcons,7,346,0.7486,0.7619,0.7242,0.7383,0.8902
"Ducks, Geese, and Swans",70,2420,0.7835,0.7751,0.7418,0.7398,0.9343
Perching Birds,265,12539,0.8096,0.8007,0.7824,0.7850,0.9483
Woodpeckers,16,843,0.8173,0.8164,0.8117,0.8103,0.9632
Cuckoos,3,113,0.8230,0.8649,0.8195,0.8399,0.9558
Owls,9,426,0.8333,0.8372,0.8204,0.8262,0.9648
Grebes,9,375,0.8400,0.8334,0.8264,0.8247,0.9467
Pigeons and Doves,7,359,0.8440,0.8462,0.8447,0.8437,0.9526
"Pelicans, Herons, Ibises, and Allies",21,983,0.8688,0.8646,0.8624,0.8613,0.9695
Nightjars,1,39,0.8718,0.8293,0.8718,0.8500,0.9487
Cranes and Rails,6,200,0.8800,0.9091,0.8044,0.8393,0.9450
"Plovers, Sandpipers, and Allies",32,1573,0.8919,0.8900,0.8874,0.8867,0.9828
Parrots,1,28,0.8929,1.0000,0.8929,0.9434,1.0000
"Grouse, Quail, and Allies",10,342,0.9298,0.9234,0.9046,0.9120,0.9561
Storks,1,56,0.9464,0.9815,0.9464,0.9636,0.9821
Kingfishers and Allies,1,60,0.9667,0.9667,0.9667,0.9667,0.9833
