species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.1429,0.0741,0.0976,0.7407
Bank Swallow,1,27,0.0741,0.2500,0.0741,0.1143,0.4444
Black Tern,1,35,0.1714,0.4615,0.1714,0.2500,0.5429
Fish Crow,1,30,0.2333,0.2593,0.2333,0.2456,0.8333
Greater Scaup,2,73,0.2603,0.5714,0.2310,0.3212,0.6849
Northwestern Crow,1,19,0.2632,0.3125,0.2632,0.2857,0.8421
Pacific Wren,1,21,0.2857,0.6667,0.2857,0.4000,0.7619
Cave Swallow,1,34,0.2941,0.5000,0.2941,0.3704,0.8529
Cassin's Vireo,1,36,0.3056,0.3793,0.3056,0.3385,0.8889
Neotropic Cormorant,1,38,0.3158,0.4800,0.3158,0.3810,0.7368
Black Guillemot,2,32,0.3438,0.3661,0.3583,0.3590,0.7812
Mew Gull,1,23,0.3478,0.3478,0.3478,0.3478,0.7826
California Gull,2,66,0.3485,0.4214,0.3507,0.3800,0.7727
Black-capped Chickadee,1,60,0.3500,0.6774,0.3500,0.4615,0.9500
Mourning Warbler,1,52,0.3654,0.8636,0.3654,0.5135,0.7115
Swainson's Hawk,3,93,0.3763,0.4059,0.3359,0.3564,0.7742
Bell's Vireo,1,29,0.3793,0.6875,0.3793,0.4889,0.6207
Barrow's Goldeneye,2,60,0.3833,0.9762,0.3457,0.4643,0.9167
Western Wood-Pewee,1,49,0.3878,0.4130,0.3878,0.4000,0.8571
Vaux's Swift,1,28,0.3929,0.5789,0.3929,0.4681,0.8929
Tundra Swan,1,28,0.3929,0.5238,0.3929,0.4490,0.8571
Mississippi Kite,1,50,0.4000,0.6667,0.4000,0.5000,0.7800
Juniper Titmouse,1,25,0.4000,0.5556,0.4000,0.4651,0.8800
Western Screech-Owl,1,34,0.4118,0.5000,0.4118,0.4516,0.9706
Broad-winged Hawk,2,55,0.4364,0.4416,0.4317,0.4334,0.7636
Great Cormorant,2,64,0.4531,0.5250,0.4208,0.4592,0.8438
Brandt's Cormorant,1,33,0.4545,0.6522,0.4545,0.5357,0.8788
Plumbeous Vireo,1,41,0.4634,0.7037,0.4634,0.5588,0.8780
American Crow,1,57,0.4737,0.4154,0.4737,0.4426,0.7719
Eastern Meadowlark,1,40,0.4750,0.7917,0.4750,0.5938,0.9750
Trumpeter Swan,1,37,0.4865,0.4865,0.4865,0.4865,0.9730
Pacific Loon,2,47,0.4894,0.6207,0.5426,0.5752,0.8298
Glaucous-winged Gull,2,60,0.5000,0.5885,0.4522,0.4976,0.9333
Boat-tailed Grackle,1,60,0.5000,0.5882,0.5000,0.5405,0.8333
Allen's Hummingbird,2,101,0.5050,0.6536,0.4636,0.5092,0.9010
Western Gull,2,59,0.5085,0.4904,0.4668,0.4682,0.8305
Least Flycatcher,1,60,0.5167,0.5636,0.5167,0.5391,0.8667
Boreal Chickadee,1,42,0.5238,1.0000,0.5238,0.6875,0.8810
White-winged Scoter,2,57,0.5263,0.6542,0.5241,0.5770,0.8246
Rufous Hummingbird,2,87,0.5287,0.5162,0.5303,0.5206,0.9425
Cliff Swallow,1,30,0.5333,0.3902,0.5333,0.4507,0.7000
White-tailed Kite,1,13,0.5385,0.7000,0.5385,0.6087,0.7692
Rusty Blackbird,1,48,0.5417,0.8125,0.5417,0.6500,0.8542
Pacific-slope Flycatcher,1,59,0.5424,0.6531,0.5424,0.5926,0.8475
Brewer's Sparrow,1,35,0.5429,0.6552,0.5429,0.5938,0.8857
MacGillivray's Warbler,1,46,0.5435,0.6757,0.5435,0.6024,0.9565
Black-crested Titmouse,1,33,0.5455,0.7826,0.5455,0.6429,0.9091
Cordilleran Flycatcher,1,31,0.5484,0.3542,0.5484,0.4304,0.9032
Hairy Woodpecker,1,60,0.5500,0.7174,0.5500,0.6226,0.9833
Great-tailed Grackle,1,60,0.5500,0.5500,0.5500,0.5500,0.8833
Calliope Hummingbird,2,89,0.5506,0.7222,0.5620,0.6293,0.8989
Hoary Redpoll,1,29,0.5517,0.7619,0.5517,0.6400,0.9310
Sharp-shinned Hawk,2,116,0.5603,0.5310,0.5603,0.5450,0.9052
Common Tern,1,60,0.5667,0.6800,0.5667,0.6182,0.9667
Oak Titmouse,1,37,0.5676,0.5122,0.5676,0.5385,0.8378
Black-chinned Hummingbird,2,109,0.5688,0.6071,0.5819,0.5938,0.8899
Golden Eagle,2,72,0.5694,0.6033,0.5548,0.5680,0.8889
Cackling Goose,1,14,0.5714,0.8000,0.5714,0.6667,1.0000
Common Raven,1,57,0.5789,0.4074,0.5789,0.4783,0.9298
Northern Harrier,2,120,0.5833,0.7725,0.5833,0.6329,0.7833
Costa's Hummingbird,2,58,0.5862,0.5375,0.4903,0.4994,0.8966
Mottled Duck,1,29,0.5862,0.7727,0.5862,0.6667,1.0000
Snow Goose,2,54,0.5926,0.7619,0.5893,0.6644,0.8333
Prairie Falcon,1,42,0.5952,0.6579,0.5952,0.6250,0.8333
Eastern Phoebe,1,60,0.6000,0.7826,0.6000,0.6792,0.8500
Cooper's Hawk,2,117,0.6068,0.5152,0.6070,0.5573,0.9316
Lark Bunting,2,51,0.6078,0.9500,0.6234,0.7524,0.9216
Black Scoter,2,41,0.6098,0.7468,0.6328,0.6621,0.8293
Eastern Wood-Pewee,1,49,0.6122,0.4412,0.6122,0.5128,0.9388
Brewer's Blackbird,2,91,0.6154,0.6277,0.6226,0.6251,0.8352
Rough-legged Hawk,2,64,0.6250,0.5832,0.5833,0.5831,0.9062
Red-tailed Hawk,3,150,0.6267,0.6235,0.6056,0.6093,0.8200
Greater Yellowlegs,1,59,0.6271,0.6066,0.6271,0.6167,0.9661
Red Crossbill,2,59,0.6271,0.7567,0.6447,0.6883,0.8814
Cassin's Kingbird,1,35,0.6286,0.7097,0.6286,0.6667,0.9429
Broad-tailed Hummingbird,2,73,0.6301,0.5619,0.6109,0.5774,0.9452
Hooded Oriole,2,78,0.6410,0.7682,0.6186,0.6793,0.9615
Pigeon Guillemot,2,59,0.6441,0.6077,0.5924,0.5928,0.9322
Red-shouldered Hawk,2,76,0.6447,0.6250,0.6447,0.6329,0.8684
Western Sandpiper,1,51,0.6471,0.6471,0.6471,0.6471,0.9804
Brown-capped Rosy-Finch,1,34,0.6471,0.7586,0.6471,0.6984,0.8824
Violet-green Swallow,1,37,0.6486,1.0000,0.6486,0.7869,0.7838
Peregrine Falcon,2,77,0.6494,0.6795,0.6171,0.6366,0.8701
Mexican Jay,1,26,0.6538,0.8947,0.6538,0.7556,1.0000
Pygmy Nuthatch,1,38,0.6579,0.8621,0.6579,0.7463,0.9474
Hutton's Vireo,1,39,0.6667,0.5417,0.6667,0.5977,1.0000
Orchard Oriole,3,93,0.6667,0.6806,0.6203,0.6424,0.8925
Herring Gull,2,101,0.6733,0.5769,0.6691,0.6195,0.9604
Bay-breasted Warbler,2,62,0.6774,0.7389,0.6656,0.6915,0.9194
Cape May Warbler,1,60,0.6833,0.9111,0.6833,0.7810,0.8833
Red-naped Sapsucker,1,54,0.6852,0.7872,0.6852,0.7327,0.9815
Black-billed Cuckoo,1,32,0.6875,0.8148,0.6875,0.7458,0.9688
Verdin,1,32,0.6875,0.8800,0.6875,0.7719,0.8125
Merlin,1,58,0.6897,0.7143,0.6897,0.7018,0.8276
Black-legged Kittiwake,2,42,0.6905,0.5648,0.6854,0.6191,0.9286
Florida Scrub-Jay,1,26,0.6923,0.8571,0.6923,0.7660,0.9615
Ruby-throated Hummingbird,2,114,0.7018,0.5531,0.7074,0.6195,0.9649
American Black Duck,1,37,0.7027,0.8387,0.7027,0.7647,0.9459
Pine Warbler,1,48,0.7083,0.7391,0.7083,0.7234,0.8958
Northern Rough-winged Swallow,1,42,0.7143,0.5455,0.7143,0.6186,0.9286
Great Blue Heron,1,60,0.7167,0.8269,0.7167,0.7679,0.9667
Canyon Towhee,1,46,0.7174,0.7857,0.7174,0.7500,0.9783
Gadwall,2,75,0.7200,0.5751,0.5691,0.5646,0.9200
Eastern Screech-Owl,1,50,0.7200,0.6545,0.7200,0.6857,1.0000
Northern Gannet,2,80,0.7250,0.7760,0.6333,0.6915,0.8875
Lesser Goldfinch,2,95,0.7263,0.8310,0.6822,0.7410,0.9158
Black-tailed Gnatcatcher,1,22,0.7273,0.4706,0.7273,0.5714,0.9091
Gray-crowned Rosy-Finch,1,37,0.7297,0.8182,0.7297,0.7714,0.9730
White-winged Crossbill,2,52,0.7308,0.8562,0.7250,0.7852,0.9231
Cinnamon Teal,2,75,0.7333,0.7643,0.5477,0.5885,0.9333
Warbling Vireo,1,60,0.7333,0.8800,0.7333,0.8000,0.9500
Caspian Tern,1,49,0.7347,0.7500,0.7347,0.7423,0.9796
Canvasback,2,72,0.7361,0.9106,0.7005,0.7752,0.9583
Surf Scoter,2,61,0.7377,0.6573,0.6886,0.6694,0.9016
Ross's Goose,1,23,0.7391,0.5862,0.7391,0.6538,0.9130
Great Black-backed Gull,2,73,0.7397,0.7483,0.7409,0.7442,0.9452
Common Loon,2,120,0.7417,0.7903,0.7417,0.7472,0.9000
Red-throated Loon,2,59,0.7458,0.7246,0.7163,0.7204,0.8814
Redhead,2,44,0.7500,0.7564,0.7309,0.7333,0.8864
Lesser Yellowlegs,1,60,0.7500,0.6250,0.7500,0.6818,0.9833
Eared Grebe,2,80,0.7500,0.8676,0.7444,0.7974,0.9625
Northern Flicker,2,118,0.7542,0.7936,0.7542,0.7690,0.9661
Wrentit,1,37,0.7568,0.8750,0.7568,0.8116,0.8378
Chimney Swift,1,33,0.7576,0.6410,0.7576,0.6944,0.9697
