order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6139,0.6116,0.6024,0.5976,0.9373
"Hawks, Kites, Eagles, and Allies",29,1260,0.6325,0.6379,0.6105,0.6141,0.8810
Skuas and Alcids,4,91,0.6374,0.5927,0.5643,0.5698,0.9121
"Gulls, Terns, and Allies",26,1038,0.6840,0.6529,0.6539,0.6471,0.9249
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6880,0.6261,0.6427,0.6270,0.9238
Loons,6,226,0.7168,0.6971,0.6949,0.6866,0.9248
Caracaras and Falcons,7,346,0.7283,0.7827,0.7128,0.7424,0.8931
Woodpeckers,16,843,0.7699,0.7745,0.7657,0.7646,0.9656
"Ducks, Geese, and Swans",70,2420,0.7930,0.7790,0.7618,0.7583,0.9471
Perching Birds,265,12539,0.8037,0.7935,0.7797,0.7806,0.9480
Grebes,9,375,0.8107,0.8183,0.8002,0.8048,0.9600
Owls,9,426,0.8192,0.8116,0.8068,0.8074,0.9507
Storks,1,56,0.8214,0.9583,0.8214,0.8846,0.9821
Pigeons and Doves,7,359,0.8273,0.8705,0.8289,0.8483,0.9359
Cuckoos,3,113,0.8407,0.8425,0.8303,0.8293,0.9558
"Pelicans, Herons, Ibises, and Allies",21,983,0.8616,0.8566,0.8562,0.8553,0.9736
"Plovers, Sandpipers, and Allies",32,1573,0.8754,0.8759,0.8723,0.8719,0.9873
Cranes and Rails,6,200,0.8950,0.9115,0.8320,0.8593,0.9500
Nightjars,1,39,0.8974,0.8333,0.8974,0.8642,0.9487
Parrots,1,28,0.9286,1.0000,0.9286,0.9630,1.0000
"Grouse, Quail, and Allies",10,342,0.9327,0.9291,0.9168,0.9215,0.9708
Kingfishers and Allies,1,60,0.9500,0.9500,0.9500,0.9500,0.9667
