true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,28,False,True
Hairy Woodpecker,Downy Woodpecker,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,22,False,True
Western Wood-Pewee,Eastern Wood-Pewee,21,False,True
Black-capped Chickadee,Carolina Chickadee,20,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",19,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),19,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),19,False,True
Cassin's Vireo,Blue-headed Vireo,18,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),18,False,True
Western Screech-Owl,Eastern Screech-Owl,18,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),18,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",18,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),17,False,True
Eastern Meadowlark,Western Meadowlark,17,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",17,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),16,True,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),16,False,True
Lesser Yellowlegs,Greater Yellowlegs,15,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),15,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),15,True,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,15,False,True
Eastern Screech-Owl,Western Screech-Owl,15,False,True
Boat-tailed Grackle,Great-tailed Grackle,15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Louisiana Waterthrush,Northern Waterthrush,14,False,True
Carolina Chickadee,Black-capped Chickadee,14,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),14,False,True
Eastern Wood-Pewee,Western Wood-Pewee,13,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),13,False,True
Cave Swallow,Cliff Swallow,13,False,True
Plumbeous Vireo,Cassin's Vireo,13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Tundra Swan,Trumpeter Swan,12,False,True
American Crow,Common Raven,12,False,True
Chimney Swift,Vaux's Swift,12,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",12,False,True
Pacific Wren,Winter Wren,12,False,True
Pigeon Guillemot (Breeding),Black Guillemot (Breeding),11,False,True
Common Raven,American Crow,11,False,True
Western Sandpiper,Semipalmated Sandpiper,11,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,11,False,True
Spotted Towhee,Eastern Towhee,11,False,True
Hoary Redpoll,Common Redpoll,10,False,True
Mourning Warbler,MacGillivray's Warbler,10,False,True
Herring Gull (Immature),California Gull (Immature),10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
Western Grebe,Clark's Grebe,10,False,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),10,True,True
Broad-winged Hawk (Immature),Red-shouldered Hawk (Immature),10,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),10,True,True
Mexican Jay,Western Scrub-Jay,10,False,True
Common Tern,Forster's Tern,10,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),9,True,True
Juniper Titmouse,Oak Titmouse,9,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),9,False,True
Oak Titmouse,Juniper Titmouse,9,False,True
Caspian Tern,Royal Tern,9,False,True
Bohemian Waxwing,Cedar Waxwing,9,False,True
