species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.1111,0.3000,0.1111,0.1622,0.5185
Chihuahuan Raven,1,27,0.1852,0.2500,0.1852,0.2128,0.7407
Fish Crow,1,30,0.2333,0.2692,0.2333,0.2500,0.6333
Pacific Wren,1,21,0.2381,0.4545,0.2381,0.3125,0.8571
Cassin's Vireo,1,36,0.2500,0.2571,0.2500,0.2535,0.8611
Bell's Vireo,1,29,0.2759,0.5333,0.2759,0.3636,0.6897
Black Tern,1,35,0.2857,0.5556,0.2857,0.3774,0.6286
Northwestern Crow,1,19,0.3158,0.2727,0.3158,0.2927,0.9474
California Gull,2,66,0.3333,0.3333,0.3385,0.3308,0.8182
Broad-winged Hawk,2,55,0.3455,0.5702,0.3455,0.4273,0.7818
Cave Swallow,1,34,0.3529,0.4800,0.3529,0.4068,0.8529
Mourning Warbler,1,52,0.3654,0.6786,0.3654,0.4750,0.6731
Western Wood-Pewee,1,49,0.3673,0.3600,0.3673,0.3636,0.8367
Greater Scaup,2,73,0.3699,0.6142,0.3492,0.4369,0.7808
Red-naped Sapsucker,1,54,0.4074,0.5641,0.4074,0.4731,0.9815
Western Screech-Owl,1,34,0.4118,0.4118,0.4118,0.4118,0.9118
American Crow,1,57,0.4211,0.3871,0.4211,0.4034,0.9123
Neotropic Cormorant,1,38,0.4211,0.4444,0.4211,0.4324,0.7105
Mew Gull,1,23,0.4348,0.4348,0.4348,0.4348,0.7391
Great Cormorant,2,64,0.4375,0.5898,0.4417,0.5037,0.8438
Juniper Titmouse,1,25,0.4400,0.4583,0.4400,0.4490,0.9600
Swainson's Hawk,3,93,0.4409,0.3923,0.4137,0.3995,0.8495
Boat-tailed Grackle,1,60,0.4500,0.4821,0.4500,0.4655,0.8667
Cordilleran Flycatcher,1,31,0.4516,0.3256,0.4516,0.3784,0.8387
Allen's Hummingbird,2,101,0.4554,0.6460,0.4181,0.4799,0.9109
Mississippi Kite,1,50,0.4600,0.6216,0.4600,0.5287,0.7200
White-tailed Kite,1,13,0.4615,0.7500,0.4615,0.5714,0.8462
Tundra Swan,1,28,0.4643,0.5000,0.4643,0.4815,0.8571
Vaux's Swift,1,28,0.4643,0.3939,0.4643,0.4262,0.8571
Pacific-slope Flycatcher,1,59,0.4746,0.6512,0.4746,0.5490,0.8983
Barrow's Goldeneye,2,60,0.4833,0.8671,0.4543,0.5852,0.9000
Violet-green Swallow,1,37,0.4865,0.8571,0.4865,0.6207,0.8378
Oak Titmouse,1,37,0.4865,0.5000,0.4865,0.4932,0.9459
Brown-capped Rosy-Finch,1,34,0.5000,0.6800,0.5000,0.5763,0.9118
Eastern Meadowlark,1,40,0.5000,0.8333,0.5000,0.6250,0.9500
Plumbeous Vireo,1,41,0.5122,0.6176,0.5122,0.5600,0.8780
Trumpeter Swan,1,37,0.5135,0.5429,0.5135,0.5278,1.0000
Chimney Swift,1,33,0.5152,0.6071,0.5152,0.5574,0.9697
Hoary Redpoll,1,29,0.5172,0.6818,0.5172,0.5882,0.8621
Black-chinned Hummingbird,2,109,0.5229,0.5380,0.5380,0.5380,0.8624
Sharp-shinned Hawk,2,116,0.5259,0.5136,0.5259,0.5196,0.9224
Calliope Hummingbird,2,89,0.5281,0.6401,0.5465,0.5896,0.9213
Black Guillemot,2,32,0.5312,0.5200,0.5250,0.5172,0.8125
Rough-legged Hawk,2,64,0.5312,0.5308,0.5083,0.5185,0.8125
Hairy Woodpecker,1,60,0.5333,0.7619,0.5333,0.6275,0.9833
Hutton's Vireo,1,39,0.5385,0.6562,0.5385,0.5915,0.9231
Pacific Loon,2,47,0.5532,0.5713,0.6046,0.5721,0.9787
Western Gull,2,59,0.5593,0.5856,0.5245,0.5486,0.8644
Common Raven,1,57,0.5614,0.4267,0.5614,0.4848,0.8772
Rusty Blackbird,1,48,0.5625,0.6923,0.5625,0.6207,0.8125
Northern Harrier,2,120,0.5667,0.7388,0.5667,0.5858,0.8083
Least Flycatcher,1,60,0.5667,0.5667,0.5667,0.5667,0.8833
Western Sandpiper,1,51,0.5686,0.6444,0.5686,0.6042,0.9804
Cackling Goose,1,14,0.5714,0.6154,0.5714,0.5926,0.9286
Brewer's Blackbird,2,91,0.5714,0.6024,0.5815,0.5911,0.8352
Eastern Wood-Pewee,1,49,0.5714,0.4444,0.5714,0.5000,0.9388
Cooper's Hawk,2,117,0.5726,0.4960,0.5724,0.5315,0.9402
Snow Goose,2,54,0.5741,0.7130,0.5701,0.6334,0.8148
Black-crested Titmouse,1,33,0.5758,0.7600,0.5758,0.6552,0.9697
Brandt's Cormorant,1,33,0.5758,0.7917,0.5758,0.6667,0.8788
Greater Yellowlegs,1,59,0.5763,0.5763,0.5763,0.5763,0.9661
Mexican Jay,1,26,0.5769,0.8824,0.5769,0.6977,1.0000
Red-tailed Hawk,3,150,0.5800,0.5339,0.5556,0.5420,0.8667
Common Tern,1,60,0.5833,0.6604,0.5833,0.6195,0.9833
Lark Bunting,2,51,0.5882,0.7143,0.6505,0.6703,0.8627
Broad-tailed Hummingbird,2,73,0.5890,0.5459,0.5650,0.5464,0.9178
Louisiana Waterthrush,1,42,0.5952,0.7143,0.5952,0.6494,0.9762
Golden Eagle,2,72,0.5972,0.6291,0.5881,0.6019,0.9306
Cliff Swallow,1,30,0.6000,0.4500,0.6000,0.5143,0.7333
Great-tailed Grackle,1,60,0.6000,0.5373,0.6000,0.5669,0.9500
Glaucous-winged Gull,2,60,0.6000,0.5764,0.5789,0.5770,0.9500
Black-capped Chickadee,1,60,0.6000,0.6545,0.6000,0.6261,0.9333
Hooded Oriole,2,78,0.6026,0.7206,0.5837,0.6385,0.9615
Merlin,1,58,0.6034,0.7292,0.6034,0.6604,0.8276
Rufous Hummingbird,2,87,0.6207,0.5614,0.6243,0.5887,0.9770
Peregrine Falcon,2,77,0.6234,0.6405,0.6112,0.6251,0.8442
Black-billed Cuckoo,1,32,0.6250,0.8000,0.6250,0.7018,0.9375
Pigeon Guillemot,2,59,0.6271,0.7250,0.5980,0.6518,0.9153
White-winged Scoter,2,57,0.6316,0.6574,0.6315,0.6416,0.8772
Cape May Warbler,1,60,0.6333,0.8837,0.6333,0.7379,0.8500
Clay-colored Sparrow,1,60,0.6333,0.7308,0.6333,0.6786,0.9167
Black-tailed Gnatcatcher,1,22,0.6364,0.3784,0.6364,0.4746,0.9545
Black-legged Kittiwake,2,42,0.6429,0.6261,0.6419,0.6338,0.9048
Red Crossbill,2,59,0.6441,0.7076,0.6594,0.6739,0.7797
Red-shouldered Hawk,2,76,0.6447,0.6165,0.6447,0.6289,0.8553
