true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,24,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,24,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",23,False,True
Hairy Woodpecker,Downy Woodpecker,23,False,True
Western Wood-Pewee,Eastern Wood-Pewee,20,False,True
Greater Yellowlegs,Lesser Yellowlegs,20,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),19,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",19,False,True
Western Screech-Owl,Eastern Screech-Owl,18,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),18,False,True
Eastern Screech-Owl,Western Screech-Owl,18,False,True
Boat-tailed Grackle,Great-tailed Grackle,17,False,True
Cassin's Vireo,Blue-headed Vireo,17,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),17,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),16,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),16,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",16,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),16,False,True
Common Raven,American Crow,15,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),15,False,True
Great-tailed Grackle,Boat-tailed Grackle,14,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),14,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),14,True,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",13,False,True
Lesser Yellowlegs,Greater Yellowlegs,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",13,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),13,True,True
Pacific Wren,Winter Wren,13,False,True
Louisiana Waterthrush,Northern Waterthrush,13,False,True
Semipalmated Sandpiper,Western Sandpiper,12,False,True
Chihuahuan Raven,Common Raven,12,False,True
Mexican Jay,Western Scrub-Jay,12,False,True
Common Tern,Forster's Tern,12,False,True
Carolina Chickadee,Black-capped Chickadee,12,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Chimney Swift,Vaux's Swift,11,False,True
Hoary Redpoll,Common Redpoll,11,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,11,False,True
American Crow,Fish Crow,11,False,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),11,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),11,True,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),11,False,True
Vaux's Swift,Chimney Swift,11,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
Glossy Ibis,White-faced Ibis,10,False,True
Eastern Meadowlark,Western Meadowlark,10,False,True
Spotted Towhee,Eastern Towhee,10,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),10,True,True
Caspian Tern,Royal Tern,10,False,True
American Crow,Common Raven,10,False,True
Hermit Thrush,Swainson's Thrush,10,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),10,False,True
Tundra Swan,Trumpeter Swan,10,False,True
Herring Gull (Immature),California Gull (Immature),9,False,True
California Gull (Adult),Ring-billed Gull (Adult),9,False,True
Pigeon Guillemot (Breeding),Black Guillemot (Breeding),9,False,True
Mourning Warbler,Nashville Warbler,9,False,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
