class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,14,24,0.1765,0.1111,0.1364,0.1111,0.6296,Common Raven (12)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,2,5,17,0.2857,0.1053,0.1538,0.1053,0.8947,American Crow (9)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,6,27,0.3333,0.1000,0.1538,0.1000,0.7333,Lesser Scaup (Female/Eclipse male) (17)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,5,24,0.3750,0.1111,0.1714,0.1111,0.5556,Northern Rough-winged Swallow (5)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.7778,Dark-eyed Junco (Slate-colored) (7)
377,Pacific Wren,Pacific Wren,Perching Birds,21,3,7,18,0.3000,0.1429,0.1935,0.1429,0.7619,Winter Wren (13)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,6,17,30,0.2609,0.1667,0.2034,0.1667,0.8889,Blue-headed Vireo (17)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,12,21,0.2941,0.1923,0.2326,0.1923,0.7308,California Gull (Immature) (5)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,6,4,35,0.6000,0.1463,0.2353,0.1463,0.7073,"Rufous Hummingbird (Female, immature) (19)"
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,16,16,0.2381,0.2381,0.2381,0.2381,0.9048,"Anna's Hummingbird (Female, immature) (7)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,6,13,24,0.3158,0.2000,0.2449,0.2000,0.8000,Swainson's Hawk (Light morph ) (7)
344,Fish Crow,Fish Crow,Perching Birds,30,10,31,20,0.2439,0.3333,0.2817,0.3333,0.8000,American Crow (8)
