order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.5908,0.5910,0.5752,0.5715,0.9329
Skuas and Alcids,4,91,0.5934,0.5452,0.5313,0.5327,0.8901
"Hawks, Kites, Eagles, and Allies",29,1260,0.6175,0.6382,0.5997,0.6079,0.8810
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6658,0.6207,0.6133,0.6006,0.9091
"Gulls, Terns, and Allies",26,1038,0.6696,0.6291,0.6357,0.6284,0.9316
Loons,6,226,0.7168,0.7031,0.7128,0.7019,0.9204
Caracaras and Falcons,7,346,0.7457,0.7573,0.7306,0.7413,0.8960
Woodpeckers,16,843,0.7829,0.7919,0.7784,0.7811,0.9692
"Ducks, Geese, and Swans",70,2420,0.7864,0.7659,0.7499,0.7480,0.9446
Perching Birds,265,12539,0.7970,0.7867,0.7715,0.7730,0.9478
Owls,9,426,0.8146,0.7989,0.8039,0.7996,0.9601
Storks,1,56,0.8214,0.9200,0.8214,0.8679,0.9643
Grebes,9,375,0.8240,0.8207,0.8212,0.8187,0.9653
Pigeons and Doves,7,359,0.8245,0.8612,0.8258,0.8410,0.9304
Cuckoos,3,113,0.8407,0.8526,0.8337,0.8411,0.9292
"Pelicans, Herons, Ibises, and Allies",21,983,0.8444,0.8616,0.8427,0.8485,0.9695
"Plovers, Sandpipers, and Allies",32,1573,0.8627,0.8549,0.8610,0.8558,0.9835
Nightjars,1,39,0.8718,0.8293,0.8718,0.8500,0.9487
Parrots,1,28,0.8929,1.0000,0.8929,0.9434,1.0000
Cranes and Rails,6,200,0.9000,0.9089,0.8392,0.8558,0.9450
"Grouse, Quail, and Allies",10,342,0.9123,0.9083,0.9028,0.9048,0.9649
Kingfishers and Allies,1,60,0.9167,0.9649,0.9167,0.9402,0.9667
