species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Northwestern Crow,1,19,0.1053,0.2857,0.1053,0.1538,0.8947
Chihuahuan Raven,1,27,0.1111,0.1765,0.1111,0.1364,0.6296
Bank Swallow,1,27,0.1111,0.3750,0.1111,0.1714,0.5556
Pacific Wren,1,21,0.1429,0.3000,0.1429,0.1935,0.7619
Cassin's Vireo,1,36,0.1667,0.2609,0.1667,0.2034,0.8889
Bell's Vireo,1,29,0.2069,0.5455,0.2069,0.3000,0.6897
Greater Scaup,2,73,0.3014,0.4635,0.2709,0.3303,0.7534
Mew Gull,1,23,0.3043,0.3043,0.3043,0.3043,0.7826
Vaux's Swift,1,28,0.3214,0.3214,0.3214,0.3214,0.8571
Fish Crow,1,30,0.3333,0.2439,0.3333,0.2817,0.8000
Western Wood-Pewee,1,49,0.3469,0.4359,0.3469,0.3864,0.8776
Mexican Jay,1,26,0.3846,0.7692,0.3846,0.5128,1.0000
California Gull,2,66,0.3939,0.3603,0.4029,0.3794,0.8030
Broad-winged Hawk,2,55,0.4000,0.5632,0.3992,0.4671,0.8000
Black Tern,1,35,0.4000,0.5185,0.4000,0.4516,0.6286
American Crow,1,57,0.4035,0.3286,0.4035,0.3622,0.8772
Mourning Warbler,1,52,0.4038,0.7500,0.4038,0.5250,0.6923
Swainson's Hawk,3,93,0.4194,0.4489,0.3915,0.4140,0.8495
Neotropic Cormorant,1,38,0.4211,0.5517,0.4211,0.4776,0.7895
Great Cormorant,2,64,0.4219,0.5214,0.4042,0.4533,0.8594
Brandt's Cormorant,1,33,0.4242,0.7778,0.4242,0.5490,0.8485
Allen's Hummingbird,2,101,0.4257,0.6304,0.3815,0.4366,0.8515
Boat-tailed Grackle,1,60,0.4333,0.4262,0.4333,0.4298,0.8667
Juniper Titmouse,1,25,0.4400,0.5238,0.4400,0.4783,0.9600
Mississippi Kite,1,50,0.4400,0.6286,0.4400,0.5176,0.7200
Western Gull,2,59,0.4407,0.4971,0.4143,0.4496,0.8814
Western Screech-Owl,1,34,0.4412,0.3750,0.4412,0.4054,0.9706
Glaucous-winged Gull,2,60,0.4500,0.5214,0.4318,0.4708,0.9500
Barrow's Goldeneye,2,60,0.4500,0.8567,0.4143,0.5280,0.9000
Common Raven,1,57,0.4561,0.4194,0.4561,0.4370,0.8596
Tundra Swan,1,28,0.4643,0.5652,0.4643,0.5098,0.8929
Cliff Swallow,1,30,0.4667,0.4375,0.4667,0.4516,0.7333
Black Guillemot,2,32,0.4688,0.4048,0.4583,0.4291,0.8438
Hoary Redpoll,1,29,0.4828,0.6087,0.4828,0.5385,0.8966
Rough-legged Hawk,2,64,0.5000,0.4774,0.4917,0.4800,0.8906
Red-naped Sapsucker,1,54,0.5000,0.6923,0.5000,0.5806,0.9630
Calliope Hummingbird,2,89,0.5056,0.6429,0.5203,0.5681,0.9326
Northern Harrier,2,120,0.5083,0.6808,0.5083,0.5436,0.7667
Pacific-slope Flycatcher,1,59,0.5085,0.6522,0.5085,0.5714,0.8475
Cordilleran Flycatcher,1,31,0.5161,0.4000,0.5161,0.4507,0.8387
Hairy Woodpecker,1,60,0.5167,0.6739,0.5167,0.5849,0.9667
Broad-tailed Hummingbird,2,73,0.5205,0.5341,0.4965,0.4963,0.8904
Black-chinned Hummingbird,2,109,0.5229,0.5180,0.5395,0.5282,0.8899
Black-capped Chickadee,1,60,0.5333,0.6531,0.5333,0.5872,0.9333
Sharp-shinned Hawk,2,116,0.5345,0.5274,0.5345,0.5278,0.9224
White-tailed Kite,1,13,0.5385,0.8750,0.5385,0.6667,0.7692
Violet-green Swallow,1,37,0.5405,0.9524,0.5405,0.6897,0.8108
Trumpeter Swan,1,37,0.5405,0.5556,0.5405,0.5479,1.0000
Lark Bunting,2,51,0.5490,0.8264,0.5872,0.6800,0.9020
Least Flycatcher,1,60,0.5500,0.5077,0.5500,0.5280,0.8333
Brown-capped Rosy-Finch,1,34,0.5588,0.7308,0.5588,0.6333,0.9412
Plumbeous Vireo,1,41,0.5610,0.6389,0.5610,0.5974,0.8537
Hutton's Vireo,1,39,0.5641,0.5500,0.5641,0.5570,0.9231
Red-tailed Hawk,3,150,0.5667,0.5563,0.5500,0.5480,0.8400
Brewer's Blackbird,2,91,0.5714,0.6056,0.5659,0.5851,0.8242
Cooper's Hawk,2,117,0.5726,0.5406,0.5719,0.5554,0.9402
Black-crested Titmouse,1,33,0.5758,0.9048,0.5758,0.7037,1.0000
White-winged Scoter,2,57,0.5789,0.6218,0.5778,0.5938,0.8947
Great-tailed Grackle,1,60,0.5833,0.4861,0.5833,0.5303,0.9667
Black Scoter,2,41,0.5854,0.6429,0.6100,0.6167,0.7805
Oak Titmouse,1,37,0.5946,0.5789,0.5946,0.5867,0.9459
Eastern Screech-Owl,1,50,0.6000,0.5556,0.6000,0.5769,1.0000
Common Tern,1,60,0.6000,0.6545,0.6000,0.6261,0.9667
Red-shouldered Hawk,2,76,0.6053,0.5874,0.6053,0.5834,0.8553
Chimney Swift,1,33,0.6061,0.5000,0.6061,0.5479,0.9697
Rufous Hummingbird,2,87,0.6092,0.5380,0.6073,0.5688,1.0000
Greater Yellowlegs,1,59,0.6102,0.6102,0.6102,0.6102,1.0000
Semipalmated Sandpiper,1,60,0.6167,0.6379,0.6167,0.6271,0.9833
Cave Swallow,1,34,0.6176,0.4375,0.6176,0.5122,0.8824
Northern Rough-winged Swallow,1,42,0.6190,0.7222,0.6190,0.6667,0.8810
Costa's Hummingbird,2,58,0.6207,0.4560,0.5380,0.4925,0.9483
Rusty Blackbird,1,48,0.6250,0.6977,0.6250,0.6593,0.8333
Red Crossbill,2,59,0.6271,0.6987,0.6447,0.6676,0.8475
Brewer's Sparrow,1,35,0.6286,0.5789,0.6286,0.6027,0.9143
Cassin's Kingbird,1,35,0.6286,0.7097,0.6286,0.6667,0.9143
Ruby-throated Hummingbird,2,114,0.6316,0.5754,0.6352,0.6030,0.9561
Pygmy Nuthatch,1,38,0.6316,0.8000,0.6316,0.7059,0.9474
Eastern Wood-Pewee,1,49,0.6327,0.4493,0.6327,0.5254,0.9796
Clay-colored Sparrow,1,60,0.6333,0.5507,0.6333,0.5891,0.9167
Merlin,1,58,0.6379,0.6727,0.6379,0.6549,0.8276
Louisiana Waterthrush,1,42,0.6429,0.6923,0.6429,0.6667,0.9762
Black-legged Kittiwake,2,42,0.6429,0.5476,0.6419,0.5829,0.8810
Peregrine Falcon,2,77,0.6494,0.6979,0.6329,0.6602,0.8571
Eastern Meadowlark,1,40,0.6500,0.7027,0.6500,0.6753,0.9500
Anna's Hummingbird,2,106,0.6509,0.6702,0.6478,0.6587,0.9717
MacGillivray's Warbler,1,46,0.6522,0.7692,0.6522,0.7059,0.9565
Carolina Chickadee,1,58,0.6552,0.5588,0.6552,0.6032,0.9483
Pacific Loon,2,47,0.6596,0.5587,0.6972,0.6185,1.0000
Pigeon Guillemot,2,59,0.6610,0.6856,0.6043,0.6363,0.9153
Hooded Oriole,2,78,0.6667,0.8030,0.6498,0.7100,0.9744
Snow Goose,2,54,0.6667,0.8283,0.6621,0.7357,0.8704
Golden Eagle,2,72,0.6667,0.6945,0.6714,0.6788,0.9444
Western Sandpiper,1,51,0.6667,0.5862,0.6667,0.6239,1.0000
Tennessee Warbler,1,60,0.6667,0.5556,0.6667,0.6061,0.9333
Boreal Chickadee,1,42,0.6667,0.9655,0.6667,0.7887,0.9048
Great Blue Heron,1,60,0.6667,0.9091,0.6667,0.7692,0.9500
Herring Gull,2,101,0.6733,0.5304,0.6613,0.5886,0.9802
Northern Gannet,2,80,0.6750,0.7239,0.6000,0.6561,0.8375
Townsend's Solitaire,1,37,0.6757,0.8333,0.6757,0.7463,0.9459
California Towhee,1,44,0.6818,0.9091,0.6818,0.7792,0.9091
Black-tailed Gnatcatcher,1,22,0.6818,0.4545,0.6818,0.5455,0.9091
Cape May Warbler,1,60,0.6833,0.9318,0.6833,0.7885,0.9333
Eastern Phoebe,1,60,0.6833,0.7321,0.6833,0.7069,0.8333
Lesser Yellowlegs,1,60,0.6833,0.6029,0.6833,0.6406,0.9833
Lesser Scaup,2,79,0.6835,0.4902,0.6867,0.5712,0.9620
Great Black-backed Gull,2,73,0.6849,0.7694,0.6955,0.7285,0.9452
Black-billed Cuckoo,1,32,0.6875,0.8148,0.6875,0.7458,0.8750
Ring-billed Gull,2,96,0.6875,0.5774,0.6667,0.6183,0.9062
Verdin,1,32,0.6875,0.7857,0.6875,0.7333,0.8750
Caspian Tern,1,49,0.6939,0.7083,0.6939,0.7010,1.0000
Yellow-bellied Sapsucker,1,59,0.6949,0.5775,0.6949,0.6308,0.9831
Vesper Sparrow,1,60,0.7000,0.7241,0.7000,0.7119,0.9667
Wrentit,1,37,0.7027,0.8966,0.7027,0.7879,0.8919
Purple Martin,2,71,0.7042,0.7576,0.7040,0.7298,0.9296
Bay-breasted Warbler,2,62,0.7097,0.8000,0.7001,0.7383,0.8871
Prairie Falcon,1,42,0.7143,0.6667,0.7143,0.6897,0.9048
Cackling Goose,1,14,0.7143,0.6667,0.7143,0.6897,0.9286
Northern Shrike,1,60,0.7167,0.7414,0.7167,0.7288,0.9167
Surf Scoter,2,61,0.7213,0.6535,0.6605,0.6523,0.9016
Mottled Duck,1,29,0.7241,0.7000,0.7241,0.7119,1.0000
Band-tailed Pigeon,1,40,0.7250,0.9062,0.7250,0.8056,0.9500
Common Loon,2,120,0.7250,0.7957,0.7250,0.7521,0.9083
Cassin's Finch,2,62,0.7258,0.8381,0.6996,0.7622,0.9516
Lesser Goldfinch,2,95,0.7263,0.8381,0.6768,0.7352,0.8947
Pelagic Cormorant,1,26,0.7308,0.5135,0.7308,0.6032,1.0000
Rufous-crowned Sparrow,1,41,0.7317,0.7500,0.7317,0.7407,0.9024
Gadwall,2,75,0.7333,0.6532,0.5954,0.6173,0.9200
Phainopepla,2,53,0.7358,0.7303,0.7190,0.7228,0.8868
Royal Tern,1,38,0.7368,0.6364,0.7368,0.6829,1.0000
Yellow-rumped Warbler,4,214,0.7383,0.7072,0.7305,0.7164,0.9907
Blue Grosbeak,2,100,0.7400,0.8110,0.7102,0.7535,0.9600
Canada Goose,1,31,0.7419,0.7931,0.7419,0.7667,0.9032
Red-throated Loon,2,59,0.7458,0.7549,0.7163,0.7349,0.8814
Osprey,1,52,0.7500,0.7959,0.7500,0.7723,0.9423
