class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,3,28,0.4000,0.0667,0.1143,0.0667,0.6667,Lesser Scaup (Female/Eclipse male) (19)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,12,24,0.2000,0.1111,0.1429,0.1111,0.6296,Common Raven (16)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,3,3,26,0.5000,0.1034,0.1714,0.1034,0.4483,Orange-crowned Warbler (4)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,12,22,0.2500,0.1538,0.1905,0.1538,0.6538,California Gull (Immature) (7)
344,Fish Crow,Fish Crow,Perching Birds,30,6,26,24,0.1875,0.2000,0.1935,0.2000,0.6667,American Crow (10)
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,9,23,0.3077,0.1481,0.2000,0.1481,0.4815,Northern Rough-winged Swallow (5)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,17,14,0.2273,0.2632,0.2439,0.2632,0.8421,American Crow (6)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,23,27,0.2812,0.2500,0.2647,0.2500,0.8056,Blue-headed Vireo (16)
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,4,17,0.5000,0.1905,0.2759,0.1905,0.7143,Winter Wren (13)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,14,26,45,0.3500,0.2373,0.2828,0.2373,0.7288,"Ruby-throated Hummingbird (Female, immature) (19)"
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,8,7,33,0.5333,0.1951,0.2857,0.1951,0.6585,"Rufous Hummingbird (Female, immature) (14)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,6,10,18,0.3750,0.2500,0.3000,0.2500,0.5833,Red-tailed Hawk (Light morph immature) (8)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,5,3,20,0.6250,0.2000,0.3030,0.2000,0.8400,Common Goldeneye (Female/Eclipse male) (14)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,2,7,0.5000,0.2222,0.3077,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (6)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,9,24,16,0.2727,0.3600,0.3103,0.3600,0.6800,Herring Gull (Adult) (3)
501,American Crow,American Crow,Perching Birds,57,17,34,40,0.3333,0.2982,0.3148,0.2982,0.8070,Common Raven (10)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,10,20,20,0.3333,0.3333,0.3333,0.3333,0.7333,Swainson's Hawk (Light morph ) (6)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,17,34,31,0.3333,0.3542,0.3434,0.3542,0.8958,"Broad-tailed Hummingbird (Female, immature) (15)"
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,5,5,14,0.5000,0.2632,0.3448,0.2632,0.8947,Northern Shoveler (Female/Eclipse male) (6)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,10,12,25,0.4545,0.2857,0.3509,0.2857,0.6000,Forster's Tern (5)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,10,18,17,0.3571,0.3704,0.3636,0.3704,0.8889,Common Loon (Nonbreeding/juvenile) (10)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,24,17,0.3333,0.4138,0.3692,0.4138,0.8276,"Calliope Hummingbird (Female, immature) (12)"
353,Cave Swallow,Cave Swallow,Perching Birds,34,11,13,23,0.4583,0.3235,0.3793,0.3235,0.7647,Cliff Swallow (15)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,13,14,28,0.4815,0.3171,0.3824,0.3171,0.8537,Herring Gull (Adult) (10)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,8,11,14,0.4211,0.3636,0.3902,0.3636,0.9091,Herring Gull (Immature) (7)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,12,19,18,0.3871,0.4000,0.3934,0.4000,0.8667,Red-tailed Hawk (Light morph immature) (5)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,13,13,27,0.5000,0.3250,0.3939,0.3250,0.8750,Double-crested Cormorant (Adult) (10)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,13,18,21,0.4194,0.3824,0.4000,0.3824,0.8824,Eastern Screech-Owl (19)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,8,11,13,0.4211,0.3810,0.4000,0.3810,0.8571,"Ruby-throated Hummingbird (Female, immature) (5)"
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,15,27,16,0.3571,0.4839,0.4110,0.4839,0.8065,Pacific-slope Flycatcher (5)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,12,18,16,0.4000,0.4286,0.4138,0.4286,0.8214,Chimney Swift (10)
352,Cliff Swallow,Cliff Swallow,Perching Birds,30,15,27,15,0.3571,0.5000,0.4167,0.5000,0.7000,Cave Swallow (5)
346,Common Raven,Common Raven,Perching Birds,57,28,47,29,0.3733,0.4912,0.4242,0.4912,0.8596,American Crow (11)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,10,13,14,0.4348,0.4167,0.4255,0.4167,0.7500,"Bald Eagle (Immature, juvenile) (4)"
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,26,34,34,0.4333,0.4333,0.4333,0.4333,0.9333,Great-tailed Grackle (19)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,11,14,14,0.4400,0.4400,0.4400,0.4400,0.8800,Oak Titmouse (9)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,10,11,14,0.4762,0.4167,0.4444,0.4167,0.7917,Double-crested Cormorant (Immature) (9)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,23,30,26,0.4340,0.4694,0.4510,0.4694,0.8367,Eastern Wood-Pewee (14)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,12,15,14,0.4444,0.4615,0.4528,0.4615,0.8462,Baltimore Oriole (Female/Immature male) (6)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,15,13,23,0.5357,0.3947,0.4545,0.3947,0.7105,Double-crested Cormorant (Immature) (9)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,12,17,11,0.4138,0.5217,0.4615,0.5217,0.7391,Ring-billed Gull (Immature) (3)
361,Oak Titmouse,Oak Titmouse,Perching Birds,37,17,19,20,0.4722,0.4595,0.4658,0.4595,0.9459,Juniper Titmouse (9)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,7,3,13,0.7000,0.3500,0.4667,0.3500,0.8500,Blue-winged Teal (Female/juvenile) (3)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,12,11,16,0.5217,0.4286,0.4706,0.4286,0.8214,Trumpeter Swan (10)
527,Lazuli Bunting (Female/juvenile),Lazuli Bunting,Perching Birds,22,9,7,13,0.5625,0.4091,0.4737,0.4091,0.7727,Blue Grosbeak (Female/juvenile) (5)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,19,8,33,0.7037,0.3654,0.4810,0.3654,0.6154,MacGillivray's Warbler (12)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,23,28,21,0.4510,0.5227,0.4842,0.5227,1.0000,Yellow-rumped Warbler (Breeding Audubon's) (15)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,20,23,18,0.4651,0.5263,0.4938,0.5263,0.8684,Red-tailed Hawk (Light morph immature) (7)
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,26,21,32,0.5532,0.4483,0.4952,0.4483,1.0000,Cooper's Hawk (Immature) (18)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,7,4,10,0.6364,0.4118,0.5000,0.4118,0.9412,Northern Shoveler (Female/Eclipse male) (2)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,9,7,11,0.5625,0.4500,0.5000,0.4500,0.9000,Pigeon Guillemot (Breeding) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,6,2,10,0.7500,0.3750,0.5000,0.3750,1.0000,Fox Sparrow (Sooty) (6)
522,Western Tanager (Female/Nonbreeding Male),Western Tanager,Perching Birds,33,16,14,17,0.5333,0.4848,0.5079,0.4848,0.9091,Scarlet Tanager (Female/Nonbreeding Male) (6)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,13,7,18,0.6500,0.4194,0.5098,0.4194,0.8387,Merlin (3)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,11,6,15,0.6471,0.4231,0.5116,0.4231,0.8077,Cooper's Hawk (Adult) (3)
249,Northern Gannet (Immature/Juvenile),Northern Gannet,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",20,9,6,11,0.6000,0.4500,0.5143,0.4500,0.7500,"Pigeon Guillemot (Nonbreeding, juvenile) (2)"
133,White-tailed Kite,White-tailed Kite,"Hawks, Kites, Eagles, and Allies",13,6,4,7,0.6000,0.4615,0.5217,0.4615,0.9231,Black-crowned Night-Heron (Adult) (1)
