true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,27,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,25,False,True
Western Wood-Pewee,Eastern Wood-Pewee,23,False,True
Hairy Woodpecker,Downy Woodpecker,21,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",21,False,True
Greater Yellowlegs,Lesser Yellowlegs,21,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),19,True,True
Cassin's Vireo,Blue-headed Vireo,18,False,True
Western Screech-Owl,Eastern Screech-Owl,18,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),17,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),17,False,True
Great-tailed Grackle,Boat-tailed Grackle,16,False,True
Common Tern,Forster's Tern,16,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),16,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),16,False,True
Tundra Swan,Trumpeter Swan,15,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Mourning Warbler,MacGillivray's Warbler,15,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),14,False,True
Pacific Wren,Winter Wren,14,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),14,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",14,False,True
Eastern Meadowlark,Western Meadowlark,14,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,12,False,True
Lesser Yellowlegs,Greater Yellowlegs,12,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),12,False,True
Eastern Screech-Owl,Western Screech-Owl,12,False,True
Vaux's Swift,White-throated Swift,12,False,True
Boat-tailed Grackle,Great-tailed Grackle,11,False,True
Common Raven,American Crow,11,False,True
American Crow,Common Raven,11,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),11,True,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),10,False,True
White-faced Ibis,Glossy Ibis,10,False,True
Broad-winged Hawk (Immature),Red-shouldered Hawk (Immature),10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),9,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),9,True,True
California Gull (Adult),Herring Gull (Adult),9,False,True
Trumpeter Swan,Tundra Swan,9,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),9,False,True
American Crow,Fish Crow,9,False,True
Cave Swallow,Cliff Swallow,9,False,True
Black-billed Cuckoo,Yellow-billed Cuckoo,9,False,True
Hoary Redpoll,Common Redpoll,9,False,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",9,True,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",9,False,True
Cordilleran Flycatcher,Pacific-slope Flycatcher,9,False,True
Western Grebe,Clark's Grebe,9,False,True
Chimney Swift,White-throated Swift,8,False,True
Pygmy Nuthatch,Brown-headed Nuthatch,8,False,True
Ladder-backed Woodpecker,Nuttall's Woodpecker,8,False,True
"Allen's Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",8,False,True
"Rufous Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",8,False,True
Spotted Towhee,Eastern Towhee,8,False,True
Mottled Duck,Mallard (Female/Eclipse male),8,False,True
