class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,1,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (7)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,1,10,25,0.0909,0.0385,0.0541,0.0385,0.5385,Herring Gull (Immature) (6)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,13,25,0.1333,0.0741,0.0952,0.0741,0.7407,Common Raven (15)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,3,28,0.4000,0.0667,0.1143,0.0667,0.6000,Lesser Scaup (Female/Eclipse male) (19)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,5,25,0.2857,0.0741,0.1176,0.0741,0.6296,Northern Rough-winged Swallow (6)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,7,16,29,0.3043,0.1944,0.2373,0.1944,0.8889,Blue-headed Vireo (18)
344,Fish Crow,Fish Crow,Perching Birds,30,7,22,23,0.2414,0.2333,0.2373,0.2333,0.8667,Common Raven (7)
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,5,17,0.4444,0.1905,0.2667,0.1905,0.8095,Winter Wren (14)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,1,21,0.8000,0.1600,0.2667,0.1600,0.8400,Common Goldeneye (Female/Eclipse male) (17)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,7,16,17,0.3043,0.2917,0.2979,0.2917,0.8333,Red-tailed Hawk (Dark morph) (4)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,14,13,0.3000,0.3158,0.3077,0.3158,0.9474,American Crow (5)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,8,3,33,0.7273,0.1951,0.3077,0.1951,0.8780,"Rufous Hummingbird (Female, immature) (13)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,9,16,21,0.3600,0.3000,0.3273,0.3000,0.7667,Swainson's Hawk (Light morph ) (8)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,6,9,15,0.4000,0.2857,0.3333,0.2857,0.8095,"Ruby-throated Hummingbird (Female, immature) (4)"
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,8,5,27,0.6154,0.2286,0.3333,0.2286,0.5714,Forster's Tern (6)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,13,17,0.3810,0.3200,0.3478,0.3200,0.7200,Herring Gull (Immature) (4)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,10,18,19,0.3571,0.3448,0.3509,0.3448,0.8621,"Calliope Hummingbird (Female, immature) (14)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,3,18,0.6667,0.2500,0.3636,0.2500,0.8333,Double-crested Cormorant (Immature) (10)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,2,12,0.6667,0.2500,0.3636,0.2500,1.0000,Fox Sparrow (Sooty) (8)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,10,17,17,0.3704,0.3704,0.3704,0.3704,0.9630,Common Loon (Nonbreeding/juvenile) (9)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,10,15,18,0.4000,0.3571,0.3774,0.3571,0.8929,Trumpeter Swan (15)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,22,33,37,0.4000,0.3729,0.3860,0.3729,0.8644,"Ruby-throated Hummingbird (Female, immature) (21)"
231,Surf Scoter (Female/immature),Surf Scoter,"Ducks, Geese, and Swans",24,8,9,16,0.4706,0.3333,0.3902,0.3333,0.7083,Pied-billed Grebe (2)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,12,15,22,0.4444,0.3529,0.3934,0.3529,0.9412,Eastern Screech-Owl (18)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,13,22,18,0.3714,0.4194,0.3939,0.4194,0.8710,Pacific-slope Flycatcher (9)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,17,20,32,0.4595,0.3469,0.3953,0.3469,0.8571,Eastern Wood-Pewee (23)
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,5,8,7,0.3846,0.4167,0.4000,0.4167,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (3)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,8,9,15,0.4706,0.3478,0.4000,0.3478,0.8261,Ring-billed Gull (Adult) (5)
501,American Crow,American Crow,Perching Birds,57,24,35,33,0.4068,0.4211,0.4138,0.4211,0.7719,Common Raven (11)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,8,6,16,0.5714,0.3333,0.4211,0.3333,0.7083,Swainson's Hawk (Light morph ) (3)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,10,7,18,0.5882,0.3571,0.4444,0.3571,0.9643,White-throated Swift (12)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,28,48,20,0.3684,0.5833,0.4516,0.5833,0.9583,"Broad-tailed Hummingbird (Female, immature) (9)"
96,Cackling Goose,Cackling Goose,"Ducks, Geese, and Swans",14,5,3,9,0.6250,0.3571,0.4545,0.3571,1.0000,Canada Goose (7)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,10,9,15,0.5263,0.4000,0.4545,0.4000,0.9200,Oak Titmouse (8)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,11,11,15,0.5000,0.4231,0.4583,0.4231,0.8462,Red-tailed Hawk (Light morph adult) (2)
