order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.6264,0.5716,0.5579,0.5616,0.8901
Swifts and Hummingbirds,21,909,0.6491,0.6511,0.6222,0.6221,0.9494
"Hawks, Kites, Eagles, and Allies",29,1260,0.6587,0.6403,0.6370,0.6294,0.8794
"Gulls, Terns, and Allies",26,1038,0.6927,0.6705,0.6584,0.6555,0.9191
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6978,0.6396,0.6457,0.6262,0.9287
Loons,6,226,0.7168,0.7311,0.6846,0.7014,0.9071
Caracaras and Falcons,7,346,0.7572,0.7901,0.7382,0.7555,0.8988
"Ducks, Geese, and Swans",70,2420,0.7946,0.7870,0.7579,0.7580,0.9413
Woodpeckers,16,843,0.7983,0.7973,0.7902,0.7841,0.9644
Perching Birds,265,12539,0.8199,0.8071,0.7962,0.7966,0.9524
Owls,9,426,0.8216,0.8107,0.8067,0.8058,0.9531
Cuckoos,3,113,0.8319,0.8491,0.8260,0.8299,0.9735
Grebes,9,375,0.8400,0.8354,0.8320,0.8303,0.9573
Nightjars,1,39,0.8462,0.9429,0.8462,0.8919,0.9487
Parrots,1,28,0.8571,1.0000,0.8571,0.9231,0.9286
Pigeons and Doves,7,359,0.8663,0.8969,0.8689,0.8813,0.9499
"Pelicans, Herons, Ibises, and Allies",21,983,0.8759,0.8722,0.8689,0.8666,0.9756
"Plovers, Sandpipers, and Allies",32,1573,0.8881,0.8977,0.8830,0.8855,0.9828
Cranes and Rails,6,200,0.8900,0.9319,0.8016,0.8391,0.9450
Kingfishers and Allies,1,60,0.9167,0.9821,0.9167,0.9483,0.9667
"Grouse, Quail, and Allies",10,342,0.9240,0.9335,0.9088,0.9190,0.9620
Storks,1,56,0.9286,0.9630,0.9286,0.9455,0.9821
