species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.1333,0.0741,0.0952,0.7407
Bank Swallow,1,27,0.0741,0.2857,0.0741,0.1176,0.6296
Pacific Wren,1,21,0.1905,0.4444,0.1905,0.2667,0.8095
Cassin's Vireo,1,36,0.1944,0.3043,0.1944,0.2373,0.8889
Black Tern,1,35,0.2286,0.6154,0.2286,0.3333,0.5714
Fish Crow,1,30,0.2333,0.2414,0.2333,0.2373,0.8667
Greater Scaup,2,73,0.3014,0.5846,0.2659,0.3470,0.7123
Northwestern Crow,1,19,0.3158,0.3000,0.3158,0.3077,0.9474
Mourning Warbler,1,52,0.3462,0.7826,0.3462,0.4800,0.7308
Western Wood-Pewee,1,49,0.3469,0.4595,0.3469,0.3953,0.8571
Mew Gull,1,23,0.3478,0.4706,0.3478,0.4000,0.8261
California Gull,2,66,0.3485,0.5030,0.3429,0.4047,0.7727
Western Screech-Owl,1,34,0.3529,0.4444,0.3529,0.3934,0.9412
Tundra Swan,1,28,0.3571,0.4000,0.3571,0.3774,0.8929
Vaux's Swift,1,28,0.3571,0.5882,0.3571,0.4444,0.9643
Cackling Goose,1,14,0.3571,0.6250,0.3571,0.4545,1.0000
Juniper Titmouse,1,25,0.4000,0.5263,0.4000,0.4545,0.9200
Great Cormorant,2,64,0.4062,0.5833,0.3750,0.4318,0.8750
Barrow's Goldeneye,2,60,0.4167,0.8773,0.3800,0.5018,0.9000
Cordilleran Flycatcher,1,31,0.4194,0.3714,0.4194,0.3939,0.8710
Neotropic Cormorant,1,38,0.4211,0.5333,0.4211,0.4706,0.7632
American Crow,1,57,0.4211,0.4068,0.4211,0.4138,0.7719
Cave Swallow,1,34,0.4412,0.5000,0.4412,0.4688,0.8235
Bell's Vireo,1,29,0.4483,0.6500,0.4483,0.5306,0.7241
Boat-tailed Grackle,1,60,0.4500,0.5192,0.4500,0.4821,0.9167
Cliff Swallow,1,30,0.4667,0.5600,0.4667,0.5091,0.7000
Black-capped Chickadee,1,60,0.4667,0.7568,0.4667,0.5773,0.9500
Black Guillemot,2,32,0.4688,0.4304,0.4583,0.4439,0.8438
Broad-winged Hawk,2,55,0.4727,0.5385,0.4702,0.5019,0.8000
Swainson's Hawk,3,93,0.4731,0.5020,0.4419,0.4587,0.8172
Mississippi Kite,1,50,0.4800,0.8000,0.4800,0.6000,0.6800
Red-naped Sapsucker,1,54,0.4815,0.7429,0.4815,0.5843,1.0000
Allen's Hummingbird,2,101,0.5050,0.7161,0.4559,0.5092,0.9307
Western Gull,2,59,0.5085,0.4373,0.4586,0.4413,0.7966
Chimney Swift,1,33,0.5152,0.6296,0.5152,0.5667,0.9697
Least Flycatcher,1,60,0.5167,0.5962,0.5167,0.5536,0.8500
Sharp-shinned Hawk,2,116,0.5259,0.5682,0.5259,0.5457,0.8966
Common Tern,1,60,0.5333,0.7442,0.5333,0.6214,0.9333
Oak Titmouse,1,37,0.5405,0.5882,0.5405,0.5634,0.8649
Common Raven,1,57,0.5439,0.4306,0.5439,0.4806,0.8772
Hairy Woodpecker,1,60,0.5500,0.8684,0.5500,0.6735,0.9667
Eastern Meadowlark,1,40,0.5500,0.7857,0.5500,0.6471,0.9750
Hoary Redpoll,1,29,0.5517,0.6957,0.5517,0.6154,0.8621
Mottled Duck,1,29,0.5517,0.6957,0.5517,0.6154,1.0000
Plumbeous Vireo,1,41,0.5610,0.6970,0.5610,0.6216,0.8293
Rusty Blackbird,1,48,0.5625,0.8182,0.5625,0.6667,0.8750
Trumpeter Swan,1,37,0.5676,0.5250,0.5676,0.5455,0.9730
Violet-green Swallow,1,37,0.5676,0.8400,0.5676,0.6774,0.8378
Black-chinned Hummingbird,2,109,0.5688,0.6167,0.5864,0.6011,0.9174
Pacific Loon,2,47,0.5745,0.6102,0.6102,0.6102,0.9787
Greater Yellowlegs,1,59,0.5763,0.6800,0.5763,0.6239,0.9831
Rough-legged Hawk,2,64,0.5781,0.4352,0.5208,0.4715,0.9219
Great-tailed Grackle,1,60,0.5833,0.5738,0.5833,0.5785,0.9500
Pacific-slope Flycatcher,1,59,0.5932,0.6604,0.5932,0.6250,0.8475
Rufous Hummingbird,2,87,0.5977,0.5897,0.5903,0.5897,0.9655
Northern Harrier,2,120,0.6000,0.7075,0.6000,0.5974,0.7500
Brandt's Cormorant,1,33,0.6061,0.6250,0.6061,0.6154,0.9091
Lark Bunting,2,51,0.6078,0.8653,0.6554,0.7386,0.9020
Eastern Wood-Pewee,1,49,0.6122,0.4348,0.6122,0.5085,0.9388
Northern Rough-winged Swallow,1,42,0.6190,0.6500,0.6190,0.6341,0.9048
Golden Eagle,2,72,0.6250,0.5836,0.6167,0.5975,0.9028
Brewer's Blackbird,2,91,0.6264,0.6421,0.6465,0.6409,0.8242
Red-tailed Hawk,3,150,0.6267,0.6448,0.6000,0.6215,0.8467
Cassin's Kingbird,1,35,0.6286,0.6286,0.6286,0.6286,0.9714
Snow Goose,2,54,0.6296,0.7450,0.6250,0.6788,0.8519
Glaucous-winged Gull,2,60,0.6333,0.6168,0.5957,0.5965,0.9833
Black Scoter,2,41,0.6341,0.7619,0.6555,0.6853,0.7561
Black-crested Titmouse,1,33,0.6364,0.8400,0.6364,0.7241,0.9394
Peregrine Falcon,2,77,0.6364,0.7389,0.6062,0.6503,0.8961
Hooded Oriole,2,78,0.6410,0.8323,0.6266,0.7107,0.9615
Bay-breasted Warbler,2,62,0.6452,0.7468,0.6332,0.6737,0.9194
White-faced Ibis,1,34,0.6471,0.9167,0.6471,0.7586,0.9706
White-winged Scoter,2,57,0.6491,0.6673,0.6426,0.6248,0.8947
Cooper's Hawk,2,117,0.6496,0.5636,0.6496,0.6032,0.9316
Costa's Hummingbird,2,58,0.6552,0.6211,0.5753,0.5933,0.9310
Black-billed Cuckoo,1,32,0.6562,0.8750,0.6562,0.7500,0.9375
Red-shouldered Hawk,2,76,0.6579,0.6140,0.6579,0.6277,0.8684
Red Crossbill,2,59,0.6610,0.7834,0.6794,0.7179,0.8305
Calliope Hummingbird,2,89,0.6629,0.6539,0.6697,0.6447,0.9551
Boreal Chickadee,1,42,0.6667,1.0000,0.6667,0.8000,0.9524
Broad-tailed Hummingbird,2,73,0.6712,0.5765,0.6156,0.5948,0.9315
Brown-capped Rosy-Finch,1,34,0.6765,0.7419,0.6765,0.7077,0.9706
Black-tailed Gnatcatcher,1,22,0.6818,0.3947,0.6818,0.5000,0.8182
Cape May Warbler,1,60,0.6833,0.9318,0.6833,0.7885,0.8833
Pygmy Nuthatch,1,38,0.6842,0.7879,0.6842,0.7324,0.9474
Pine Warbler,1,48,0.6875,0.7500,0.6875,0.7174,0.8750
Merlin,1,58,0.6897,0.7407,0.6897,0.7143,0.7931
White-tailed Kite,1,13,0.6923,0.5625,0.6923,0.6207,0.9231
Golden-fronted Woodpecker,1,33,0.6970,0.7188,0.6970,0.7077,0.9394
Tennessee Warbler,1,60,0.7000,0.5915,0.7000,0.6412,0.9167
Eastern Screech-Owl,1,50,0.7000,0.6364,0.7000,0.6667,1.0000
Surf Scoter,2,61,0.7049,0.6520,0.6396,0.6382,0.8852
Pigeon Guillemot,2,59,0.7119,0.7128,0.6576,0.6793,0.9153
