true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,25,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",25,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),22,False,True
Hairy Woodpecker,Downy Woodpecker,22,False,True
Black-capped Chickadee,Carolina Chickadee,21,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),20,True,True
Western Wood-Pewee,Eastern Wood-Pewee,20,False,True
Greater Yellowlegs,Lesser Yellowlegs,20,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",19,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),19,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Western Screech-Owl,Eastern Screech-Owl,19,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),18,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),18,False,True
Great-tailed Grackle,Boat-tailed Grackle,16,False,True
Common Tern,Forster's Tern,15,False,True
Chihuahuan Raven,Common Raven,15,False,True
Pacific Wren,Winter Wren,15,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),15,True,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),15,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),14,False,True
Eastern Screech-Owl,Western Screech-Owl,14,False,True
Tundra Swan,Trumpeter Swan,14,False,True
Mourning Warbler,MacGillivray's Warbler,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Eastern Meadowlark,Western Meadowlark,12,False,True
Plumbeous Vireo,Cassin's Vireo,12,False,True
Hoary Redpoll,Common Redpoll,12,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),12,False,True
Western Sandpiper,Semipalmated Sandpiper,12,False,True
Western Grebe,Clark's Grebe,12,False,True
Cave Swallow,Cliff Swallow,11,False,True
American Crow,Common Raven,11,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),11,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",11,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,11,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),11,True,True
Juniper Titmouse,Oak Titmouse,10,False,True
Fish Crow,American Crow,10,False,True
Common Raven,American Crow,10,False,True
Cassin's Vireo,Blue-headed Vireo,10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
Eastern Wood-Pewee,Western Wood-Pewee,10,False,True
Boat-tailed Grackle,Great-tailed Grackle,10,False,True
White-faced Ibis,Glossy Ibis,10,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",10,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,10,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),9,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),9,True,True
Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
Golden Eagle (Immature),Golden Eagle (Adult),9,True,True
Swainson's Hawk (Dark morph ),Swainson's Hawk (Light morph ),9,True,True
Snow Goose (White morph),Ross's Goose,9,False,True
Spotted Towhee,Eastern Towhee,9,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),9,True,True
Hermit Thrush,Swainson's Thrush,9,False,True
Carolina Chickadee,Black-capped Chickadee,9,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),9,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",9,False,True
Cordilleran Flycatcher,Pacific-slope Flycatcher,8,False,True
