class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,1,13,26,0.0714,0.0370,0.0488,0.0370,0.8519,Common Raven (15)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,6,28,0.2500,0.0667,0.1053,0.0667,0.6333,Lesser Scaup (Female/Eclipse male) (19)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,5,25,0.2857,0.0741,0.1176,0.0741,0.6296,Northern Rough-winged Swallow (7)
344,Fish Crow,Fish Crow,Perching Birds,30,6,26,24,0.1875,0.2000,0.1935,0.2000,0.7667,American Crow (10)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,2,22,0.6000,0.1200,0.2000,0.1200,0.8000,Common Goldeneye (Female/Eclipse male) (18)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,5,3,36,0.6250,0.1220,0.2041,0.1220,0.7561,"Rufous Hummingbird (Female, immature) (25)"
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,11,21,0.3125,0.1923,0.2381,0.1923,0.6538,Herring Gull (Immature) (6)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,4,8,17,0.3333,0.1905,0.2424,0.1905,0.9048,"Anna's Hummingbird (Female, immature) (7)"
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,3,9,9,0.2500,0.2500,0.2500,0.2500,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (5)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,5,17,0.4444,0.1905,0.2667,0.1905,0.8571,Winter Wren (15)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,11,14,0.3125,0.2632,0.2857,0.2632,0.9474,American Crow (6)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,7,13,20,0.3500,0.2593,0.2979,0.2593,1.0000,Common Loon (Nonbreeding/juvenile) (10)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,17,17,0.3200,0.3200,0.3200,0.3200,0.8400,California Gull (Adult) (3)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,12,26,24,0.3158,0.3333,0.3243,0.3333,0.9167,Blue-headed Vireo (10)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,1,7,0.6667,0.2222,0.3333,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (7)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,7,10,17,0.4118,0.2917,0.3415,0.2917,0.7083,Red-tailed Hawk (Light morph immature) (7)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,9,7,26,0.5625,0.2571,0.3529,0.2571,0.6571,Forster's Tern (3)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,10,14,20,0.4167,0.3333,0.3704,0.3333,0.8333,Swainson's Hawk (Light morph ) (9)
501,American Crow,American Crow,Perching Birds,57,21,35,36,0.3750,0.3684,0.3717,0.3684,0.7719,Common Raven (11)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,8,12,15,0.4000,0.3478,0.3721,0.3478,0.9130,Ring-billed Gull (Adult) (4)
