order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5934,0.5135,0.4972,0.5020,0.9011
Swifts and Hummingbirds,21,909,0.6491,0.6420,0.6271,0.6196,0.9428
"Hawks, Kites, Eagles, and Allies",29,1260,0.6500,0.6642,0.6297,0.6365,0.8841
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6978,0.6518,0.6528,0.6451,0.9287
"Gulls, Terns, and Allies",26,1038,0.7071,0.6821,0.6770,0.6733,0.9383
Loons,6,226,0.7080,0.7088,0.6855,0.6901,0.9248
Caracaras and Falcons,7,346,0.7457,0.7836,0.7252,0.7483,0.8988
"Ducks, Geese, and Swans",70,2420,0.7975,0.7785,0.7615,0.7572,0.9393
Woodpeckers,16,843,0.8031,0.8016,0.7986,0.7950,0.9751
Perching Birds,265,12539,0.8237,0.8116,0.7993,0.8001,0.9541
Grebes,9,375,0.8240,0.8171,0.8147,0.8097,0.9467
Cuckoos,3,113,0.8319,0.8392,0.8260,0.8302,0.9469
Owls,9,426,0.8380,0.8289,0.8234,0.8240,0.9531
Pigeons and Doves,7,359,0.8524,0.8589,0.8514,0.8539,0.9499
Parrots,1,28,0.8571,1.0000,0.8571,0.9231,0.9286
Nightjars,1,39,0.8718,0.8947,0.8718,0.8831,0.9487
"Pelicans, Herons, Ibises, and Allies",21,983,0.8718,0.8692,0.8634,0.8627,0.9695
Cranes and Rails,6,200,0.8900,0.8942,0.8085,0.8347,0.9450
"Plovers, Sandpipers, and Allies",32,1573,0.8964,0.8884,0.8934,0.8884,0.9873
Storks,1,56,0.9107,0.9623,0.9107,0.9358,0.9643
"Grouse, Quail, and Allies",10,342,0.9123,0.9472,0.8921,0.9170,0.9649
Kingfishers and Allies,1,60,0.9667,0.9508,0.9667,0.9587,0.9833
