species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0370,0.0714,0.0370,0.0488,0.8519
Bank Swallow,1,27,0.0741,0.2857,0.0741,0.1176,0.6296
Pacific Wren,1,21,0.1905,0.4444,0.1905,0.2667,0.8571
Fish Crow,1,30,0.2000,0.1875,0.2000,0.1935,0.7667
Black Tern,1,35,0.2571,0.5625,0.2571,0.3529,0.6571
Greater Scaup,2,73,0.2603,0.5114,0.2310,0.3142,0.6986
Northwestern Crow,1,19,0.2632,0.3125,0.2632,0.2857,0.9474
Mourning Warbler,1,52,0.3077,0.7273,0.3077,0.4324,0.7500
Cassin's Vireo,1,36,0.3333,0.3158,0.3333,0.3243,0.9167
Black Guillemot,2,32,0.3438,0.3917,0.3250,0.3536,0.8438
Western Wood-Pewee,1,49,0.3469,0.4595,0.3469,0.3953,0.8571
Mew Gull,1,23,0.3478,0.4000,0.3478,0.3721,0.9130
Cackling Goose,1,14,0.3571,0.5556,0.3571,0.4348,0.9286
Tundra Swan,1,28,0.3571,0.5263,0.3571,0.4255,0.8929
Mississippi Kite,1,50,0.3600,0.6429,0.3600,0.4615,0.7200
Juniper Titmouse,1,25,0.3600,0.6000,0.3600,0.4500,1.0000
California Gull,2,66,0.3636,0.4181,0.3551,0.3822,0.8939
American Crow,1,57,0.3684,0.3750,0.3684,0.3717,0.7719
Western Screech-Owl,1,34,0.3824,0.4643,0.3824,0.4194,0.9412
Barrow's Goldeneye,2,60,0.4000,0.7565,0.3600,0.4621,0.9167
Cave Swallow,1,34,0.4118,0.4828,0.4118,0.4444,0.8235
Bell's Vireo,1,29,0.4138,0.8571,0.4138,0.5581,0.7586
Neotropic Cormorant,1,38,0.4211,0.4571,0.4211,0.4384,0.7895
Allen's Hummingbird,2,101,0.4356,0.6322,0.3860,0.4244,0.8812
Great Cormorant,2,64,0.4375,0.5278,0.4167,0.4632,0.8594
Hoary Redpoll,1,29,0.4483,0.6842,0.4483,0.5417,0.8966
Vaux's Swift,1,28,0.4643,0.5000,0.4643,0.4815,0.9286
Broad-winged Hawk,2,55,0.4727,0.5227,0.4721,0.4956,0.8182
Swainson's Hawk,3,93,0.4731,0.4636,0.4391,0.4442,0.8387
Red-naped Sapsucker,1,54,0.5000,0.6279,0.5000,0.5567,0.9815
Boat-tailed Grackle,1,60,0.5000,0.5660,0.5000,0.5310,0.8333
Cordilleran Flycatcher,1,31,0.5161,0.3810,0.5161,0.4384,0.8387
Pacific Loon,2,47,0.5319,0.5841,0.5796,0.5775,1.0000
Black-capped Chickadee,1,60,0.5333,0.7111,0.5333,0.6095,0.9500
Great-tailed Grackle,1,60,0.5333,0.5614,0.5333,0.5470,0.9167
White-tailed Kite,1,13,0.5385,1.0000,0.5385,0.7000,0.7692
Hairy Woodpecker,1,60,0.5500,0.7174,0.5500,0.6226,0.9833
Least Flycatcher,1,60,0.5500,0.6600,0.5500,0.6000,0.8500
Brown-capped Rosy-Finch,1,34,0.5588,0.6786,0.5588,0.6129,0.9706
Rough-legged Hawk,2,64,0.5625,0.5695,0.5250,0.5462,0.9219
Rusty Blackbird,1,48,0.5625,0.7105,0.5625,0.6279,0.8333
Oak Titmouse,1,37,0.5676,0.5122,0.5676,0.5385,0.9459
Sharp-shinned Hawk,2,116,0.5690,0.5840,0.5690,0.5764,0.9138
Western Gull,2,59,0.5763,0.5956,0.5355,0.5584,0.8475
Black-chinned Hummingbird,2,109,0.5780,0.6095,0.5964,0.6024,0.8991
Common Raven,1,57,0.5789,0.4342,0.5789,0.4962,0.8596
Common Tern,1,60,0.5833,0.7292,0.5833,0.6481,0.9667
Plumbeous Vireo,1,41,0.5854,0.7059,0.5854,0.6400,0.9024
Western Sandpiper,1,51,0.5882,0.7895,0.5882,0.6742,0.9804
Lark Bunting,2,51,0.5882,0.8029,0.6077,0.6914,0.9608
Black-tailed Gnatcatcher,1,22,0.5909,0.4643,0.5909,0.5200,0.9091
Northern Harrier,2,120,0.5917,0.8029,0.5917,0.6450,0.7500
Snow Goose,2,54,0.5926,0.7226,0.5893,0.6491,0.8704
Calliope Hummingbird,2,89,0.5955,0.7562,0.6054,0.6723,0.9326
Rufous Hummingbird,2,87,0.5977,0.4887,0.6149,0.5305,0.9770
Cliff Swallow,1,30,0.6000,0.4737,0.6000,0.5294,0.8000
Eastern Meadowlark,1,40,0.6000,0.6857,0.6000,0.6400,0.9250
Black-crested Titmouse,1,33,0.6061,0.8696,0.6061,0.7143,0.9394
Red Crossbill,2,59,0.6102,0.6904,0.6353,0.6558,0.8644
Pacific-slope Flycatcher,1,59,0.6102,0.6545,0.6102,0.6316,0.8983
Red-tailed Hawk,3,150,0.6200,0.5929,0.6222,0.6000,0.8733
Violet-green Swallow,1,37,0.6216,0.8214,0.6216,0.7077,0.8378
Greater Yellowlegs,1,59,0.6271,0.7400,0.6271,0.6789,0.9831
Brewer's Sparrow,1,35,0.6286,0.5641,0.6286,0.5946,0.9143
Cooper's Hawk,2,117,0.6325,0.5441,0.6325,0.5849,0.9487
Glaucous-winged Gull,2,60,0.6333,0.5549,0.6244,0.5875,0.9833
Brandt's Cormorant,1,33,0.6364,0.7241,0.6364,0.6774,0.9394
Peregrine Falcon,2,77,0.6364,0.6750,0.6168,0.6352,0.8571
Brewer's Blackbird,2,91,0.6374,0.6763,0.6548,0.6652,0.8571
Prairie Falcon,1,42,0.6429,0.7105,0.6429,0.6750,0.9048
Red-shouldered Hawk,2,76,0.6447,0.6057,0.6447,0.6199,0.8947
Bay-breasted Warbler,2,62,0.6452,0.7624,0.6353,0.6856,0.9032
White-faced Ibis,1,34,0.6471,0.8148,0.6471,0.7213,0.9706
MacGillivray's Warbler,1,46,0.6522,0.6977,0.6522,0.6742,0.9565
Golden Eagle,2,72,0.6528,0.6363,0.6357,0.6316,0.8889
Costa's Hummingbird,2,58,0.6552,0.5362,0.5547,0.5309,0.9655
Black-billed Cuckoo,1,32,0.6562,0.7778,0.6562,0.7119,0.9062
Cape May Warbler,1,60,0.6667,0.8889,0.6667,0.7619,0.8667
Boreal Chickadee,1,42,0.6667,1.0000,0.6667,0.8000,0.8810
Chimney Swift,1,33,0.6667,0.5789,0.6667,0.6197,0.9697
White-winged Scoter,2,57,0.6667,0.7750,0.6648,0.7117,0.8246
Clay-colored Sparrow,1,60,0.6667,0.7018,0.6667,0.6838,0.9167
Broad-tailed Hummingbird,2,73,0.6712,0.6602,0.6391,0.6491,0.9178
Gray-crowned Rosy-Finch,1,37,0.6757,0.6579,0.6757,0.6667,1.0000
Trumpeter Swan,1,37,0.6757,0.5814,0.6757,0.6250,1.0000
California Towhee,1,44,0.6818,0.7500,0.6818,0.7143,0.9318
Black Scoter,2,41,0.6829,0.6795,0.7010,0.6703,0.7805
Cassin's Kingbird,1,35,0.6857,0.6857,0.6857,0.6857,0.9429
Merlin,1,58,0.6897,0.8000,0.6897,0.7407,0.8276
Mottled Duck,1,29,0.6897,0.7692,0.6897,0.7273,0.9310
