class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,1,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (6)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,11,24,0.1538,0.0769,0.1026,0.0769,0.5385,Herring Gull (Immature) (8)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,12,24,0.2000,0.1111,0.1429,0.1111,0.8148,Common Raven (15)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,5,27,0.3750,0.1000,0.1579,0.1000,0.7000,Lesser Scaup (Female/Eclipse male) (19)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,6,24,0.3333,0.1111,0.1667,0.1111,0.5185,Northern Rough-winged Swallow (5)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,6,22,21,0.2143,0.2222,0.2182,0.2222,0.8889,Common Loon (Nonbreeding/juvenile) (11)
344,Fish Crow,Fish Crow,Perching Birds,30,7,24,23,0.2258,0.2333,0.2295,0.2333,0.6667,American Crow (10)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,7,16,23,0.3043,0.2333,0.2642,0.2333,0.7333,Swainson's Hawk (Light morph ) (6)
377,Pacific Wren,Pacific Wren,Perching Birds,21,4,5,17,0.4444,0.1905,0.2667,0.1905,0.8095,Winter Wren (15)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,6,11,20,0.3529,0.2308,0.2791,0.2308,0.7308,Hooded Oriole (Female/Immature male) (6)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,2,13,0.6000,0.1875,0.2857,0.1875,1.0000,Fox Sparrow (Sooty) (8)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,18,27,0.3333,0.2500,0.2857,0.2500,0.9167,Blue-headed Vireo (13)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,7,6,28,0.5385,0.2000,0.2917,0.2000,0.5429,Forster's Tern (5)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,7,16,17,0.3043,0.2917,0.2979,0.2917,0.7917,Red-tailed Hawk (Dark morph) (4)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,6,9,18,0.4000,0.2500,0.3077,0.2500,0.7500,Red-tailed Hawk (Light morph immature) (7)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,13,13,0.3158,0.3158,0.3158,0.3158,0.8421,American Crow (5)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,6,18,0.5000,0.2500,0.3333,0.2500,0.7917,Double-crested Cormorant (Immature) (11)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,7,10,18,0.4118,0.2800,0.3333,0.2800,0.8800,Oak Titmouse (9)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,7,14,14,0.3333,0.3333,0.3333,0.3333,0.9524,"Ruby-throated Hummingbird (Female, immature) (5)"
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,4,0,16,1.0000,0.2000,0.3333,0.2000,0.7500,Northern Shoveler (Female/Eclipse male) (6)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,13,35,16,0.2708,0.4483,0.3377,0.4483,0.8966,"Calliope Hummingbird (Female, immature) (10)"
177,Western Screech-Owl,Western Screech-Owl,Owls,34,11,18,23,0.3793,0.3235,0.3492,0.3235,0.9118,Eastern Screech-Owl (21)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,10,5,31,0.6667,0.2439,0.3571,0.2439,0.8780,"Rufous Hummingbird (Female, immature) (13)"
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,17,26,32,0.3953,0.3469,0.3696,0.3469,0.8367,Eastern Wood-Pewee (19)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,6,1,19,0.8571,0.2400,0.3750,0.2400,0.8800,Common Goldeneye (Female/Eclipse male) (13)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,7,7,16,0.5000,0.3043,0.3784,0.3043,0.8261,Ring-billed Gull (Adult) (5)
501,American Crow,American Crow,Perching Birds,57,22,34,35,0.3929,0.3860,0.3894,0.3860,0.7719,Common Raven (11)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,22,32,37,0.4074,0.3729,0.3894,0.3729,0.8136,"Ruby-throated Hummingbird (Female, immature) (20)"
202,"Black Guillemot (Nonbreeding, juvenile)",Black Guillemot,Skuas and Alcids,12,5,8,7,0.3846,0.4167,0.4000,0.4167,0.8333,"Pigeon Guillemot (Nonbreeding, juvenile) (3)"
231,Surf Scoter (Female/immature),Surf Scoter,"Ducks, Geese, and Swans",24,9,11,15,0.4500,0.3750,0.4091,0.3750,0.7500,Lesser Scaup (Female/Eclipse male) (4)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,7,8,12,0.4667,0.3684,0.4118,0.3684,0.8421,Mallard (Female/Eclipse male) (4)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,20,29,28,0.4082,0.4167,0.4124,0.4167,0.8125,"Broad-tailed Hummingbird (Female, immature) (18)"
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,13,9,28,0.5909,0.3171,0.4127,0.3171,0.6829,Herring Gull (Adult) (10)
