order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.5824,0.5606,0.5232,0.5356,0.9011
Swifts and Hummingbirds,21,909,0.6007,0.6157,0.5860,0.5905,0.9263
"Hawks, Kites, Eagles, and Allies",29,1260,0.6238,0.6127,0.5976,0.5965,0.8706
"Gulls, Terns, and Allies",26,1038,0.6551,0.6343,0.6292,0.6231,0.9075
Loons,6,226,0.6814,0.6971,0.6473,0.6679,0.8982
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6978,0.6534,0.6539,0.6402,0.9165
Caracaras and Falcons,7,346,0.7543,0.7716,0.7320,0.7476,0.8988
Woodpeckers,16,843,0.7616,0.7483,0.7533,0.7478,0.9573
"Ducks, Geese, and Swans",70,2420,0.7826,0.7727,0.7446,0.7416,0.9417
Perching Birds,265,12539,0.7950,0.7807,0.7691,0.7700,0.9442
Owls,9,426,0.8052,0.7855,0.7898,0.7851,0.9460
Grebes,9,375,0.8053,0.8258,0.7945,0.8045,0.9520
Cuckoos,3,113,0.8142,0.8506,0.8091,0.8272,0.9381
Pigeons and Doves,7,359,0.8468,0.8568,0.8438,0.8482,0.9415
Parrots,1,28,0.8571,0.9231,0.8571,0.8889,0.9643
"Pelicans, Herons, Ibises, and Allies",21,983,0.8688,0.8647,0.8655,0.8631,0.9695
Nightjars,1,39,0.8718,0.8293,0.8718,0.8500,0.9487
Cranes and Rails,6,200,0.8750,0.8622,0.7937,0.8160,0.9550
"Plovers, Sandpipers, and Allies",32,1573,0.8754,0.8728,0.8716,0.8684,0.9809
"Grouse, Quail, and Allies",10,342,0.9094,0.9060,0.8820,0.8921,0.9649
Storks,1,56,0.9286,0.9811,0.9286,0.9541,0.9643
Kingfishers and Allies,1,60,0.9333,0.9655,0.9333,0.9492,0.9667
