species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1111,0.2000,0.1111,0.1429,0.8148
Bank Swallow,1,27,0.1111,0.3333,0.1111,0.1667,0.5185
Pacific Wren,1,21,0.1905,0.4444,0.1905,0.2667,0.8095
Black Tern,1,35,0.2000,0.5385,0.2000,0.2917,0.5429
Greater Scaup,2,73,0.2329,0.5764,0.2128,0.3085,0.7397
Fish Crow,1,30,0.2333,0.2258,0.2333,0.2295,0.6667
Cassin's Vireo,1,36,0.2500,0.3333,0.2500,0.2857,0.9167
Juniper Titmouse,1,25,0.2800,0.4118,0.2800,0.3333,0.8800
Mew Gull,1,23,0.3043,0.5000,0.3043,0.3784,0.8261
Mourning Warbler,1,52,0.3077,0.6957,0.3077,0.4267,0.6923
Northwestern Crow,1,19,0.3158,0.3158,0.3158,0.3158,0.8421
Western Screech-Owl,1,34,0.3235,0.3793,0.3235,0.3492,0.9118
Bell's Vireo,1,29,0.3448,0.6667,0.3448,0.4545,0.6207
Western Wood-Pewee,1,49,0.3469,0.3953,0.3469,0.3696,0.8367
Cave Swallow,1,34,0.3529,0.5217,0.3529,0.4211,0.7941
California Gull,2,66,0.3636,0.5155,0.3785,0.4263,0.6970
Mississippi Kite,1,50,0.3800,0.5938,0.3800,0.4634,0.6800
American Crow,1,57,0.3860,0.3929,0.3860,0.3894,0.7719
Swainson's Hawk,3,93,0.3871,0.4090,0.3577,0.3754,0.8065
Great Cormorant,2,64,0.3906,0.5139,0.3625,0.4167,0.8281
Tundra Swan,1,28,0.3929,0.5500,0.3929,0.4583,0.8929
Barrow's Goldeneye,2,60,0.4167,0.9286,0.3914,0.5394,0.9333
Neotropic Cormorant,1,38,0.4211,0.5517,0.4211,0.4776,0.7632
Allen's Hummingbird,2,101,0.4455,0.6515,0.4136,0.4829,0.9109
Boat-tailed Grackle,1,60,0.4500,0.5294,0.4500,0.4865,0.8333
Cordilleran Flycatcher,1,31,0.4516,0.3889,0.4516,0.4179,0.9032
Broad-winged Hawk,2,55,0.4727,0.4470,0.4741,0.4567,0.8182
Eastern Meadowlark,1,40,0.4750,0.7917,0.4750,0.5938,0.9750
Pacific Loon,2,47,0.4894,0.5794,0.5361,0.5565,0.8936
Cackling Goose,1,14,0.5000,0.5385,0.5000,0.5185,1.0000
Rough-legged Hawk,2,64,0.5000,0.4994,0.4583,0.4779,0.8750
Black-capped Chickadee,1,60,0.5000,0.7692,0.5000,0.6061,0.9167
Black Guillemot,2,32,0.5000,0.4542,0.4833,0.4683,0.8750
Black-chinned Hummingbird,2,109,0.5046,0.5548,0.5164,0.5349,0.8807
Common Tern,1,60,0.5167,0.5636,0.5167,0.5391,0.9833
Hairy Woodpecker,1,60,0.5167,0.7209,0.5167,0.6019,0.9667
Least Flycatcher,1,60,0.5333,0.6154,0.5333,0.5714,0.8333
Cliff Swallow,1,30,0.5333,0.4324,0.5333,0.4776,0.7000
Vaux's Swift,1,28,0.5357,0.5357,0.5357,0.5357,0.8571
Red-naped Sapsucker,1,54,0.5370,0.6744,0.5370,0.5979,0.9630
White-tailed Kite,1,13,0.5385,0.7000,0.5385,0.6087,0.8462
Calliope Hummingbird,2,89,0.5393,0.7041,0.5498,0.6120,0.8652
Rufous Hummingbird,2,87,0.5402,0.5332,0.5332,0.5332,0.9540
Western Gull,2,59,0.5424,0.4341,0.4930,0.4513,0.7966
Boreal Chickadee,1,42,0.5476,1.0000,0.5476,0.7077,0.9048
Brown-capped Rosy-Finch,1,34,0.5588,0.6786,0.5588,0.6129,0.9706
Pacific-slope Flycatcher,1,59,0.5593,0.6226,0.5593,0.5893,0.8983
Sharp-shinned Hawk,2,116,0.5603,0.5510,0.5603,0.5553,0.8879
Plumbeous Vireo,1,41,0.5610,0.6389,0.5610,0.5974,0.9268
Broad-tailed Hummingbird,2,73,0.5616,0.5138,0.5423,0.5145,0.9315
Hutton's Vireo,1,39,0.5641,0.5366,0.5641,0.5500,0.9487
Violet-green Swallow,1,37,0.5676,0.7500,0.5676,0.6462,0.7568
Oak Titmouse,1,37,0.5676,0.5833,0.5676,0.5753,0.8649
Cassin's Kingbird,1,35,0.5714,0.6250,0.5714,0.5970,0.9143
Red-tailed Hawk,3,150,0.5733,0.5833,0.5444,0.5574,0.8067
Northern Harrier,2,120,0.5750,0.7527,0.5750,0.6142,0.7583
Chimney Swift,1,33,0.5758,0.5588,0.5758,0.5672,0.9697
Golden-fronted Woodpecker,1,33,0.5758,0.5278,0.5758,0.5507,0.9091
Peregrine Falcon,2,77,0.5844,0.6742,0.5680,0.6127,0.8571
Mottled Duck,1,29,0.5862,0.7391,0.5862,0.6538,0.9310
Cooper's Hawk,2,117,0.5897,0.5078,0.5877,0.5444,0.9573
Black-tailed Gnatcatcher,1,22,0.5909,0.3939,0.5909,0.4727,0.8636
Eastern Wood-Pewee,1,49,0.5918,0.4833,0.5918,0.5321,0.9388
Red-shouldered Hawk,2,76,0.5921,0.5590,0.5921,0.5723,0.8816
Snow Goose,2,54,0.5926,0.7380,0.5893,0.6552,0.9074
Greater Yellowlegs,1,59,0.5932,0.6140,0.5932,0.6034,0.9661
Common Raven,1,57,0.5965,0.4474,0.5965,0.5113,0.8947
Glaucous-winged Gull,2,60,0.6000,0.5802,0.5694,0.5730,0.9500
Brandt's Cormorant,1,33,0.6061,0.7692,0.6061,0.6780,0.9091
Caspian Tern,1,49,0.6122,0.6818,0.6122,0.6452,0.9388
Orchard Oriole,3,93,0.6129,0.6966,0.5626,0.6203,0.8817
White-winged Scoter,2,57,0.6140,0.7718,0.6111,0.6663,0.8772
Mexican Jay,1,26,0.6154,0.7273,0.6154,0.6667,1.0000
Great-tailed Grackle,1,60,0.6167,0.5068,0.6167,0.5564,0.9333
Cape May Warbler,1,60,0.6167,0.9250,0.6167,0.7400,0.8667
Golden Eagle,2,72,0.6250,0.6456,0.6071,0.6133,0.8611
Rusty Blackbird,1,48,0.6250,0.8108,0.6250,0.7059,0.8542
Brewer's Blackbird,2,91,0.6264,0.6429,0.6309,0.6364,0.8571
Red Crossbill,2,59,0.6271,0.6931,0.6341,0.6538,0.8305
Pigeon Guillemot,2,59,0.6271,0.6670,0.5630,0.6029,0.9153
Lark Bunting,2,51,0.6275,0.8661,0.6497,0.7396,0.8431
Brewer's Sparrow,1,35,0.6286,0.6286,0.6286,0.6286,0.9429
MacGillivray's Warbler,1,46,0.6304,0.6304,0.6304,0.6304,0.9565
Costa's Hummingbird,2,58,0.6379,0.5325,0.5721,0.5513,0.9655
Eastern Screech-Owl,1,50,0.6400,0.5714,0.6400,0.6038,1.0000
Herring Gull,2,101,0.6436,0.4948,0.6324,0.5541,0.9505
Western Sandpiper,1,51,0.6471,0.7500,0.6471,0.6947,0.9608
Trumpeter Swan,1,37,0.6486,0.6000,0.6486,0.6234,1.0000
Common Redpoll,1,40,0.6500,0.7879,0.6500,0.7123,1.0000
Hoary Redpoll,1,29,0.6552,0.6786,0.6552,0.6667,0.8621
Black-billed Cuckoo,1,32,0.6562,0.8077,0.6562,0.7241,0.9062
Ruby-throated Hummingbird,2,114,0.6579,0.5511,0.6593,0.5989,0.9298
Pygmy Nuthatch,1,38,0.6579,0.7576,0.6579,0.7042,0.9211
Black Scoter,2,41,0.6585,0.7286,0.6782,0.6932,0.8293
Western Grebe,1,42,0.6667,0.8750,0.6667,0.7568,1.0000
Black-legged Kittiwake,2,42,0.6667,0.6135,0.6682,0.6395,0.9524
Black-crested Titmouse,1,33,0.6667,0.7586,0.6667,0.7097,0.9091
Great Black-backed Gull,2,73,0.6712,0.7718,0.6764,0.7210,0.9452
American Black Duck,1,37,0.6757,0.7353,0.6757,0.7042,0.8919
Bay-breasted Warbler,2,62,0.6774,0.6149,0.6677,0.6400,0.9032
Semipalmated Sandpiper,1,60,0.6833,0.6949,0.6833,0.6891,1.0000
Lesser Yellowlegs,1,60,0.6833,0.6119,0.6833,0.6457,0.9833
Lesser Goldfinch,2,95,0.6842,0.8432,0.6483,0.7285,0.8947
Ring-billed Gull,2,96,0.6875,0.6049,0.6611,0.6290,0.8750
Merlin,1,58,0.6897,0.7143,0.6897,0.7018,0.7931
Northern Flicker,2,118,0.6949,0.7013,0.6949,0.6975,0.9746
Northern Shrike,1,60,0.7000,0.7119,0.7000,0.7059,0.9167
Clay-colored Sparrow,1,60,0.7000,0.7119,0.7000,0.7059,0.9000
Forster's Tern,1,60,0.7000,0.6364,0.7000,0.6667,0.9667
Gray-crowned Rosy-Finch,1,37,0.7027,0.7429,0.7027,0.7222,0.9730
Canada Goose,1,31,0.7097,0.7586,0.7097,0.7333,0.8387
Red-throated Loon,2,59,0.7119,0.7252,0.6640,0.6932,0.9153
Prairie Falcon,1,42,0.7143,0.7692,0.7143,0.7407,0.9286
Northern Rough-winged Swallow,1,42,0.7143,0.6818,0.7143,0.6977,0.8810
Willet,1,60,0.7167,0.8958,0.7167,0.7963,0.9333
Red-necked Grebe,2,60,0.7167,0.8639,0.7169,0.7832,0.9167
Eastern Phoebe,1,60,0.7167,0.7288,0.7167,0.7227,0.8500
Bushtit,1,60,0.7167,0.6232,0.7167,0.6667,0.9167
Hooded Oriole,2,78,0.7179,0.6859,0.7070,0.6955,0.9487
Purple Martin,2,71,0.7183,0.7299,0.7194,0.7217,0.9296
Blackpoll Warbler,2,103,0.7184,0.8907,0.7353,0.8051,0.9223
Verdin,1,32,0.7188,0.6970,0.7188,0.7077,0.8438
Summer Tanager,3,100,0.7200,0.6835,0.6686,0.6739,0.9500
Surf Scoter,2,61,0.7213,0.6417,0.6605,0.6476,0.9016
Northern Gannet,2,80,0.7250,0.7663,0.6667,0.7129,0.9125
Anna's Hummingbird,2,106,0.7264,0.6695,0.7240,0.6952,0.9528
Redhead,2,44,0.7273,0.7101,0.7233,0.7166,0.9318
Pine Warbler,1,48,0.7292,0.6731,0.7292,0.7000,0.8958
Rufous-crowned Sparrow,1,41,0.7317,0.7692,0.7317,0.7500,0.8780
Tennessee Warbler,1,60,0.7333,0.5432,0.7333,0.6241,0.9167
Vesper Sparrow,1,60,0.7333,0.7458,0.7333,0.7395,0.9500
Warbling Vireo,1,60,0.7333,0.8627,0.7333,0.7928,0.9333
White-faced Ibis,1,34,0.7353,0.8333,0.7353,0.7812,0.9706
Canvasback,2,72,0.7361,0.8768,0.7173,0.7840,0.9583
Canyon Towhee,1,46,0.7391,0.7727,0.7391,0.7556,0.9783
House Wren,1,54,0.7407,0.7547,0.7407,0.7477,0.9444
Common Loon,2,120,0.7417,0.7868,0.7417,0.7541,0.8917
Cassin's Finch,2,62,0.7419,0.8194,0.7050,0.7555,0.9355
Cinnamon Teal,2,75,0.7467,0.9483,0.5727,0.6268,0.9067
Lesser Scaup,2,79,0.7468,0.4639,0.7610,0.5697,0.9367
Northern Parula,1,60,0.7500,0.7895,0.7500,0.7692,0.9333
California Towhee,1,44,0.7500,0.7674,0.7500,0.7586,0.9545
Lazuli Bunting,2,68,0.7500,0.8158,0.6966,0.7515,0.9412
Tree Swallow,1,56,0.7500,0.7925,0.7500,0.7706,0.9643
Marsh Wren,1,60,0.7500,0.8333,0.7500,0.7895,0.9333
European Starling,3,154,0.7532,0.8540,0.7434,0.7890,0.9481
Bullock's Oriole,2,87,0.7586,0.7809,0.7410,0.7598,0.9655
Gadwall,2,75,0.7600,0.6121,0.6306,0.6157,0.9200
Yellow-bellied Sapsucker,1,59,0.7627,0.6164,0.7627,0.6818,0.9322
Royal Tern,1,38,0.7632,0.6304,0.7632,0.6905,0.9474
Brown-headed Nuthatch,1,38,0.7632,0.9062,0.7632,0.8286,0.9737
Yellow Warbler,1,60,0.7667,0.8214,0.7667,0.7931,0.8833
Spotted Towhee,1,60,0.7667,0.8679,0.7667,0.8142,0.9500
Red-bellied Woodpecker,1,60,0.7667,0.7419,0.7667,0.7541,0.9833
Black Rosy-Finch,1,26,0.7692,0.7407,0.7692,0.7547,0.9231
Blue Grosbeak,2,100,0.7700,0.8589,0.7656,0.8095,0.9500
Little Blue Heron,2,97,0.7732,0.8153,0.7649,0.7880,0.9588
Broad-billed Hummingbird,2,71,0.7746,0.8346,0.6865,0.7403,0.9437
American Pipit,1,58,0.7759,0.7627,0.7759,0.7692,0.9138
Carolina Chickadee,1,58,0.7759,0.5844,0.7759,0.6667,0.9828
Wilson's Phalarope,2,81,0.7778,0.7509,0.7628,0.7536,0.9877
Crested Caracara,1,54,0.7778,0.9333,0.7778,0.8485,0.9074
White-throated Sparrow,2,104,0.7788,0.7577,0.7603,0.7568,0.9808
Yellow-rumped Warbler,4,214,0.7804,0.7164,0.7659,0.7363,0.9860
Ash-throated Flycatcher,1,41,0.7805,0.9412,0.7805,0.8533,0.9512
Fox Sparrow,3,119,0.7815,0.7374,0.6438,0.6536,0.9748
Hermit Thrush,1,60,0.7833,0.8545,0.7833,0.8174,0.9500
Great Blue Heron,1,60,0.7833,0.9038,0.7833,0.8393,0.9333
Wrentit,1,37,0.7838,0.8286,0.7838,0.8056,0.8649
House Sparrow,2,116,0.7845,0.8892,0.7831,0.8320,0.9310
Louisiana Waterthrush,1,42,0.7857,0.8049,0.7857,0.7952,1.0000
Red-breasted Sapsucker,1,42,0.7857,0.8462,0.7857,0.8148,0.8810
Scaled Quail,1,19,0.7895,0.7895,0.7895,0.7895,1.0000
Western Tanager,2,86,0.7907,0.7679,0.7444,0.7538,0.9419
Dark-eyed Junco,5,192,0.7917,0.6777,0.6588,0.6672,0.9583
Phainopepla,2,53,0.7925,0.7742,0.7754,0.7742,0.9245
Chipping Sparrow,2,106,0.7925,0.7311,0.7761,0.7524,0.9528
Orange-crowned Warbler,1,58,0.7931,0.6667,0.7931,0.7244,0.9655
Abert's Towhee,1,29,0.7931,0.7931,0.7931,0.7931,0.9310
Bonaparte's Gull,1,58,0.7931,0.7667,0.7931,0.7797,0.9310
Say's Phoebe,1,58,0.7931,0.7797,0.7931,0.7863,0.9138
Rock Pigeon,1,58,0.7931,0.9020,0.7931,0.8440,0.9138
Cattle Egret,1,49,0.7959,0.8298,0.7959,0.8125,0.9592
Gray Jay,1,54,0.7963,0.8431,0.7963,0.8190,0.8704
Cedar Waxwing,1,54,0.7963,0.8958,0.7963,0.8431,0.9444
Red-headed Woodpecker,2,94,0.7979,0.7395,0.7518,0.7449,0.9149
Indigo Bunting,2,99,0.7980,0.6689,0.7705,0.7159,0.9394
Blue-gray Gnatcatcher,1,60,0.8000,0.8276,0.8000,0.8136,0.9333
Loggerhead Shrike,1,60,0.8000,0.7869,0.8000,0.7934,0.9333
Nuttall's Woodpecker,1,45,0.8000,0.8372,0.8000,0.8182,0.9556
Common Ground-Dove,1,35,0.8000,0.9333,0.8000,0.8615,0.9429
Harlequin Duck,2,65,0.8000,0.9674,0.7045,0.7735,0.9385
Band-tailed Pigeon,1,40,0.8000,0.8421,0.8000,0.8205,0.9500
White-throated Swift,1,40,0.8000,0.7442,0.8000,0.7711,1.0000
Northern Pintail,2,66,0.8030,0.8554,0.7917,0.8217,0.8939
Baltimore Oriole,2,107,0.8037,0.7538,0.7851,0.7687,0.9439
Wood Thrush,1,46,0.8043,0.9250,0.8043,0.8605,0.9348
Black-throated Gray Warbler,1,41,0.8049,0.9429,0.8049,0.8684,0.9512
White-winged Crossbill,2,52,0.8077,0.8447,0.7969,0.8201,0.9038
Western Kingbird,1,52,0.8077,0.7636,0.8077,0.7850,0.9423
Townsend's Solitaire,1,37,0.8108,0.8333,0.8108,0.8219,0.9730
Ruddy Duck,3,106,0.8113,0.8047,0.7865,0.7881,0.9717
Eared Grebe,2,80,0.8125,0.8627,0.8089,0.8311,0.9500
Bronzed Cowbird,1,32,0.8125,0.7027,0.8125,0.7536,0.9062
Blue-winged Teal,2,59,0.8136,0.7752,0.7465,0.7596,0.9661
Yellow-billed Magpie,1,27,0.8148,0.9565,0.8148,0.8800,1.0000
Yellow-throated Vireo,1,38,0.8158,0.7949,0.8158,0.8052,0.9211
Mountain Bluebird,1,49,0.8163,0.9091,0.8163,0.8602,0.9388
Northern Mockingbird,1,60,0.8167,0.8750,0.8167,0.8448,0.9167
Pine Siskin,1,60,0.8167,0.8750,0.8167,0.8448,1.0000
Ruby-crowned Kinglet,1,60,0.8167,0.7903,0.8167,0.8033,0.9500
Swamp Sparrow,1,60,0.8167,0.8596,0.8167,0.8376,0.9667
Downy Woodpecker,1,60,0.8167,0.6622,0.8167,0.7313,0.9833
Laughing Gull,2,104,0.8173,0.7392,0.8100,0.7730,0.9712
Palm Warbler,1,44,0.8182,0.7826,0.8182,0.8000,0.9545
Harris's Sparrow,2,61,0.8197,0.8826,0.8192,0.8493,0.9508
Ladder-backed Woodpecker,1,50,0.8200,0.7885,0.8200,0.8039,0.9600
Sanderling,2,68,0.8235,0.9108,0.7164,0.7803,0.9706
Purple Gallinule,2,51,0.8235,0.7874,0.6898,0.7236,0.9608
Ross's Goose,1,23,0.8261,0.6552,0.8261,0.7308,0.9565
Osprey,1,52,0.8269,0.7679,0.8269,0.7963,0.9808
Barn Owl,1,52,0.8269,0.7963,0.8269,0.8113,0.9423
Yellow-billed Cuckoo,1,47,0.8298,0.8298,0.8298,0.8298,0.9149
Western Bluebird,1,59,0.8305,0.8750,0.8305,0.8522,0.9661
Long-tailed Duck,3,65,0.8308,0.7115,0.8007,0.7521,0.9231
Golden-crowned Sparrow,2,102,0.8333,0.8574,0.8333,0.8440,0.9706
Anhinga,1,60,0.8333,0.7937,0.8333,0.8130,0.9500
Eastern Kingbird,1,60,0.8333,0.7937,0.8333,0.8130,0.9000
Savannah Sparrow,1,60,0.8333,0.8197,0.8333,0.8264,1.0000
Ring-necked Pheasant,2,61,0.8361,0.9048,0.7933,0.8453,0.9344
White-winged Dove,1,57,0.8421,0.8000,0.8421,0.8205,0.9123
Horned Grebe,2,95,0.8421,0.7962,0.8452,0.8192,0.9474
Chestnut-sided Warbler,2,95,0.8421,0.8137,0.8155,0.8131,0.9474
Clark's Grebe,1,38,0.8421,0.6809,0.8421,0.7529,0.9737
Blackburnian Warbler,1,51,0.8431,0.7963,0.8431,0.8190,0.9020
Northern Saw-whet Owl,1,45,0.8444,0.8261,0.8444,0.8352,0.9333
Bald Eagle,2,103,0.8447,0.6932,0.8205,0.7513,0.9515
Bewick's Wren,1,58,0.8448,0.8033,0.8448,0.8235,0.9828
Swainson's Thrush,1,58,0.8448,0.8167,0.8448,0.8305,0.9310
