true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,26,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",24,False,True
Black-capped Chickadee,Carolina Chickadee,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,22,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),21,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),19,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Hairy Woodpecker,Downy Woodpecker,19,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),18,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",17,False,True
Western Wood-Pewee,Eastern Wood-Pewee,17,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),17,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),17,False,True
Chihuahuan Raven,Common Raven,17,False,True
Eastern Meadowlark,Western Meadowlark,16,False,True
Western Screech-Owl,Eastern Screech-Owl,16,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",16,False,True
Eastern Screech-Owl,Western Screech-Owl,15,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",15,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),15,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),15,True,True
Tundra Swan,Trumpeter Swan,14,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),14,True,True
Mourning Warbler,MacGillivray's Warbler,13,False,True
Carolina Chickadee,Black-capped Chickadee,13,False,True
Pacific Wren,Winter Wren,13,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),13,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),13,True,True
Western Sandpiper,Semipalmated Sandpiper,12,False,True
American Crow,Common Raven,12,False,True
Great-tailed Grackle,Boat-tailed Grackle,12,False,True
Chimney Swift,Vaux's Swift,12,False,True
Plumbeous Vireo,Cassin's Vireo,12,False,True
Lesser Yellowlegs,Greater Yellowlegs,12,False,True
Common Tern,Forster's Tern,12,False,True
Hermit Thrush,Swainson's Thrush,11,False,True
Boreal Chickadee,Chestnut-backed Chickadee,11,False,True
Downy Woodpecker,Hairy Woodpecker,11,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),11,False,True
Boat-tailed Grackle,Great-tailed Grackle,11,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,11,False,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),11,True,True
Neotropic Cormorant,Double-crested Cormorant (Immature),11,False,True
Louisiana Waterthrush,Northern Waterthrush,11,False,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),11,True,True
Spotted Towhee,Eastern Towhee,10,False,True
Black-crested Titmouse,Tufted Titmouse,10,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",10,False,True
Golden Eagle (Immature),Golden Eagle (Adult),10,True,True
Dark-eyed Junco (White-winged),Dark-eyed Junco (Slate-colored),9,True,True
Eastern Wood-Pewee,Western Wood-Pewee,9,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),9,False,True
Cave Swallow,Cliff Swallow,9,False,True
Herring Gull (Immature),California Gull (Immature),9,False,True
Common Raven,American Crow,9,False,True
Cassin's Vireo,Blue-headed Vireo,9,False,True
Fish Crow,American Crow,9,False,True
Florida Scrub-Jay,Western Scrub-Jay,8,False,True
