class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,1,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (9)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,15,25,0.1176,0.0741,0.0909,0.0741,0.6296,Common Raven (17)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,2,15,24,0.1176,0.0769,0.0930,0.0769,0.6154,Glaucous-winged Gull (Immature) (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,2,3,28,0.4000,0.0667,0.1143,0.0667,0.7000,Lesser Scaup (Female/Eclipse male) (19)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,5,24,0.3750,0.1111,0.1714,0.1111,0.4815,Northern Rough-winged Swallow (5)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,0,22,1.0000,0.1200,0.2143,0.1200,0.8800,Common Goldeneye (Female/Eclipse male) (17)
377,Pacific Wren,Pacific Wren,Perching Birds,21,3,4,18,0.4286,0.1429,0.2143,0.1429,0.7619,Winter Wren (13)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,6,15,21,0.2857,0.2222,0.2500,0.2222,0.7037,Common Loon (Nonbreeding/juvenile) (11)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,8,20,22,0.2857,0.2667,0.2759,0.2667,0.7000,Swainson's Hawk (Light morph ) (7)
344,Fish Crow,Fish Crow,Perching Birds,30,10,28,20,0.2632,0.3333,0.2941,0.3333,0.6667,American Crow (9)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,6,10,18,0.3750,0.2500,0.3000,0.2500,0.7083,Red-tailed Hawk (Light morph immature) (7)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,15,13,0.2857,0.3158,0.3000,0.3158,0.9474,American Crow (6)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,24,25,0.3143,0.3056,0.3099,0.3056,0.9167,Blue-headed Vireo (9)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,8,8,27,0.5000,0.2286,0.3137,0.2286,0.5143,Forster's Tern (3)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,6,11,15,0.3529,0.2857,0.3158,0.2857,0.8571,"Anna's Hummingbird (Female, immature) (5)"
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,7,18,0.4615,0.2500,0.3243,0.2500,0.7917,Double-crested Cormorant (Immature) (9)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,14,22,34,0.3889,0.2917,0.3333,0.2917,0.8125,"Broad-tailed Hummingbird (Female, immature) (24)"
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,14,37,15,0.2745,0.4828,0.3500,0.4828,0.8621,"Calliope Hummingbird (Female, immature) (10)"
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,9,18,15,0.3333,0.3750,0.3529,0.3750,0.7917,Red-tailed Hawk (Dark morph) (4)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,10,18,15,0.3571,0.4000,0.3774,0.4000,0.6800,Herring Gull (Immature) (3)
501,American Crow,American Crow,Perching Birds,57,23,41,34,0.3594,0.4035,0.3802,0.4035,0.7719,Common Raven (12)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,18,35,20,0.3396,0.4737,0.3956,0.4737,0.8421,Red-tailed Hawk (Light morph immature) (5)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,25,42,34,0.3731,0.4237,0.3968,0.4237,0.7797,"Ruby-throated Hummingbird (Female, immature) (16)"
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,18,22,31,0.4500,0.3673,0.4045,0.3673,0.8367,Eastern Wood-Pewee (17)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,9,13,13,0.4091,0.4091,0.4091,0.4091,0.8636,Herring Gull (Immature) (5)
