order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6238,0.6352,0.6049,0.6077,0.9252
"Hawks, Kites, Eagles, and Allies",29,1260,0.6246,0.6170,0.6011,0.5989,0.8698
Skuas and Alcids,4,91,0.6264,0.5162,0.5728,0.5423,0.9121
"Gulls, Terns, and Allies",26,1038,0.6879,0.6561,0.6568,0.6518,0.9220
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7052,0.6514,0.6565,0.6444,0.9115
Loons,6,226,0.7212,0.7772,0.6778,0.7127,0.8850
Caracaras and Falcons,7,346,0.7486,0.7936,0.7283,0.7548,0.8960
"Ducks, Geese, and Swans",70,2420,0.7798,0.7685,0.7440,0.7416,0.9413
Woodpeckers,16,843,0.7853,0.7821,0.7803,0.7759,0.9585
Perching Birds,265,12539,0.8025,0.7911,0.7783,0.7785,0.9453
Owls,9,426,0.8122,0.8197,0.7999,0.8060,0.9507
Grebes,9,375,0.8213,0.8337,0.8097,0.8190,0.9440
Cuckoos,3,113,0.8319,0.8234,0.8226,0.8134,0.9469
Pigeons and Doves,7,359,0.8357,0.8851,0.8374,0.8596,0.9331
Parrots,1,28,0.8571,0.9231,0.8571,0.8889,1.0000
"Pelicans, Herons, Ibises, and Allies",21,983,0.8596,0.8659,0.8525,0.8572,0.9746
"Plovers, Sandpipers, and Allies",32,1573,0.8779,0.8809,0.8770,0.8764,0.9816
Cranes and Rails,6,200,0.8950,0.8877,0.8243,0.8463,0.9550
"Grouse, Quail, and Allies",10,342,0.9181,0.9257,0.8954,0.9092,0.9620
Nightjars,1,39,0.9231,0.8372,0.9231,0.8780,0.9744
Storks,1,56,0.9286,0.9286,0.9286,0.9286,0.9643
Kingfishers and Allies,1,60,0.9667,0.9667,0.9667,0.9667,0.9667
