species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.1176,0.0741,0.0909,0.6296
Bank Swallow,1,27,0.1111,0.3750,0.1111,0.1714,0.4815
Pacific Wren,1,21,0.1429,0.4286,0.1429,0.2143,0.7619
Black Tern,1,35,0.2286,0.5000,0.2286,0.3137,0.5143
Greater Scaup,2,73,0.2329,0.5261,0.2078,0.2844,0.7534
Cassin's Vireo,1,36,0.3056,0.3143,0.3056,0.3099,0.9167
Mourning Warbler,1,52,0.3077,0.8421,0.3077,0.4507,0.5769
Northwestern Crow,1,19,0.3158,0.2857,0.3158,0.3000,0.9474
Fish Crow,1,30,0.3333,0.2632,0.3333,0.2941,0.6667
Bell's Vireo,1,29,0.3448,0.6667,0.3448,0.4545,0.7586
Barrow's Goldeneye,2,60,0.3667,0.9750,0.3314,0.4526,0.9333
Western Wood-Pewee,1,49,0.3673,0.4500,0.3673,0.4045,0.8367
American Crow,1,57,0.4035,0.3594,0.4035,0.3802,0.7719
Neotropic Cormorant,1,38,0.4211,0.5000,0.4211,0.4571,0.7632
Tundra Swan,1,28,0.4286,0.5455,0.4286,0.4800,0.8929
Swainson's Hawk,3,93,0.4301,0.4046,0.3944,0.3935,0.7849
Mew Gull,1,23,0.4348,0.4545,0.4348,0.4444,0.8696
Great Cormorant,2,64,0.4375,0.5281,0.4000,0.4479,0.8594
Plumbeous Vireo,1,41,0.4390,0.6667,0.4390,0.5294,0.9024
Mississippi Kite,1,50,0.4400,0.7333,0.4400,0.5500,0.6400
Western Gull,2,59,0.4407,0.4338,0.4021,0.4157,0.8136
Western Screech-Owl,1,34,0.4412,0.4412,0.4412,0.4412,0.8824
California Gull,2,66,0.4545,0.4417,0.4439,0.4418,0.7879
Rough-legged Hawk,2,64,0.4688,0.4430,0.4500,0.4457,0.9062
Cave Swallow,1,34,0.4706,0.4706,0.4706,0.4706,0.8824
Broad-winged Hawk,2,55,0.4727,0.5476,0.4721,0.5022,0.8545
Eastern Meadowlark,1,40,0.4750,0.8636,0.4750,0.6129,0.9500
Juniper Titmouse,1,25,0.4800,0.7500,0.4800,0.5854,0.9200
Calliope Hummingbird,2,89,0.4831,0.6944,0.4995,0.5810,0.8427
Boat-tailed Grackle,1,60,0.4833,0.5370,0.4833,0.5088,0.8333
Black Guillemot,2,32,0.5000,0.4273,0.5000,0.4603,0.8750
Red-naped Sapsucker,1,54,0.5000,0.7297,0.5000,0.5934,0.9630
Cackling Goose,1,14,0.5000,0.5385,0.5000,0.5185,1.0000
Vaux's Swift,1,28,0.5000,0.4516,0.5000,0.4746,0.8214
Cliff Swallow,1,30,0.5000,0.5000,0.5000,0.5000,0.7667
Pacific Loon,2,47,0.5106,0.6165,0.5611,0.5865,0.8298
Allen's Hummingbird,2,101,0.5149,0.6976,0.4797,0.5384,0.9406
Black-crested Titmouse,1,33,0.5152,0.8095,0.5152,0.6296,0.9697
Black-capped Chickadee,1,60,0.5167,0.6458,0.5167,0.5741,0.9333
White-tailed Kite,1,13,0.5385,0.6364,0.5385,0.5833,0.9231
Violet-green Swallow,1,37,0.5405,0.8000,0.5405,0.6452,0.7838
Rusty Blackbird,1,48,0.5417,0.8387,0.5417,0.6582,0.8542
Brandt's Cormorant,1,33,0.5455,0.6667,0.5455,0.6000,0.8788
Chimney Swift,1,33,0.5455,0.6207,0.5455,0.5806,0.9697
Boreal Chickadee,1,42,0.5476,0.9583,0.5476,0.6970,0.8810
Least Flycatcher,1,60,0.5500,0.6875,0.5500,0.6111,0.8500
Mottled Duck,1,29,0.5517,0.6957,0.5517,0.6154,0.9655
Brown-capped Rosy-Finch,1,34,0.5588,0.7308,0.5588,0.6333,0.8824
Sharp-shinned Hawk,2,116,0.5603,0.5151,0.5603,0.5346,0.8879
Glaucous-winged Gull,2,60,0.5667,0.5335,0.5335,0.5335,0.9500
Trumpeter Swan,1,37,0.5676,0.5250,0.5676,0.5455,1.0000
Eastern Wood-Pewee,1,49,0.5714,0.4444,0.5714,0.5000,0.9592
Brewer's Sparrow,1,35,0.5714,0.5000,0.5714,0.5333,0.9143
Cooper's Hawk,2,117,0.5726,0.5139,0.5711,0.5401,0.9316
Greater Yellowlegs,1,59,0.5763,0.6071,0.5763,0.5913,0.9831
Common Raven,1,57,0.5789,0.4074,0.5789,0.4783,0.8596
Red-shouldered Hawk,2,76,0.5789,0.5412,0.5789,0.5540,0.8684
Cordilleran Flycatcher,1,31,0.5806,0.3913,0.5806,0.4675,0.8387
Great-tailed Grackle,1,60,0.5833,0.5932,0.5833,0.5882,0.9167
Hairy Woodpecker,1,60,0.5833,0.7447,0.5833,0.6542,0.9667
Northern Harrier,2,120,0.5833,0.7771,0.5833,0.6074,0.7500
Rufous Hummingbird,2,87,0.5862,0.5490,0.5908,0.5655,1.0000
Red-tailed Hawk,3,150,0.5867,0.5917,0.5722,0.5779,0.8200
Lark Bunting,2,51,0.5882,0.8359,0.6291,0.7108,0.8824
Hutton's Vireo,1,39,0.5897,0.5750,0.5897,0.5823,0.9744
