true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,29,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",23,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),22,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),21,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),21,False,True
Black-capped Chickadee,Carolina Chickadee,21,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),20,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),19,False,True
Eastern Meadowlark,Western Meadowlark,18,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),17,True,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),16,False,True
Louisiana Waterthrush,Northern Waterthrush,16,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",16,False,True
Hairy Woodpecker,Downy Woodpecker,16,False,True
Greater Yellowlegs,Lesser Yellowlegs,16,False,True
Common Tern,Forster's Tern,16,False,True
Western Screech-Owl,Eastern Screech-Owl,16,False,True
Western Wood-Pewee,Eastern Wood-Pewee,16,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),15,False,True
Boat-tailed Grackle,Great-tailed Grackle,14,False,True
Eastern Screech-Owl,Western Screech-Owl,14,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",14,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),14,False,True
Great-tailed Grackle,Boat-tailed Grackle,14,False,True
Common Raven,American Crow,14,False,True
Chihuahuan Raven,Common Raven,14,False,True
Cassin's Vireo,Blue-headed Vireo,14,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",13,False,True
Carolina Chickadee,Black-capped Chickadee,13,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),13,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),12,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),12,True,True
European Starling (Breeding Adult),European Starling (Nonbreeding Adult),12,True,True
Northern Flicker (Yellow-shafted),Northern Flicker (Red-shafted),12,True,True
American Crow,Common Raven,12,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),12,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),12,False,True
Eastern Wood-Pewee,Western Wood-Pewee,11,False,True
Mourning Warbler,MacGillivray's Warbler,11,False,True
Tundra Swan,Trumpeter Swan,11,False,True
Lesser Yellowlegs,Greater Yellowlegs,11,False,True
Pacific Wren,Winter Wren,11,False,True
Mottled Duck,Mallard (Female/Eclipse male),11,False,True
Western Grebe,Clark's Grebe,11,False,True
Juniper Titmouse,Oak Titmouse,10,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),10,False,True
White-faced Ibis,Glossy Ibis,10,False,True
Mexican Jay,Western Scrub-Jay,10,False,True
Vaux's Swift,Chimney Swift,10,False,True
Black-crested Titmouse,Tufted Titmouse,10,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),10,True,True
Hoary Redpoll,Common Redpoll,10,False,True
Violet-green Swallow,Tree Swallow,9,False,True
Spotted Towhee,Eastern Towhee,9,False,True
Neotropic Cormorant,Double-crested Cormorant (Adult),9,False,True
American Crow,Fish Crow,9,False,True
White-throated Sparrow (White-striped),White-throated Sparrow (Tan-striped/immature),9,True,True
Semipalmated Sandpiper,Least Sandpiper,9,False,True
Swainson's Hawk (Dark morph ),Swainson's Hawk (Light morph ),9,True,True
