class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,1,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (8)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,23,24,0.1154,0.1111,0.1132,0.1111,0.6296,Common Raven (14)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,13,22,0.2353,0.1538,0.1860,0.1538,0.5769,California Gull (Immature) (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,2,22,0.6000,0.1200,0.2000,0.1200,0.9200,Common Goldeneye (Female/Eclipse male) (16)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,5,14,22,0.2632,0.1852,0.2174,0.1852,0.8889,Common Loon (Nonbreeding/juvenile) (12)
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,4,23,0.5000,0.1481,0.2286,0.1481,0.6296,Northern Rough-winged Swallow (4)
344,Fish Crow,Fish Crow,Perching Birds,30,8,31,22,0.2051,0.2667,0.2319,0.2667,0.7667,American Crow (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,6,10,24,0.3750,0.2000,0.2609,0.2000,0.8000,Lesser Scaup (Female/Eclipse male) (19)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,12,16,0.2941,0.2381,0.2632,0.2381,0.9048,"Black-chinned Hummingbird (Female, immature) (5)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,7,14,23,0.3333,0.2333,0.2745,0.2333,0.7000,Swainson's Hawk (Light morph ) (9)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,5,8,18,0.3846,0.2174,0.2778,0.2174,0.7826,Ring-billed Gull (Adult) (4)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,16,27,0.3600,0.2500,0.2951,0.2500,0.7778,Blue-headed Vireo (14)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,10,18,0.3750,0.2500,0.3000,0.2500,0.8333,Double-crested Cormorant (Immature) (10)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,10,24,15,0.2941,0.4000,0.3390,0.4000,0.6800,Herring Gull (Immature) (6)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,14,20,34,0.4118,0.2917,0.3415,0.2917,0.9167,"Broad-tailed Hummingbird (Female, immature) (23)"
233,Black Scoter (Female/juvenile),Black Scoter,"Ducks, Geese, and Swans",22,6,7,16,0.4615,0.2727,0.3429,0.2727,0.6364,Ruddy Duck (Winter male) (3)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,9,14,19,0.3913,0.3214,0.3529,0.3214,0.8929,Chimney Swift (10)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,7,8,17,0.4667,0.2917,0.3590,0.2917,0.7500,Red-tailed Hawk (Light morph immature) (4)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,8,13,0.4286,0.3158,0.3636,0.3158,0.8421,American Crow (6)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,17,43,12,0.2833,0.5862,0.3820,0.5862,0.8966,"Calliope Hummingbird (Female, immature) (8)"
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,25,45,34,0.3571,0.4237,0.3876,0.4237,0.7797,"Ruby-throated Hummingbird (Female, immature) (13)"
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,11,10,24,0.5238,0.3143,0.3929,0.3143,0.6286,Forster's Tern (4)
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,23,36,35,0.3898,0.3966,0.3932,0.3966,0.8793,Cooper's Hawk (Immature) (22)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,12,8,29,0.6000,0.2927,0.3934,0.2927,0.9024,"Rufous Hummingbird (Female, immature) (16)"
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,20,30,29,0.4000,0.4082,0.4040,0.4082,0.8571,Eastern Wood-Pewee (16)
346,Common Raven,Common Raven,Perching Birds,57,25,39,32,0.3906,0.4386,0.4132,0.4386,0.8772,American Crow (14)
231,Surf Scoter (Female/immature),Surf Scoter,"Ducks, Geese, and Swans",24,9,10,15,0.4737,0.3750,0.4186,0.3750,0.6667,Bufflehead (Female/immature male) (3)
501,American Crow,American Crow,Perching Birds,57,26,40,31,0.3939,0.4561,0.4228,0.4561,0.8772,Common Raven (12)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,9,4,20,0.6923,0.3103,0.4286,0.3103,0.6207,House Wren (2)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,14,13,24,0.5185,0.3684,0.4308,0.3684,0.7368,Double-crested Cormorant (Adult) (9)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,2,11,0.7143,0.3125,0.4348,0.3125,0.9375,Fox Sparrow (Sooty) (7)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,13,20,13,0.3939,0.5000,0.4407,0.5000,0.8462,Baltimore Oriole (Female/Immature male) (3)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,18,25,20,0.4186,0.4737,0.4444,0.4737,0.8684,Red-shouldered Hawk (Adult ) (4)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,10,11,14,0.4762,0.4167,0.4444,0.4167,0.8333,Red-tailed Hawk (Dark morph) (4)
