order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.5996,0.5987,0.5867,0.5835,0.9373
"Hawks, Kites, Eagles, and Allies",29,1260,0.6238,0.6242,0.6086,0.6073,0.8754
Skuas and Alcids,4,91,0.6703,0.6608,0.6329,0.6281,0.9011
"Gulls, Terns, and Allies",26,1038,0.6724,0.6350,0.6407,0.6304,0.9152
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6806,0.6465,0.6335,0.6251,0.9066
Caracaras and Falcons,7,346,0.7341,0.7585,0.7137,0.7315,0.8815
Loons,6,226,0.7345,0.7256,0.6914,0.6998,0.9071
"Ducks, Geese, and Swans",70,2420,0.7744,0.7632,0.7368,0.7373,0.9421
Woodpeckers,16,843,0.7865,0.7915,0.7783,0.7769,0.9668
Nightjars,1,39,0.7949,0.9688,0.7949,0.8732,0.9487
Perching Birds,265,12539,0.8036,0.7921,0.7781,0.7795,0.9456
Owls,9,426,0.8169,0.8144,0.8074,0.8075,0.9577
Grebes,9,375,0.8267,0.8181,0.8185,0.8136,0.9600
Cuckoos,3,113,0.8319,0.7953,0.8233,0.8086,0.9558
Pigeons and Doves,7,359,0.8384,0.8921,0.8384,0.8618,0.9359
Storks,1,56,0.8393,0.9400,0.8393,0.8868,0.9643
"Pelicans, Herons, Ibises, and Allies",21,983,0.8576,0.8579,0.8523,0.8529,0.9725
"Plovers, Sandpipers, and Allies",32,1573,0.8729,0.8813,0.8685,0.8715,0.9784
Cranes and Rails,6,200,0.9000,0.9465,0.8238,0.8637,0.9500
"Grouse, Quail, and Allies",10,342,0.9123,0.9536,0.8944,0.9202,0.9561
Kingfishers and Allies,1,60,0.9167,0.9821,0.9167,0.9483,0.9667
Parrots,1,28,0.9286,1.0000,0.9286,0.9630,0.9286
