species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.1111,0.1154,0.1111,0.1132,0.6296
Bank Swallow,1,27,0.1481,0.5000,0.1481,0.2286,0.6296
Mew Gull,1,23,0.2174,0.3846,0.2174,0.2778,0.7826
Cassin's Vireo,1,36,0.2500,0.3600,0.2500,0.2951,0.7778
Fish Crow,1,30,0.2667,0.2051,0.2667,0.2319,0.7667
Bell's Vireo,1,29,0.3103,0.6923,0.3103,0.4286,0.6207
Black Tern,1,35,0.3143,0.5238,0.3143,0.3929,0.6286
Greater Scaup,2,73,0.3151,0.5275,0.2977,0.3804,0.7671
Northwestern Crow,1,19,0.3158,0.4286,0.3158,0.3636,0.8421
Vaux's Swift,1,28,0.3214,0.3913,0.3214,0.3529,0.8929
Mourning Warbler,1,52,0.3462,0.6667,0.3462,0.4557,0.6346
Neotropic Cormorant,1,38,0.3684,0.5185,0.3684,0.4308,0.7368
Red-naped Sapsucker,1,54,0.3704,0.7692,0.3704,0.5000,0.9444
Pacific Wren,1,21,0.3810,0.6667,0.3810,0.4848,0.6667
Barrow's Goldeneye,2,60,0.3833,0.7545,0.3457,0.4509,0.9500
Great Cormorant,2,64,0.3906,0.5042,0.3625,0.4214,0.8750
Juniper Titmouse,1,25,0.4000,0.5263,0.4000,0.4545,0.9600
Western Wood-Pewee,1,49,0.4082,0.4000,0.4082,0.4040,0.8571
California Gull,2,66,0.4091,0.4046,0.4073,0.3992,0.7424
Brown-capped Rosy-Finch,1,34,0.4118,0.6087,0.4118,0.4912,0.9118
Plumbeous Vireo,1,41,0.4146,0.5484,0.4146,0.4722,0.8780
Tundra Swan,1,28,0.4286,0.5714,0.4286,0.4898,0.8214
Swainson's Hawk,3,93,0.4301,0.4511,0.3972,0.4127,0.8065
Allen's Hummingbird,2,101,0.4356,0.5963,0.4130,0.4774,0.9505
Common Raven,1,57,0.4386,0.3906,0.4386,0.4132,0.8772
Mississippi Kite,1,50,0.4400,0.6286,0.4400,0.5176,0.7200
Cave Swallow,1,34,0.4412,0.5556,0.4412,0.4918,0.8529
Boat-tailed Grackle,1,60,0.4500,0.4576,0.4500,0.4538,0.8000
American Crow,1,57,0.4561,0.3939,0.4561,0.4228,0.8772
Mexican Jay,1,26,0.4615,0.7500,0.4615,0.5714,1.0000
Pacific Loon,2,47,0.4681,0.5789,0.5176,0.5446,0.9362
Hoary Redpoll,1,29,0.4828,0.7778,0.4828,0.5957,0.8276
Cordilleran Flycatcher,1,31,0.4839,0.5000,0.4839,0.4918,0.8710
Calliope Hummingbird,2,89,0.4944,0.6898,0.5117,0.5874,0.8989
Western Screech-Owl,1,34,0.5000,0.4595,0.5000,0.4789,0.9412
Eastern Meadowlark,1,40,0.5000,0.6667,0.5000,0.5714,0.9500
Mottled Duck,1,29,0.5172,0.5172,0.5172,0.5172,0.9655
Sharp-shinned Hawk,2,116,0.5172,0.4670,0.5172,0.4902,0.9052
White-tailed Kite,1,13,0.5385,0.5833,0.5385,0.5600,0.8462
Violet-green Swallow,1,37,0.5405,0.8696,0.5405,0.6667,0.8108
Western Gull,2,59,0.5424,0.4766,0.5012,0.4819,0.8136
Broad-winged Hawk,2,55,0.5455,0.4371,0.5471,0.4840,0.8000
Brandt's Cormorant,1,33,0.5455,0.8182,0.5455,0.6545,0.8788
Cooper's Hawk,2,117,0.5470,0.4783,0.5452,0.5071,0.9487
Glaucous-winged Gull,2,60,0.5500,0.5927,0.5203,0.5470,0.9000
Rufous Hummingbird,2,87,0.5517,0.4998,0.5608,0.5263,0.9885
Red-tailed Hawk,3,150,0.5600,0.6616,0.5667,0.5987,0.8267
White-winged Scoter,2,57,0.5614,0.6497,0.5593,0.5947,0.8772
MacGillivray's Warbler,1,46,0.5652,0.7027,0.5652,0.6265,0.9348
Cliff Swallow,1,30,0.5667,0.5667,0.5667,0.5667,0.7333
Lark Bunting,2,51,0.5686,0.8284,0.6028,0.6889,0.8235
Black-chinned Hummingbird,2,109,0.5688,0.5212,0.5819,0.5496,0.8807
Cackling Goose,1,14,0.5714,0.5333,0.5714,0.5517,0.9286
Snow Goose,2,54,0.5741,0.7261,0.5742,0.6395,0.8704
Northern Harrier,2,120,0.5750,0.6983,0.5750,0.5867,0.7417
Black-crested Titmouse,1,33,0.5758,0.8636,0.5758,0.6909,0.9394
Rough-legged Hawk,2,64,0.5781,0.5193,0.5458,0.5290,0.8906
Red-shouldered Hawk,2,76,0.5789,0.5917,0.5789,0.5833,0.8816
Least Flycatcher,1,60,0.5833,0.5645,0.5833,0.5738,0.8500
Black-capped Chickadee,1,60,0.5833,0.6604,0.5833,0.6195,0.9333
Clay-colored Sparrow,1,60,0.5833,0.6140,0.5833,0.5983,0.9000
Common Tern,1,60,0.5833,0.6140,0.5833,0.5983,0.9667
Black Scoter,2,41,0.5854,0.6221,0.6100,0.6000,0.7805
Black-tailed Gnatcatcher,1,22,0.5909,0.3714,0.5909,0.4561,0.9091
Red Crossbill,2,59,0.5932,0.7437,0.6153,0.6685,0.8814
Black Guillemot,2,32,0.5938,0.5278,0.6083,0.5561,0.8438
Louisiana Waterthrush,1,42,0.5952,0.8333,0.5952,0.6944,1.0000
Peregrine Falcon,2,77,0.5974,0.6255,0.5684,0.5890,0.8312
Great-tailed Grackle,1,60,0.6000,0.6000,0.6000,0.6000,0.9500
Pygmy Nuthatch,1,38,0.6053,0.7419,0.6053,0.6667,0.8947
Chimney Swift,1,33,0.6061,0.5405,0.6061,0.5714,0.9697
Golden Eagle,2,72,0.6111,0.6705,0.6095,0.6357,0.9167
Hairy Woodpecker,1,60,0.6167,0.7708,0.6167,0.6852,0.9833
Costa's Hummingbird,2,58,0.6207,0.4840,0.5380,0.5051,0.9655
Trumpeter Swan,1,37,0.6216,0.5349,0.6216,0.5750,0.9730
Oak Titmouse,1,37,0.6216,0.5111,0.6216,0.5610,0.8919
Rusty Blackbird,1,48,0.6250,0.7692,0.6250,0.6897,0.8542
Pacific-slope Flycatcher,1,59,0.6271,0.6852,0.6271,0.6549,0.8305
Caspian Tern,1,49,0.6327,0.7750,0.6327,0.6966,0.9796
Eastern Wood-Pewee,1,49,0.6327,0.5167,0.6327,0.5688,0.9796
Golden-fronted Woodpecker,1,33,0.6364,0.7500,0.6364,0.6885,0.9394
Brewer's Blackbird,2,91,0.6374,0.6306,0.6392,0.6345,0.8352
Merlin,1,58,0.6379,0.7872,0.6379,0.7048,0.7759
Eastern Screech-Owl,1,50,0.6400,0.6154,0.6400,0.6275,1.0000
Hooded Oriole,2,78,0.6410,0.8404,0.6239,0.7107,0.9487
Anna's Hummingbird,2,106,0.6415,0.6851,0.6385,0.6610,0.9811
Western Sandpiper,1,51,0.6471,0.7174,0.6471,0.6804,0.9804
Ruby-throated Hummingbird,2,114,0.6491,0.6569,0.6519,0.6534,0.9298
Cape May Warbler,1,60,0.6500,0.9286,0.6500,0.7647,0.8833
Carolina Chickadee,1,58,0.6552,0.5352,0.6552,0.5891,0.9655
Black-billed Cuckoo,1,32,0.6562,0.6562,0.6562,0.6562,0.9375
Bay-breasted Warbler,2,62,0.6613,0.6840,0.6484,0.6542,0.8871
Canvasback,2,72,0.6667,0.8975,0.6367,0.7402,0.9722
Tennessee Warbler,1,60,0.6667,0.5634,0.6667,0.6107,0.8833
Boreal Chickadee,1,42,0.6667,1.0000,0.6667,0.8000,0.8571
Lesser Scaup,2,79,0.6709,0.5077,0.6782,0.5760,0.9367
Great Black-backed Gull,2,73,0.6712,0.7974,0.6764,0.7319,0.9726
Herring Gull,2,101,0.6733,0.5258,0.6613,0.5833,0.9604
American Black Duck,1,37,0.6757,0.7812,0.6757,0.7246,0.9189
White-faced Ibis,1,34,0.6765,0.7667,0.6765,0.7188,0.9412
Greater Yellowlegs,1,59,0.6780,0.6452,0.6780,0.6612,0.9831
Lesser Yellowlegs,1,60,0.6833,0.6508,0.6833,0.6667,0.9667
Brewer's Sparrow,1,35,0.6857,0.5581,0.6857,0.6154,0.9143
Ring-billed Gull,2,96,0.6875,0.5718,0.6722,0.6179,0.9062
Black-legged Kittiwake,2,42,0.6905,0.5561,0.6854,0.6134,0.8810
Phainopepla,2,53,0.6981,0.7643,0.6770,0.7152,0.9245
Broad-tailed Hummingbird,2,73,0.6986,0.5034,0.6795,0.5646,0.9178
Semipalmated Sandpiper,1,60,0.7000,0.6774,0.7000,0.6885,1.0000
Townsend's Solitaire,1,37,0.7027,0.8387,0.7027,0.7647,0.9730
Purple Martin,2,71,0.7042,0.7504,0.7044,0.7252,0.8873
Surf Scoter,2,61,0.7049,0.6322,0.6470,0.6343,0.8689
Pine Warbler,1,48,0.7083,0.6667,0.7083,0.6869,0.8958
Canada Goose,1,31,0.7097,0.7333,0.7097,0.7213,0.8710
Pigeon Guillemot,2,59,0.7119,0.7937,0.6576,0.7000,0.9322
Western Grebe,1,42,0.7143,0.9375,0.7143,0.8108,1.0000
Eastern Phoebe,1,60,0.7167,0.6056,0.7167,0.6565,0.8833
Northern Shrike,1,60,0.7167,0.6935,0.7167,0.7049,0.9333
Hutton's Vireo,1,39,0.7179,0.5385,0.7179,0.6154,0.9744
Verdin,1,32,0.7188,0.7931,0.7188,0.7541,0.8125
Northern Flicker,2,118,0.7203,0.7656,0.7203,0.7423,0.9661
Cassin's Finch,2,62,0.7258,0.8571,0.7072,0.7745,0.9194
Wrentit,1,37,0.7297,0.9000,0.7297,0.8060,0.8649
Gray-crowned Rosy-Finch,1,37,0.7297,0.6429,0.7297,0.6835,0.9730
Bushtit,1,60,0.7333,0.6667,0.7333,0.6984,0.9167
Northern Gannet,2,80,0.7375,0.7761,0.6750,0.7219,0.9125
Northern Rough-winged Swallow,1,42,0.7381,0.6889,0.7381,0.7126,0.8571
Bonaparte's Gull,1,58,0.7414,0.8600,0.7414,0.7963,0.9310
Cassin's Kingbird,1,35,0.7429,0.6842,0.7429,0.7123,0.9714
Gadwall,2,75,0.7467,0.7052,0.6565,0.6770,0.9067
Lesser Goldfinch,2,95,0.7474,0.8483,0.7100,0.7699,0.9053
Great Blue Heron,1,60,0.7500,0.8654,0.7500,0.8036,0.9667
Willet,1,60,0.7500,0.9375,0.7500,0.8333,0.9667
Lazuli Bunting,2,68,0.7500,0.8089,0.6966,0.7483,0.9412
Vesper Sparrow,1,60,0.7500,0.7500,0.7500,0.7500,0.9667
Rufous-crowned Sparrow,1,41,0.7561,0.8611,0.7561,0.8052,0.8780
Bullock's Oriole,2,87,0.7586,0.8475,0.7410,0.7866,0.9310
Yellow-rumped Warbler,4,214,0.7617,0.6963,0.7565,0.7194,0.9860
Prairie Falcon,1,42,0.7619,0.7111,0.7619,0.7356,0.9048
Royal Tern,1,38,0.7632,0.6905,0.7632,0.7250,0.9737
Orchard Oriole,3,93,0.7634,0.6515,0.7295,0.6874,0.9247
American Woodcock,1,30,0.7667,0.9200,0.7667,0.8364,0.9333
Red-necked Grebe,2,60,0.7667,0.7882,0.7686,0.7778,0.8833
Long-tailed Duck,3,65,0.7692,0.8019,0.7396,0.7695,0.9077
Black Rosy-Finch,1,26,0.7692,0.7143,0.7692,0.7407,0.9231
California Towhee,1,44,0.7727,0.7907,0.7727,0.7816,0.9318
