true_class,pred_class,count,same_species,same_order
Greater Yellowlegs,Lesser Yellowlegs,24,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),24,False,True
Black-capped Chickadee,Carolina Chickadee,23,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",21,False,True
Hairy Woodpecker,Downy Woodpecker,19,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),19,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),19,False,True
Western Wood-Pewee,Eastern Wood-Pewee,18,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),17,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,17,False,True
Eastern Screech-Owl,Western Screech-Owl,17,False,True
Western Screech-Owl,Eastern Screech-Owl,17,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",17,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),17,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),16,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),15,True,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),15,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),15,True,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",15,False,True
Cassin's Vireo,Blue-headed Vireo,14,False,True
Black-crested Titmouse,Tufted Titmouse,14,False,True
Pacific Wren,Winter Wren,14,False,True
Great-tailed Grackle,Boat-tailed Grackle,14,False,True
Louisiana Waterthrush,Northern Waterthrush,14,False,True
Hermit Thrush,Swainson's Thrush,13,False,True
Mourning Warbler,MacGillivray's Warbler,13,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),13,False,True
Western Grebe,Clark's Grebe,13,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),12,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",12,False,True
Carolina Chickadee,Black-capped Chickadee,12,False,True
Chihuahuan Raven,Common Raven,12,False,True
Common Tern,Forster's Tern,12,False,True
Boat-tailed Grackle,Great-tailed Grackle,12,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),12,False,True
American Crow,Common Raven,11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),11,False,True
Tundra Swan,Trumpeter Swan,11,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",11,False,True
Juniper Titmouse,Oak Titmouse,11,False,True
American Crow,Fish Crow,10,False,True
Fish Crow,American Crow,10,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),10,True,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),10,True,True
Chimney Swift,Vaux's Swift,10,False,True
Mexican Jay,Western Scrub-Jay,10,False,True
Spotted Towhee,Eastern Towhee,10,False,True
Eastern Meadowlark,Western Meadowlark,9,False,True
Trumpeter Swan,Tundra Swan,9,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),9,False,True
Eastern Wood-Pewee,Western Wood-Pewee,9,False,True
Plumbeous Vireo,Cassin's Vireo,9,False,True
Semipalmated Sandpiper,Western Sandpiper,9,False,True
Semipalmated Sandpiper,Least Sandpiper,9,False,True
Swainson's Hawk (Dark morph ),Swainson's Hawk (Light morph ),9,True,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),9,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,9,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),9,False,True
Common Raven,American Crow,8,False,True
Great Blue Heron,Tricolored Heron,8,False,True
