class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,15,25,0.1176,0.0741,0.0909,0.0741,0.7407,Common Raven (12)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,14,23,0.1765,0.1154,0.1395,0.1154,0.6923,Herring Gull (Immature) (7)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (8)
344,Fish Crow,Fish Crow,Perching Birds,30,6,27,24,0.1818,0.2000,0.1905,0.2000,0.7667,American Crow (10)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,4,14,15,0.2222,0.2105,0.2162,0.2105,0.8421,American Crow (8)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,4,10,17,0.2857,0.1905,0.2286,0.1905,0.9048,"Anna's Hummingbird (Female, immature) (7)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,5,14,18,0.2632,0.2174,0.2381,0.2174,0.7826,Ring-billed Gull (Adult) (4)
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,2,23,0.6667,0.1481,0.2424,0.1481,0.7037,Northern Rough-winged Swallow (5)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,9,26,21,0.2571,0.3000,0.2769,0.3000,0.7667,Swainson's Hawk (Light morph ) (9)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,5,7,19,0.4167,0.2083,0.2778,0.2083,0.8750,Double-crested Cormorant (Immature) (11)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,7,6,28,0.5385,0.2000,0.2917,0.2000,0.6286,Forster's Tern (5)
