order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Skuas and Alcids,4,91,0.6154,0.5381,0.5428,0.5343,0.9121
"Hawks, Kites, Eagles, and Allies",29,1260,0.6190,0.6379,0.5980,0.6069,0.8698
Swifts and Hummingbirds,21,909,0.6194,0.6147,0.5983,0.5924,0.9472
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6609,0.6174,0.6135,0.6034,0.9214
"Gulls, Terns, and Allies",26,1038,0.6840,0.6519,0.6496,0.6427,0.9133
Loons,6,226,0.6947,0.7259,0.6772,0.6969,0.8982
Caracaras and Falcons,7,346,0.7572,0.7771,0.7383,0.7549,0.8844
"Ducks, Geese, and Swans",70,2420,0.7855,0.7754,0.7504,0.7513,0.9438
Woodpeckers,16,843,0.7960,0.7937,0.7871,0.7868,0.9632
Perching Birds,265,12539,0.8029,0.7944,0.7773,0.7793,0.9458
Owls,9,426,0.8122,0.7974,0.8025,0.7982,0.9624
Grebes,9,375,0.8187,0.8170,0.8136,0.8063,0.9600
Cuckoos,3,113,0.8230,0.8438,0.8201,0.8312,0.9558
Nightjars,1,39,0.8462,0.8049,0.8462,0.8250,0.9231
Pigeons and Doves,7,359,0.8496,0.8522,0.8467,0.8483,0.9359
"Pelicans, Herons, Ibises, and Allies",21,983,0.8555,0.8605,0.8537,0.8538,0.9664
Parrots,1,28,0.8571,0.9231,0.8571,0.8889,0.9286
"Plovers, Sandpipers, and Allies",32,1573,0.8659,0.8673,0.8629,0.8617,0.9816
Storks,1,56,0.8750,0.9074,0.8750,0.8909,0.9643
Cranes and Rails,6,200,0.8900,0.8843,0.8144,0.8415,0.9450
Kingfishers and Allies,1,60,0.9000,0.9474,0.9000,0.9231,0.9667
"Grouse, Quail, and Allies",10,342,0.9035,0.9346,0.8843,0.9071,0.9620
