species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.1176,0.0741,0.0909,0.7407
Bank Swallow,1,27,0.1481,0.6667,0.1481,0.2424,0.7037
Fish Crow,1,30,0.2000,0.1818,0.2000,0.1905,0.7667
Black Tern,1,35,0.2000,0.5385,0.2000,0.2917,0.6286
Northwestern Crow,1,19,0.2105,0.2222,0.2105,0.2162,0.8421
Mew Gull,1,23,0.2174,0.2632,0.2174,0.2381,0.7826
Pacific Wren,1,21,0.2381,0.5000,0.2381,0.3226,0.7619
Bell's Vireo,1,29,0.2759,0.5714,0.2759,0.3721,0.6552
Cassin's Vireo,1,36,0.2778,0.3333,0.2778,0.3030,0.8889
Juniper Titmouse,1,25,0.3200,0.5000,0.3200,0.3902,0.9600
Mourning Warbler,1,52,0.3462,0.6667,0.3462,0.4557,0.6154
Western Wood-Pewee,1,49,0.3469,0.3864,0.3469,0.3656,0.8367
Greater Scaup,2,73,0.3562,0.6100,0.3426,0.4386,0.8082
American Crow,1,57,0.3684,0.3621,0.3684,0.3652,0.7544
Great Cormorant,2,64,0.3750,0.4798,0.3417,0.3922,0.8750
California Gull,2,66,0.3788,0.4372,0.3673,0.3963,0.7273
Cave Swallow,1,34,0.3824,0.4815,0.3824,0.4262,0.8235
Barrow's Goldeneye,2,60,0.4167,0.7524,0.3914,0.5107,0.9667
Mississippi Kite,1,50,0.4200,0.6774,0.4200,0.5185,0.6800
Tundra Swan,1,28,0.4286,0.5217,0.4286,0.4706,0.8571
Vaux's Swift,1,28,0.4286,0.3871,0.4286,0.4068,0.9286
Swainson's Hawk,3,93,0.4301,0.4285,0.4024,0.4003,0.7849
Allen's Hummingbird,2,101,0.4356,0.7137,0.4130,0.5026,0.9109
Western Screech-Owl,1,34,0.4412,0.3846,0.4412,0.4110,0.9706
Neotropic Cormorant,1,38,0.4474,0.4474,0.4474,0.4474,0.7632
Common Raven,1,57,0.4561,0.4127,0.4561,0.4333,0.8596
Black Guillemot,2,32,0.4688,0.4511,0.4750,0.4615,0.8438
Chimney Swift,1,33,0.4848,0.4103,0.4848,0.4444,0.9697
Black-crested Titmouse,1,33,0.4848,0.8421,0.4848,0.6154,0.9697
Oak Titmouse,1,37,0.4865,0.4865,0.4865,0.4865,0.8378
Plumbeous Vireo,1,41,0.4878,0.6250,0.4878,0.5479,0.8780
Western Gull,2,59,0.4915,0.4597,0.4516,0.4521,0.8644
Boat-tailed Grackle,1,60,0.5000,0.4839,0.5000,0.4918,0.8500
Rough-legged Hawk,2,64,0.5000,0.5337,0.4750,0.5026,0.8438
Broad-winged Hawk,2,55,0.5091,0.5106,0.5066,0.5079,0.8182
Calliope Hummingbird,2,89,0.5169,0.6795,0.5361,0.5993,0.8989
Northern Harrier,2,120,0.5250,0.7929,0.5250,0.5837,0.7167
Greater Yellowlegs,1,59,0.5254,0.7045,0.5254,0.6019,0.9831
Pacific Loon,2,47,0.5319,0.6667,0.5796,0.6195,0.9574
Glaucous-winged Gull,2,60,0.5333,0.5673,0.5072,0.5334,0.9500
Cliff Swallow,1,30,0.5333,0.5161,0.5333,0.5246,0.8000
White-tailed Kite,1,13,0.5385,0.7778,0.5385,0.6364,0.8462
Trumpeter Swan,1,37,0.5405,0.5263,0.5405,0.5333,0.9730
Sharp-shinned Hawk,2,116,0.5431,0.4885,0.5431,0.5136,0.9224
Black-tailed Gnatcatcher,1,22,0.5455,0.5000,0.5455,0.5217,0.9091
Lark Bunting,2,51,0.5490,0.8784,0.5872,0.6868,0.8431
Hairy Woodpecker,1,60,0.5500,0.7333,0.5500,0.6286,0.9667
Black-capped Chickadee,1,60,0.5500,0.6471,0.5500,0.5946,0.9333
Red-tailed Hawk,3,150,0.5667,0.5804,0.5389,0.5574,0.8333
Boreal Chickadee,1,42,0.5714,0.9600,0.5714,0.7164,0.8571
Brandt's Cormorant,1,33,0.5758,0.7308,0.5758,0.6441,0.7879
Mexican Jay,1,26,0.5769,0.8333,0.5769,0.6818,1.0000
Cordilleran Flycatcher,1,31,0.5806,0.4865,0.5806,0.5294,0.8710
Least Flycatcher,1,60,0.5833,0.4667,0.5833,0.5185,0.8500
Clay-colored Sparrow,1,60,0.5833,0.6731,0.5833,0.6250,0.9500
Black Scoter,2,41,0.5854,0.7841,0.6100,0.6390,0.7073
Costa's Hummingbird,2,58,0.5862,0.5595,0.5006,0.5252,0.9655
Brown-capped Rosy-Finch,1,34,0.5882,0.6667,0.5882,0.6250,0.9412
Cooper's Hawk,2,117,0.5897,0.4999,0.5895,0.5401,0.9402
Eastern Wood-Pewee,1,49,0.5918,0.4915,0.5918,0.5370,0.9388
Red-shouldered Hawk,2,76,0.5921,0.6113,0.5921,0.6000,0.9079
Red-naped Sapsucker,1,54,0.5926,0.6809,0.5926,0.6337,0.9815
Snow Goose,2,54,0.5926,0.7511,0.5920,0.6603,0.8333
Red Crossbill,2,59,0.5932,0.7519,0.6153,0.6617,0.8475
