true_class,pred_class,count,same_species,same_order
Red-naped Sapsucker,Yellow-bellied Sapsucker,28,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),24,False,True
Black-capped Chickadee,Carolina Chickadee,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,23,False,True
Western Screech-Owl,Eastern Screech-Owl,18,False,True
Downy Woodpecker,Hairy Woodpecker,17,False,True
Eastern Meadowlark,Western Meadowlark,17,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),17,True,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,17,False,True
Hairy Woodpecker,Downy Woodpecker,16,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",16,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),16,False,True
Mourning Warbler,MacGillivray's Warbler,15,False,True
Common Raven,American Crow,15,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),15,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",14,False,True
Louisiana Waterthrush,Northern Waterthrush,14,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",14,False,True
Chihuahuan Raven,Common Raven,14,False,True
Eastern Screech-Owl,Western Screech-Owl,14,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),13,False,True
Great-tailed Grackle,Boat-tailed Grackle,13,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),13,False,True
Western Wood-Pewee,Eastern Wood-Pewee,13,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),13,False,True
Black Guillemot (Breeding),Pigeon Guillemot (Breeding),13,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",13,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),13,False,True
American Crow,Fish Crow,12,False,True
Pacific Wren,Winter Wren,12,False,True
Carolina Chickadee,Black-capped Chickadee,12,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),12,False,True
Lesser Yellowlegs,Greater Yellowlegs,12,False,True
Neotropic Cormorant,Double-crested Cormorant (Immature),11,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),11,True,True
Trumpeter Swan,Tundra Swan,11,False,True
White-faced Ibis,Glossy Ibis,11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),11,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),10,False,True
Northwestern Crow,American Crow,10,False,True
Cassin's Vireo,Blue-headed Vireo,10,False,True
Eastern Wood-Pewee,Western Wood-Pewee,10,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),10,False,True
Hooded Oriole (Female/Immature male),Orchard Oriole (Female/Juvenile),10,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",10,False,True
Golden Eagle (Immature),Golden Eagle (Adult),9,True,True
Semipalmated Sandpiper,Western Sandpiper,9,False,True
Brown-capped Rosy-Finch,Gray-crowned Rosy-Finch,9,False,True
Forster's Tern,Common Tern,9,False,True
Vaux's Swift,Chimney Swift,9,False,True
Juniper Titmouse,Oak Titmouse,9,False,True
Glaucous-winged Gull (Immature),Herring Gull (Immature),9,False,True
Mottled Duck,Mallard (Female/Eclipse male),9,False,True
Western Grebe,Clark's Grebe,9,False,True
Hoary Redpoll,Common Redpoll,9,False,True
Tundra Swan,Trumpeter Swan,9,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),9,True,True
Laughing Gull (Nonbreeding/Immature),Laughing Gull (Breeding),9,True,True
California Gull (Adult),Ring-billed Gull (Adult),9,False,True
White-throated Sparrow (White-striped),White-throated Sparrow (Tan-striped/immature),9,True,True
