class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,2,10,25,0.1667,0.0741,0.1026,0.0741,0.7037,Common Raven (14)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,3,19,22,0.1364,0.1200,0.1277,0.1200,0.6400,Western Gull (Immature) (4)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,4,14,22,0.2222,0.1538,0.1818,0.1538,0.6538,Herring Gull (Immature) (6)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,1,8,0.5000,0.1111,0.1818,0.1111,0.8889,Dark-eyed Junco (Slate-colored) (6)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,0,22,1.0000,0.1200,0.2143,0.1200,0.8800,Common Goldeneye (Female/Eclipse male) (13)
351,Bank Swallow,Bank Swallow,Perching Birds,27,5,10,22,0.3333,0.1852,0.2381,0.1852,0.6667,Northern Rough-winged Swallow (3)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,12,16,0.2941,0.2381,0.2632,0.2381,0.8095,"Black-chinned Hummingbird (Female, immature) (5)"
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,9,21,27,0.3000,0.2500,0.2727,0.2500,0.8333,Blue-headed Vireo (10)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,4,5,16,0.4444,0.2000,0.2759,0.2000,0.9000,Pigeon Guillemot (Breeding) (13)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,7,8,28,0.4667,0.2000,0.2800,0.2000,0.6000,Forster's Tern (3)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,17,34,42,0.3333,0.2881,0.3091,0.2881,0.6949,"Ruby-throated Hummingbird (Female, immature) (14)"
344,Fish Crow,Fish Crow,Perching Birds,30,10,24,20,0.2941,0.3333,0.3125,0.3333,0.8000,American Crow (7)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,6,2,24,0.7500,0.2000,0.3158,0.2000,0.8333,Lesser Scaup (Female/Eclipse male) (15)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,7,9,21,0.4375,0.2500,0.3182,0.2500,0.7500,Chimney Swift (9)
501,American Crow,American Crow,Perching Birds,57,21,51,36,0.2917,0.3684,0.3256,0.3684,0.7544,Fish Crow (12)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,7,15,12,0.3182,0.3684,0.3415,0.3684,0.6842,American Crow (10)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,5,4,15,0.5556,0.2500,0.3448,0.2500,0.7000,Blue-winged Teal (Female/juvenile) (4)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,15,41,16,0.2679,0.4839,0.3448,0.4839,0.9355,Pacific-slope Flycatcher (8)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,9,17,0.4375,0.2917,0.3500,0.2917,0.7500,Double-crested Cormorant (Immature) (11)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,12,24,17,0.3333,0.4138,0.3692,0.4138,0.8621,"Calliope Hummingbird (Female, immature) (10)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,7,6,17,0.5385,0.2917,0.3784,0.2917,0.5833,Red-tailed Hawk (Light morph immature) (8)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,9,11,18,0.4500,0.3333,0.3830,0.3333,0.8519,Common Loon (Nonbreeding/juvenile) (10)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,9,13,15,0.4091,0.3750,0.3913,0.3750,0.7917,Red-tailed Hawk (Dark morph) (5)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,14,14,27,0.5000,0.3415,0.4058,0.3415,0.8537,Ring-billed Gull (Adult) (9)
134,Mississippi Kite,Mississippi Kite,"Hawks, Kites, Eagles, and Allies",50,15,7,35,0.6818,0.3000,0.4167,0.3000,0.7400,Swallow-tailed Kite (8)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,15,19,23,0.4412,0.3947,0.4167,0.3947,0.7105,Double-crested Cormorant (Immature) (11)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,10,15,13,0.4000,0.4348,0.4167,0.4348,0.8696,California Gull (Adult) (3)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,10,6,21,0.6250,0.3226,0.4255,0.3226,0.6774,Peregrine Falcon (Adult) (4)
