order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
"Hawks, Kites, Eagles, and Allies",29,1260,0.6183,0.6188,0.6040,0.6016,0.8635
Skuas and Alcids,4,91,0.6374,0.5403,0.5570,0.5317,0.9121
Swifts and Hummingbirds,21,909,0.6414,0.6352,0.6204,0.6178,0.9186
"Gulls, Terns, and Allies",26,1038,0.6638,0.6281,0.6362,0.6265,0.9171
Caracaras and Falcons,7,346,0.6994,0.7718,0.6737,0.7128,0.8642
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7027,0.6479,0.6544,0.6425,0.9017
Loons,6,226,0.7035,0.7135,0.6554,0.6776,0.8982
Woodpeckers,16,843,0.7960,0.7920,0.7887,0.7849,0.9609
Storks,1,56,0.8036,0.9184,0.8036,0.8571,0.9107
"Ducks, Geese, and Swans",70,2420,0.8079,0.7942,0.7770,0.7733,0.9450
Grebes,9,375,0.8080,0.8238,0.8002,0.8090,0.9467
Perching Birds,265,12539,0.8194,0.8108,0.7969,0.7987,0.9462
Owls,9,426,0.8263,0.8064,0.8144,0.8080,0.9531
Nightjars,1,39,0.8462,0.7857,0.8462,0.8148,0.9487
"Pelicans, Herons, Ibises, and Allies",21,983,0.8606,0.8611,0.8440,0.8495,0.9644
Pigeons and Doves,7,359,0.8607,0.8991,0.8616,0.8782,0.9304
Cuckoos,3,113,0.8673,0.7688,0.8604,0.8101,0.9823
"Plovers, Sandpipers, and Allies",32,1573,0.8748,0.8796,0.8738,0.8733,0.9739
Cranes and Rails,6,200,0.8750,0.9259,0.8027,0.8435,0.9350
Parrots,1,28,0.8929,0.9259,0.8929,0.9091,0.9643
"Grouse, Quail, and Allies",10,342,0.9211,0.9147,0.9052,0.9093,0.9678
Kingfishers and Allies,1,60,0.9500,0.9500,0.9500,0.9500,0.9667
