species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Chihuahuan Raven,1,27,0.0741,0.1667,0.0741,0.1026,0.7037
Bank Swallow,1,27,0.1852,0.3333,0.1852,0.2381,0.6667
Black Tern,1,35,0.2000,0.4667,0.2000,0.2800,0.6000
Cassin's Vireo,1,36,0.2500,0.3000,0.2500,0.2727,0.8333
Vaux's Swift,1,28,0.2500,0.4375,0.2500,0.3182,0.7500
California Gull,2,66,0.2576,0.3182,0.2307,0.2667,0.7727
Mississippi Kite,1,50,0.3000,0.6818,0.3000,0.4167,0.7400
Black Guillemot,2,32,0.3125,0.4722,0.3500,0.3879,0.8438
Greater Scaup,2,73,0.3151,0.7019,0.2977,0.4043,0.7671
Fish Crow,1,30,0.3333,0.2941,0.3333,0.3125,0.8000
American Crow,1,57,0.3684,0.2917,0.3684,0.3256,0.7544
Northwestern Crow,1,19,0.3684,0.3182,0.3684,0.3415,0.6842
Pacific Wren,1,21,0.3810,0.7273,0.3810,0.5000,0.5238
Cave Swallow,1,34,0.3824,0.5000,0.3824,0.4333,0.7647
Neotropic Cormorant,1,38,0.3947,0.4412,0.3947,0.4167,0.7105
Juniper Titmouse,1,25,0.4000,0.7143,0.4000,0.5128,0.8400
Red-naped Sapsucker,1,54,0.4074,0.6667,0.4074,0.5057,0.8889
Western Screech-Owl,1,34,0.4118,0.4828,0.4118,0.4444,0.9118
Mourning Warbler,1,52,0.4231,0.8148,0.4231,0.5570,0.7885
Mew Gull,1,23,0.4348,0.4000,0.4348,0.4167,0.8696
Great Cormorant,2,64,0.4375,0.5025,0.4083,0.4477,0.7500
Tundra Swan,1,28,0.4643,0.4333,0.4643,0.4483,0.9643
Western Wood-Pewee,1,49,0.4694,0.5227,0.4694,0.4946,0.7959
Broad-winged Hawk,2,55,0.4727,0.5238,0.4682,0.4935,0.7818
Pacific-slope Flycatcher,1,59,0.4746,0.5957,0.4746,0.5283,0.9153
Cordilleran Flycatcher,1,31,0.4839,0.2679,0.4839,0.3448,0.9355
Swainson's Hawk,3,93,0.4839,0.4906,0.4579,0.4602,0.7634
Allen's Hummingbird,2,101,0.4851,0.7267,0.4663,0.5627,0.9109
Trumpeter Swan,1,37,0.4865,0.5000,0.4865,0.4932,0.9730
Black-capped Chickadee,1,60,0.5000,0.6250,0.5000,0.5556,0.9000
Barrow's Goldeneye,2,60,0.5000,0.9500,0.4457,0.5225,0.9333
Sharp-shinned Hawk,2,116,0.5172,0.5153,0.5172,0.5128,0.8534
Mottled Duck,1,29,0.5172,0.7143,0.5172,0.6000,0.9655
Common Raven,1,57,0.5263,0.4054,0.5263,0.4580,0.8772
Pacific Loon,2,47,0.5319,0.6956,0.5667,0.6239,0.8723
Plumbeous Vireo,1,41,0.5366,0.6667,0.5366,0.5946,0.9024
Brewer's Blackbird,2,91,0.5385,0.7007,0.5565,0.6188,0.8242
Black-chinned Hummingbird,2,109,0.5413,0.5351,0.5641,0.5471,0.8165
Rusty Blackbird,1,48,0.5417,0.7429,0.5417,0.6265,0.8333
Western Gull,2,59,0.5424,0.4611,0.5012,0.4745,0.8475
Rough-legged Hawk,2,64,0.5469,0.5379,0.5125,0.5248,0.8906
Great-tailed Grackle,1,60,0.5500,0.5410,0.5500,0.5455,0.8500
Eastern Meadowlark,1,40,0.5500,0.7857,0.5500,0.6471,0.9500
Least Flycatcher,1,60,0.5500,0.6226,0.5500,0.5841,0.8000
Northern Harrier,2,120,0.5583,0.7240,0.5583,0.6183,0.7500
Brown-capped Rosy-Finch,1,34,0.5588,0.7308,0.5588,0.6333,0.9706
Greater Yellowlegs,1,59,0.5593,0.6471,0.5593,0.6000,0.9492
Boat-tailed Grackle,1,60,0.5667,0.5574,0.5667,0.5620,0.8167
Golden Eagle,2,72,0.5694,0.5714,0.5595,0.5567,0.8750
Red-tailed Hawk,3,150,0.5733,0.5749,0.5667,0.5589,0.8333
Glaucous-winged Gull,2,60,0.5833,0.5696,0.5658,0.5675,0.9000
Merlin,1,58,0.5862,0.6939,0.5862,0.6355,0.7586
Hoary Redpoll,1,29,0.5862,0.7391,0.5862,0.6538,0.8966
Bell's Vireo,1,29,0.5862,0.7727,0.5862,0.6667,0.8276
Peregrine Falcon,2,77,0.5974,0.6654,0.5526,0.5839,0.8312
Cooper's Hawk,2,117,0.5983,0.5558,0.5978,0.5758,0.8974
Broad-tailed Hummingbird,2,73,0.6027,0.5991,0.5705,0.5797,0.9041
Costa's Hummingbird,2,58,0.6034,0.6016,0.5245,0.5602,0.9310
Red-shouldered Hawk,2,76,0.6053,0.6658,0.6053,0.6336,0.8684
Brandt's Cormorant,1,33,0.6061,0.7692,0.6061,0.6780,0.9697
Calliope Hummingbird,2,89,0.6067,0.6753,0.6176,0.6452,0.9213
Snow Goose,2,54,0.6111,0.7417,0.6071,0.6672,0.8519
Eastern Wood-Pewee,1,49,0.6122,0.5357,0.6122,0.5714,0.9184
White-faced Ibis,1,34,0.6176,0.8077,0.6176,0.7000,0.9706
Boreal Chickadee,1,42,0.6190,0.9630,0.6190,0.7536,0.8333
Prairie Falcon,1,42,0.6190,0.7879,0.6190,0.6933,0.9286
Oak Titmouse,1,37,0.6216,0.5897,0.6216,0.6053,0.8378
White-winged Scoter,2,57,0.6316,0.7089,0.6315,0.6676,0.9123
Cliff Swallow,1,30,0.6333,0.5429,0.6333,0.5846,0.7667
Black-tailed Gnatcatcher,1,22,0.6364,0.5600,0.6364,0.5957,0.9091
Hutton's Vireo,1,39,0.6410,0.6944,0.6410,0.6667,0.9487
Louisiana Waterthrush,1,42,0.6429,0.8182,0.6429,0.7200,0.9762
Herring Gull,2,101,0.6436,0.5092,0.6350,0.5650,0.9505
Red Crossbill,2,59,0.6441,0.7759,0.6753,0.6947,0.7966
Tennessee Warbler,1,60,0.6500,0.7358,0.6500,0.6903,0.9000
Common Tern,1,60,0.6500,0.6842,0.6500,0.6667,0.9333
Mexican Jay,1,26,0.6538,0.8500,0.6538,0.7391,0.9615
Hooded Oriole,2,78,0.6538,0.7248,0.6302,0.6667,0.9231
Cassin's Kingbird,1,35,0.6571,0.9583,0.6571,0.7797,0.9714
Hairy Woodpecker,1,60,0.6667,0.6557,0.6667,0.6612,0.9833
Ruby-throated Hummingbird,2,114,0.6667,0.6372,0.6694,0.6524,0.9649
Great Black-backed Gull,2,73,0.6712,0.7417,0.6730,0.7055,0.9315
Eastern Screech-Owl,1,50,0.6800,0.6296,0.6800,0.6538,1.0000
Downy Woodpecker,1,60,0.6833,0.7069,0.6833,0.6949,0.9667
Western Sandpiper,1,51,0.6863,0.7292,0.6863,0.7071,0.9804
Black-billed Cuckoo,1,32,0.6875,0.6875,0.6875,0.6875,0.9688
Rufous Hummingbird,2,87,0.6897,0.5374,0.6878,0.6032,0.9655
Carolina Chickadee,1,58,0.6897,0.5797,0.6897,0.6299,0.9138
Black-legged Kittiwake,2,42,0.6905,0.5833,0.6808,0.6283,0.9524
Northern Rough-winged Swallow,1,42,0.6905,0.6304,0.6905,0.6591,0.8810
White-tailed Kite,1,13,0.6923,0.5294,0.6923,0.6000,0.8462
Black-crested Titmouse,1,33,0.6970,0.8519,0.6970,0.7667,1.0000
Chimney Swift,1,33,0.6970,0.5000,0.6970,0.5823,0.9697
Violet-green Swallow,1,37,0.7027,0.8966,0.7027,0.7879,0.8649
Bay-breasted Warbler,2,62,0.7097,0.8129,0.7001,0.7348,0.8710
Orchard Oriole,3,93,0.7097,0.6907,0.6677,0.6739,0.9140
Royal Tern,1,38,0.7105,0.7297,0.7105,0.7200,0.9211
Pygmy Nuthatch,1,38,0.7105,0.8710,0.7105,0.7826,0.9211
Red-throated Loon,2,59,0.7119,0.6750,0.6330,0.6517,0.8814
Brewer's Sparrow,1,35,0.7143,0.5814,0.7143,0.6410,0.9429
Western Grebe,1,42,0.7143,0.8571,0.7143,0.7792,1.0000
Lesser Yellowlegs,1,60,0.7167,0.5375,0.7167,0.6143,0.9833
Sandhill Crane,1,25,0.7200,0.8182,0.7200,0.7660,0.8800
Crested Caracara,1,54,0.7222,0.8298,0.7222,0.7723,0.8148
Lark Bunting,2,51,0.7255,0.9545,0.7599,0.8426,0.8824
Golden-fronted Woodpecker,1,33,0.7273,0.7742,0.7273,0.7500,0.9394
Pine Warbler,1,48,0.7292,0.8537,0.7292,0.7865,0.8958
Wrentit,1,37,0.7297,0.7714,0.7297,0.7500,0.9730
Laughing Gull,2,104,0.7308,0.7413,0.7153,0.7264,0.9423
Black Scoter,2,41,0.7317,0.7500,0.7464,0.7344,0.9512
Red-necked Grebe,2,60,0.7333,0.7407,0.7341,0.7366,0.8833
Semipalmated Sandpiper,1,60,0.7333,0.6984,0.7333,0.7154,0.9833
Yellow Warbler,1,60,0.7333,0.9778,0.7333,0.8381,0.9000
Forster's Tern,1,60,0.7333,0.6984,0.7333,0.7154,0.9667
Northern Gannet,2,80,0.7375,0.7478,0.6583,0.7001,0.9125
Ross's Goose,1,23,0.7391,0.6538,0.7391,0.6939,0.9565
MacGillivray's Warbler,1,46,0.7391,0.6415,0.7391,0.6869,0.9565
Ring-billed Gull,2,96,0.7396,0.6048,0.7417,0.6652,0.9375
Yellow-rumped Warbler,4,214,0.7430,0.7148,0.7285,0.7196,0.9813
Bushtit,1,60,0.7500,0.7143,0.7500,0.7317,0.9000
Verdin,1,32,0.7500,0.8889,0.7500,0.8136,0.8438
Cape May Warbler,1,60,0.7500,0.9000,0.7500,0.8182,0.8667
Northern Shrike,1,60,0.7500,0.7377,0.7500,0.7438,0.9167
California Towhee,1,44,0.7500,0.8684,0.7500,0.8049,0.9091
Phainopepla,2,53,0.7547,0.7018,0.7333,0.7169,0.8868
Gray-crowned Rosy-Finch,1,37,0.7568,0.7568,0.7568,0.7568,0.9730
Orange-crowned Warbler,1,58,0.7586,0.6769,0.7586,0.7154,0.9483
Lesser Scaup,2,79,0.7595,0.5870,0.7695,0.6593,0.8987
White-throated Sparrow,2,104,0.7596,0.7914,0.7460,0.7661,0.9808
Reddish Egret,2,75,0.7600,0.8407,0.7057,0.7650,0.9733
Purple Martin,2,71,0.7606,0.8719,0.7607,0.8121,0.9296
Wood Thrush,1,46,0.7609,0.9722,0.7609,0.8537,0.9348
Common Loon,2,120,0.7667,0.7700,0.7667,0.7572,0.9167
Willet,1,60,0.7667,0.9787,0.7667,0.8598,0.9500
Harris's Sparrow,2,61,0.7705,0.8102,0.7636,0.7821,0.9672
Cinnamon Teal,2,75,0.7733,0.7510,0.6068,0.6499,0.9067
Gadwall,2,75,0.7733,0.6320,0.6743,0.6521,0.9467
Cassin's Finch,2,62,0.7742,0.8685,0.7314,0.7900,0.9355
Canada Goose,1,31,0.7742,0.8571,0.7742,0.8136,0.8710
Bonaparte's Gull,1,58,0.7759,0.8824,0.7759,0.8257,0.9655
Blackpoll Warbler,2,103,0.7767,0.7793,0.7919,0.7843,0.9612
Gray Jay,1,54,0.7778,0.8077,0.7778,0.7925,0.9074
Lazuli Bunting,2,68,0.7794,0.8104,0.7065,0.7510,0.9412
Clark's Nutcracker,1,46,0.7826,0.8182,0.7826,0.8000,0.9348
American Black Duck,1,37,0.7838,0.7632,0.7838,0.7733,0.8649
Red-breasted Sapsucker,1,42,0.7857,0.8250,0.7857,0.8049,0.9524
Cackling Goose,1,14,0.7857,0.7857,0.7857,0.7857,0.9286
Eared Grebe,2,80,0.7875,0.8641,0.7838,0.8199,0.9250
White-winged Crossbill,2,52,0.7885,0.9500,0.7719,0.8472,0.9808
Barn Owl,1,52,0.7885,0.7736,0.7885,0.7810,0.9231
Osprey,1,52,0.7885,0.7885,0.7885,0.7885,0.9808
Redhead,2,44,0.7955,0.6832,0.8115,0.7386,0.9091
Mountain Bluebird,1,49,0.7959,0.8864,0.7959,0.8387,0.9388
