class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,2,0,23,1.0000,0.0800,0.1481,0.0800,0.9200,Common Goldeneye (Female/Eclipse male) (18)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,6,27,0.3333,0.1000,0.1538,0.1000,0.6333,Lesser Scaup (Female/Eclipse male) (19)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,6,23,0.3333,0.1154,0.1714,0.1154,0.5769,California Gull (Immature) (5)
351,Bank Swallow,Bank Swallow,Perching Birds,27,3,2,24,0.6000,0.1111,0.1875,0.1111,0.6667,Northern Rough-winged Swallow (9)
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,1,0,8,1.0000,0.1111,0.2000,0.1111,0.7778,Dark-eyed Junco (Slate-colored) (6)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,7,4,34,0.6364,0.1707,0.2692,0.1707,0.8537,"Rufous Hummingbird (Female, immature) (19)"
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,10,16,0.3333,0.2381,0.2778,0.2381,0.8095,"Ruby-throated Hummingbird (Female, immature) (7)"
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,6,9,21,0.4000,0.2222,0.2857,0.2222,0.8148,Common Raven (14)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,3,1,13,0.7500,0.1875,0.3000,0.1875,0.8125,Fox Sparrow (Sooty) (10)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,11,25,25,0.3056,0.3056,0.3056,0.3056,0.8611,Blue-headed Vireo (13)
344,Fish Crow,Fish Crow,Perching Birds,30,9,17,21,0.3462,0.3000,0.3214,0.3000,0.8667,American Crow (9)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,6,7,18,0.4615,0.2500,0.3243,0.2500,0.7917,Double-crested Cormorant (Immature) (12)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,8,15,17,0.3478,0.3200,0.3333,0.3200,0.7200,Ring-billed Gull (Immature) (5)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,4,16,0.5556,0.2381,0.3333,0.2381,0.8095,Winter Wren (15)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,6,8,13,0.4286,0.3158,0.3636,0.3158,0.8421,American Crow (10)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,9,8,18,0.5294,0.3333,0.4091,0.3333,0.9630,Common Loon (Nonbreeding/juvenile) (12)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,20,29,28,0.4082,0.4167,0.4124,0.4167,0.9167,"Broad-tailed Hummingbird (Female, immature) (12)"
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,13,11,25,0.5417,0.3421,0.4194,0.3421,0.8158,Double-crested Cormorant (Immature) (10)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,13,20,16,0.3939,0.4483,0.4194,0.4483,0.8621,"Calliope Hummingbird (Female, immature) (12)"
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,8,5,16,0.6154,0.3333,0.4324,0.3333,0.6667,Red-tailed Hawk (Light morph immature) (7)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,14,20,16,0.4118,0.4667,0.4375,0.4667,0.7667,Swainson's Hawk (Light morph ) (7)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,28,39,31,0.4179,0.4746,0.4444,0.4746,0.7966,"Ruby-throated Hummingbird (Female, immature) (12)"
501,American Crow,American Crow,Perching Birds,57,32,53,25,0.3765,0.5614,0.4507,0.5614,0.9123,Common Raven (10)
