order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6436,0.6444,0.6254,0.6254,0.9340
"Hawks, Kites, Eagles, and Allies",29,1260,0.7063,0.7069,0.6838,0.6847,0.9079
Skuas and Alcids,4,91,0.7143,0.6556,0.6296,0.6390,0.9231
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7150,0.6875,0.6544,0.6540,0.9140
"Gulls, Terns, and Allies",26,1038,0.7563,0.7289,0.7236,0.7204,0.9470
Loons,6,226,0.7699,0.7930,0.7216,0.7472,0.9336
Caracaras and Falcons,7,346,0.8121,0.8342,0.7936,0.8126,0.9335
"Ducks, Geese, and Swans",70,2420,0.8347,0.8258,0.8002,0.7982,0.9661
Woodpeckers,16,843,0.8434,0.8501,0.8388,0.8410,0.9893
Perching Birds,265,12539,0.8538,0.8445,0.8293,0.8300,0.9695
Grebes,9,375,0.8587,0.8651,0.8552,0.8577,0.9733
Cuckoos,3,113,0.8673,0.8585,0.8570,0.8537,1.0000
Owls,9,426,0.8685,0.8694,0.8577,0.8625,0.9812
Cranes and Rails,6,200,0.8950,0.8977,0.8017,0.8329,0.9700
"Pelicans, Herons, Ibises, and Allies",21,983,0.9105,0.9223,0.8959,0.9047,0.9847
"Plovers, Sandpipers, and Allies",32,1573,0.9116,0.9187,0.9094,0.9119,0.9886
Pigeons and Doves,7,359,0.9220,0.9270,0.9203,0.9232,0.9694
Nightjars,1,39,0.9231,0.9474,0.9231,0.9351,0.9744
"Grouse, Quail, and Allies",10,342,0.9474,0.9332,0.9261,0.9287,0.9795
Kingfishers and Allies,1,60,0.9667,0.9667,0.9667,0.9667,0.9833
Storks,1,56,0.9821,0.9322,0.9821,0.9565,0.9821
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
