class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (8)
377,Pacific Wren,Pacific Wren,Perching Birds,21,1,10,20,0.0909,0.0476,0.0625,0.0476,0.7619,Winter Wren (15)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,3,27,33,0.1000,0.0833,0.0909,0.0833,0.8333,Blue-headed Vireo (16)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,3,13,16,0.1875,0.1579,0.1714,0.1579,0.8421,American Crow (9)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,2,1,14,0.6667,0.1250,0.2105,0.1250,0.8125,Fox Sparrow (Sooty) (9)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,6,15,29,0.2857,0.1714,0.2143,0.1714,0.4857,Forster's Tern (5)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,4,8,21,0.3333,0.1600,0.2162,0.1600,0.8000,Ring-billed Gull (Immature) (4)
351,Bank Swallow,Bank Swallow,Perching Birds,27,4,6,23,0.4000,0.1481,0.2162,0.1481,0.5926,Northern Rough-winged Swallow (5)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,6,22,21,0.2143,0.2222,0.2182,0.2222,0.7778,Common Raven (12)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,5,13,21,0.2778,0.1923,0.2273,0.1923,0.7308,Herring Gull (Immature) (6)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,8,27,22,0.2286,0.2667,0.2462,0.2667,0.7000,Swainson's Hawk (Light morph ) (11)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,7,7,34,0.5000,0.1707,0.2545,0.1707,0.8293,"Rufous Hummingbird (Female, immature) (15)"
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,4,2,21,0.6667,0.1600,0.2581,0.1600,0.8000,Common Goldeneye (Female/Eclipse male) (16)
344,Fish Crow,Fish Crow,Perching Birds,30,7,17,23,0.2917,0.2333,0.2593,0.2333,0.8333,American Crow (9)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,8,23,18,0.2581,0.3077,0.2807,0.3077,0.6538,Cooper's Hawk (Adult) (4)
