order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
"Hawks, Kites, Eagles, and Allies",29,1260,0.5778,0.5695,0.5581,0.5567,0.8476
Swifts and Hummingbirds,21,909,0.5798,0.5691,0.5598,0.5572,0.9120
"Gulls, Terns, and Allies",26,1038,0.6146,0.5833,0.5909,0.5803,0.8940
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.6437,0.5856,0.5833,0.5779,0.9042
Skuas and Alcids,4,91,0.6703,0.5734,0.5993,0.5823,0.8681
Caracaras and Falcons,7,346,0.6879,0.7344,0.6655,0.6950,0.8526
Loons,6,226,0.7212,0.7336,0.6871,0.7034,0.8894
Cuckoos,3,113,0.7434,0.7765,0.7436,0.7588,0.9204
Woodpeckers,16,843,0.7450,0.7593,0.7389,0.7378,0.9514
"Ducks, Geese, and Swans",70,2420,0.7471,0.7378,0.7147,0.7129,0.9277
Perching Birds,265,12539,0.7693,0.7542,0.7436,0.7429,0.9386
Nightjars,1,39,0.7949,0.7750,0.7949,0.7848,0.9231
Pigeons and Doves,7,359,0.7994,0.8658,0.8040,0.8330,0.9276
Owls,9,426,0.8028,0.7913,0.7943,0.7884,0.9437
Grebes,9,375,0.8053,0.7927,0.8005,0.7924,0.9547
"Pelicans, Herons, Ibises, and Allies",21,983,0.8260,0.8369,0.8181,0.8243,0.9603
Storks,1,56,0.8393,0.9400,0.8393,0.8868,0.9286
Cranes and Rails,6,200,0.8400,0.7693,0.7252,0.7259,0.9200
"Plovers, Sandpipers, and Allies",32,1573,0.8512,0.8487,0.8510,0.8480,0.9720
Parrots,1,28,0.8571,0.9600,0.8571,0.9057,1.0000
"Grouse, Quail, and Allies",10,342,0.8977,0.9217,0.8843,0.9013,0.9678
Kingfishers and Allies,1,60,0.9167,0.9167,0.9167,0.9167,0.9833
