species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Pacific Wren,1,21,0.0476,0.0909,0.0476,0.0625,0.7619
Cassin's Vireo,1,36,0.0833,0.1000,0.0833,0.0909,0.8333
Bank Swallow,1,27,0.1481,0.4000,0.1481,0.2162,0.5926
Northwestern Crow,1,19,0.1579,0.1875,0.1579,0.1714,0.8421
Black Tern,1,35,0.1714,0.2857,0.1714,0.2143,0.4857
Chihuahuan Raven,1,27,0.2222,0.2143,0.2222,0.2182,0.7778
Fish Crow,1,30,0.2333,0.2917,0.2333,0.2593,0.8333
Bell's Vireo,1,29,0.2414,0.5385,0.2414,0.3333,0.7241
California Gull,2,66,0.2727,0.4167,0.2507,0.3110,0.8030
Greater Scaup,2,73,0.2740,0.5100,0.2678,0.3503,0.8493
Barrow's Goldeneye,2,60,0.3167,0.8021,0.2943,0.4231,0.8667
Vaux's Swift,1,28,0.3214,0.4091,0.3214,0.3600,0.9643
Louisiana Waterthrush,1,42,0.3333,0.4828,0.3333,0.3944,0.9762
Neotropic Cormorant,1,38,0.3421,0.5200,0.3421,0.4127,0.7368
Broad-winged Hawk,2,55,0.3455,0.4346,0.3435,0.3744,0.6909
Red-naped Sapsucker,1,54,0.3519,0.7037,0.3519,0.4691,0.9630
Cave Swallow,1,34,0.3529,0.5455,0.3529,0.4286,0.7941
Boreal Chickadee,1,42,0.3571,1.0000,0.3571,0.5263,0.7857
Mississippi Kite,1,50,0.3600,0.5455,0.3600,0.4337,0.7600
Black-capped Chickadee,1,60,0.3667,0.5946,0.3667,0.4536,0.9167
Cordilleran Flycatcher,1,31,0.3871,0.3429,0.3871,0.3636,0.7419
Mew Gull,1,23,0.3913,0.4286,0.3913,0.4091,0.7826
Tundra Swan,1,28,0.3929,0.4400,0.3929,0.4151,0.8214
Swainson's Hawk,3,93,0.3978,0.3686,0.3795,0.3719,0.7312
Great-tailed Grackle,1,60,0.4000,0.3810,0.4000,0.3902,0.7833
Mourning Warbler,1,52,0.4038,0.5676,0.4038,0.4719,0.7115
Boat-tailed Grackle,1,60,0.4167,0.4032,0.4167,0.4098,0.8167
Least Flycatcher,1,60,0.4167,0.5435,0.4167,0.4717,0.8500
Great Cormorant,2,64,0.4219,0.4607,0.3958,0.4258,0.8594
Common Raven,1,57,0.4386,0.3205,0.4386,0.3704,0.9298
American Crow,1,57,0.4386,0.3247,0.4386,0.3731,0.8421
Northern Harrier,2,120,0.4417,0.5431,0.4417,0.4652,0.7083
Hoary Redpoll,1,29,0.4483,0.5909,0.4483,0.5098,0.8276
Trumpeter Swan,1,37,0.4595,0.5484,0.4595,0.5000,0.8919
Plumbeous Vireo,1,41,0.4634,0.4750,0.4634,0.4691,0.8537
Allen's Hummingbird,2,101,0.4653,0.5890,0.4187,0.4634,0.9109
Hairy Woodpecker,1,60,0.4667,0.7368,0.4667,0.5714,0.9667
Common Tern,1,60,0.4667,0.5385,0.4667,0.5000,0.8667
Black Guillemot,2,32,0.4688,0.5278,0.4583,0.4904,0.7812
Western Screech-Owl,1,34,0.4706,0.4706,0.4706,0.4706,0.9412
Black-chinned Hummingbird,2,109,0.4771,0.5739,0.4925,0.5299,0.8716
Western Wood-Pewee,1,49,0.4898,0.5000,0.4898,0.4948,0.7959
Peregrine Falcon,2,77,0.4935,0.6357,0.4867,0.5472,0.7922
Snow Goose,2,54,0.5000,0.6974,0.4959,0.5791,0.8148
Western Gull,2,59,0.5085,0.4594,0.4749,0.4609,0.8814
Rough-legged Hawk,2,64,0.5156,0.6012,0.4792,0.5333,0.7969
Glaucous-winged Gull,2,60,0.5167,0.4786,0.4749,0.4722,0.9167
Red-tailed Hawk,3,150,0.5200,0.5236,0.4778,0.4980,0.8333
Sharp-shinned Hawk,2,116,0.5259,0.4971,0.5259,0.5107,0.8966
Cliff Swallow,1,30,0.5333,0.5161,0.5333,0.5246,0.7667
Mexican Jay,1,26,0.5385,0.6087,0.5385,0.5714,0.9615
Rusty Blackbird,1,48,0.5417,0.7222,0.5417,0.6190,0.8750
Cassin's Kingbird,1,35,0.5429,0.7600,0.5429,0.6333,0.9429
MacGillivray's Warbler,1,46,0.5435,0.8333,0.5435,0.6579,0.9130
Black-crested Titmouse,1,33,0.5455,0.6667,0.5455,0.6000,0.9394
Chimney Swift,1,33,0.5455,0.4865,0.5455,0.5143,0.9091
Pacific Loon,2,47,0.5532,0.6430,0.5917,0.6159,0.8936
Golden Eagle,2,72,0.5556,0.5670,0.5524,0.5453,0.8889
Pine Warbler,1,48,0.5625,0.7500,0.5625,0.6429,0.7917
Oak Titmouse,1,37,0.5676,0.6364,0.5676,0.6000,0.8919
Lark Bunting,2,51,0.5686,0.8750,0.5707,0.6881,0.9020
Brewer's Blackbird,2,91,0.5714,0.5611,0.5892,0.5748,0.8571
Rufous Hummingbird,2,87,0.5747,0.5314,0.5808,0.5540,0.9540
Eastern Meadowlark,1,40,0.5750,0.6389,0.5750,0.6053,0.9750
Broad-tailed Hummingbird,2,73,0.5753,0.5502,0.5419,0.5427,0.8767
Pelagic Cormorant,1,26,0.5769,0.5357,0.5769,0.5556,0.9615
Hooded Oriole,2,78,0.5769,0.6625,0.5551,0.6010,0.9487
Bay-breasted Warbler,2,62,0.5806,0.6571,0.5664,0.6023,0.8065
Tennessee Warbler,1,60,0.5833,0.5833,0.5833,0.5833,0.9167
Mottled Duck,1,29,0.5862,0.6800,0.5862,0.6296,0.8621
Ring-billed Gull,2,96,0.5938,0.5744,0.5972,0.5838,0.8750
Common Redpoll,1,40,0.6000,0.5854,0.6000,0.5926,0.9500
Great Black-backed Gull,2,73,0.6027,0.7210,0.6086,0.6582,0.8904
Costa's Hummingbird,2,58,0.6034,0.4831,0.5553,0.5164,0.9138
Pygmy Nuthatch,1,38,0.6053,0.6053,0.6053,0.6053,0.8684
Calliope Hummingbird,2,89,0.6067,0.7291,0.6176,0.6668,0.9213
Cooper's Hawk,2,117,0.6068,0.4994,0.6061,0.5469,0.9145
Eastern Wood-Pewee,1,49,0.6122,0.5882,0.6122,0.6000,0.8980
Canada Goose,1,31,0.6129,0.7037,0.6129,0.6552,0.8710
Anna's Hummingbird,2,106,0.6132,0.6624,0.6108,0.6351,0.9057
Florida Scrub-Jay,1,26,0.6154,0.6957,0.6154,0.6531,0.9615
Brown-capped Rosy-Finch,1,34,0.6176,0.8077,0.6176,0.7000,0.9412
Northern Pintail,2,66,0.6212,0.7794,0.5952,0.6743,0.9091
Black-billed Cuckoo,1,32,0.6250,0.6061,0.6250,0.6154,0.8750
Brewer's Sparrow,1,35,0.6286,0.6471,0.6286,0.6377,0.9429
Red-shouldered Hawk,2,76,0.6316,0.6419,0.6316,0.6367,0.8421
Purple Martin,2,71,0.6338,0.7371,0.6345,0.6818,0.9155
Brandt's Cormorant,1,33,0.6364,0.5833,0.6364,0.6087,0.8788
Merlin,1,58,0.6379,0.6727,0.6379,0.6549,0.8276
Juniper Titmouse,1,25,0.6400,0.6667,0.6400,0.6531,0.8400
Ruby-throated Hummingbird,2,114,0.6404,0.6055,0.6463,0.6251,0.9035
Prairie Falcon,1,42,0.6429,0.7105,0.6429,0.6750,0.8095
Northern Rough-winged Swallow,1,42,0.6429,0.6279,0.6429,0.6353,0.8810
Cackling Goose,1,14,0.6429,0.6000,0.6429,0.6207,0.8571
Pacific-slope Flycatcher,1,59,0.6441,0.6230,0.6441,0.6333,0.8475
Western Sandpiper,1,51,0.6471,0.7021,0.6471,0.6735,1.0000
White-faced Ibis,1,34,0.6471,0.7857,0.6471,0.7097,0.9706
American Black Duck,1,37,0.6486,0.7059,0.6486,0.6761,0.8919
Violet-green Swallow,1,37,0.6486,0.8889,0.6486,0.7500,0.8108
White-winged Scoter,2,57,0.6491,0.5964,0.6481,0.6168,0.8947
Lesser Yellowlegs,1,60,0.6500,0.5735,0.6500,0.6094,0.9667
Northern Gannet,2,80,0.6500,0.6566,0.5333,0.5872,0.8750
White-winged Crossbill,2,52,0.6538,0.7407,0.6438,0.6887,0.9423
Black Scoter,2,41,0.6585,0.6933,0.6782,0.6808,0.9024
Greater Yellowlegs,1,59,0.6610,0.6393,0.6610,0.6500,0.9661
Red Crossbill,2,59,0.6610,0.6020,0.6847,0.6300,0.8475
Hutton's Vireo,1,39,0.6667,0.6190,0.6667,0.6420,0.9231
Western Grebe,1,42,0.6667,0.8485,0.6667,0.7467,1.0000
Caspian Tern,1,49,0.6735,0.6875,0.6735,0.6804,0.9592
Cassin's Finch,2,62,0.6774,0.8545,0.6447,0.7302,0.9194
Gadwall,2,75,0.6800,0.5209,0.5423,0.5213,0.9067
Forster's Tern,1,60,0.6833,0.5775,0.6833,0.6260,0.9500
Lesser Scaup,2,79,0.6835,0.4655,0.6925,0.5550,0.9367
Nuttall's Woodpecker,1,45,0.6889,0.7209,0.6889,0.7045,1.0000
Carolina Chickadee,1,58,0.6897,0.4938,0.6897,0.5755,0.9828
Summer Tanager,3,100,0.6900,0.7917,0.6288,0.6873,0.9700
Black-legged Kittiwake,2,42,0.6905,0.5300,0.6945,0.6012,0.8571
White-tailed Kite,1,13,0.6923,0.4500,0.6923,0.5455,0.7692
Herring Gull,2,101,0.6931,0.4979,0.6866,0.5754,0.9703
Canyon Towhee,1,46,0.6957,0.6809,0.6957,0.6882,0.9565
Great Blue Heron,1,60,0.7000,0.7778,0.7000,0.7368,0.8833
Warbling Vireo,1,60,0.7000,0.7925,0.7000,0.7434,0.9500
Townsend's Solitaire,1,37,0.7027,0.6842,0.7027,0.6933,0.9730
Yellow-billed Magpie,1,27,0.7037,0.9048,0.7037,0.7917,0.9630
Bonaparte's Gull,1,58,0.7069,0.6833,0.7069,0.6949,0.9483
