true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,36,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),30,False,True
Boreal Chickadee,Chestnut-backed Chickadee,23,False,True
Greater Yellowlegs,Lesser Yellowlegs,22,False,True
Western Wood-Pewee,Eastern Wood-Pewee,21,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),21,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),20,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,20,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),20,False,True
Pacific Loon (Nonbreeding/juvenile),Common Loon (Nonbreeding/juvenile),17,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),17,False,True
American Crow,Common Raven,17,False,True
Cassin's Vireo,Blue-headed Vireo,17,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),16,False,True
Eastern Screech-Owl,Western Screech-Owl,16,False,True
Hairy Woodpecker,Downy Woodpecker,16,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",15,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",15,False,True
Downy Woodpecker,Hairy Woodpecker,15,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),14,True,True
Lesser Yellowlegs,Greater Yellowlegs,14,False,True
Boat-tailed Grackle,Great-tailed Grackle,14,False,True
Common Raven,American Crow,14,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),14,False,True
Western Screech-Owl,Eastern Screech-Owl,14,False,True
Semipalmated Sandpiper,Western Sandpiper,14,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,13,False,True
Pacific Wren,Winter Wren,13,False,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",13,False,True
Chihuahuan Raven,Common Raven,13,False,True
Eastern Meadowlark,Western Meadowlark,12,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),12,False,True
Mourning Warbler,MacGillivray's Warbler,12,False,True
Yellow-rumped Warbler (Breeding Audubon's),Yellow-rumped Warbler (Winter/juvenile Audubon's),12,True,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),11,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",11,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),11,False,True
MacGillivray's Warbler,Mourning Warbler,11,False,True
Chimney Swift,Vaux's Swift,11,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),11,True,True
Common Tern,Forster's Tern,11,False,True
Tundra Swan,Trumpeter Swan,10,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",10,False,True
Golden Eagle (Immature),Golden Eagle (Adult),10,True,True
Snow Goose (White morph),Ross's Goose,10,False,True
Great Cormorant (Adult),Double-crested Cormorant (Adult),10,False,True
Vaux's Swift,Chimney Swift,10,False,True
Cooper's Hawk (Immature),Sharp-shinned Hawk (Immature),10,False,True
Western Grebe,Clark's Grebe,10,False,True
Louisiana Waterthrush,Northern Waterthrush,10,False,True
Fish Crow,American Crow,10,False,True
Juniper Titmouse,Oak Titmouse,10,False,True
Bank Swallow,Northern Rough-winged Swallow,10,False,True
Yellow-bellied Sapsucker,Red-naped Sapsucker,9,False,True
Black-billed Cuckoo,Yellow-billed Cuckoo,9,False,True
"Anna's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",9,False,True
White-throated Sparrow (Tan-striped/immature),White-throated Sparrow (White-striped),9,True,True
Western Bluebird,Eastern Bluebird,9,False,True
Western Sandpiper,Semipalmated Sandpiper,9,False,True
Eastern Wood-Pewee,Western Wood-Pewee,9,False,True
