class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,0,0,9,0.0000,0.0000,0.0000,0.0000,0.8889,Dark-eyed Junco (Slate-colored) (8)
351,Bank Swallow,Bank Swallow,Perching Birds,27,2,4,25,0.3333,0.0741,0.1212,0.0741,0.5556,Northern Rough-winged Swallow (10)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,3,14,24,0.1765,0.1111,0.1364,0.1111,0.8148,Common Raven (13)
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,2,1,23,0.6667,0.0800,0.1429,0.0800,0.8800,Common Goldeneye (Female/Eclipse male) (21)
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,3,7,23,0.3000,0.1154,0.1667,0.1154,0.6538,Herring Gull (Immature) (7)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,3,10,18,0.2308,0.1429,0.1765,0.1429,0.7619,"Anna's Hummingbird (Female, immature) (8)"
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,3,1,27,0.7500,0.1000,0.1765,0.1000,0.7333,Lesser Scaup (Female/Eclipse male) (16)
344,Fish Crow,Fish Crow,Perching Birds,30,5,20,25,0.2000,0.1667,0.1818,0.1667,0.8667,American Crow (10)
244,Pacific Loon (Nonbreeding/juvenile),Pacific Loon,Loons,27,4,8,23,0.3333,0.1481,0.2051,0.1481,1.0000,Common Loon (Nonbreeding/juvenile) (17)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,8,19,28,0.2963,0.2222,0.2540,0.2222,0.9167,Blue-headed Vireo (17)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,5,7,19,0.4167,0.2083,0.2778,0.2083,0.7083,Red-tailed Hawk (Light morph immature) (8)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,8,20,21,0.2857,0.2759,0.2807,0.2759,0.8966,"Calliope Hummingbird (Female, immature) (13)"
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,11,30,19,0.2683,0.3667,0.3099,0.3667,0.8000,Swainson's Hawk (Light morph ) (6)
221,Cinnamon Teal (Female/juvenile),Cinnamon Teal,"Ducks, Geese, and Swans",20,5,6,15,0.4545,0.2500,0.3226,0.2500,0.8000,Green-winged Teal (Female/juvenile) (5)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,5,5,14,0.5000,0.2632,0.3448,0.2632,0.8947,American Crow (8)
359,Boreal Chickadee,Boreal Chickadee,Perching Birds,42,9,0,33,1.0000,0.2143,0.3529,0.2143,0.8333,Chestnut-backed Chickadee (23)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,7,8,17,0.4667,0.2917,0.3590,0.2917,0.8333,Double-crested Cormorant (Immature) (11)
467,Western Wood-Pewee,Western Wood-Pewee,Perching Birds,49,16,22,33,0.4211,0.3265,0.3678,0.3265,0.7959,Eastern Wood-Pewee (21)
217,Gadwall (Female/Eclipse male),Gadwall,"Ducks, Geese, and Swans",19,7,11,12,0.3889,0.3684,0.3784,0.3684,0.9474,Northern Shoveler (Female/Eclipse male) (7)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,4,1,12,0.8000,0.2500,0.3810,0.2500,0.9375,Fox Sparrow (Sooty) (8)
501,American Crow,American Crow,Perching Birds,57,25,47,32,0.3472,0.4386,0.3876,0.4386,0.8947,Common Raven (17)
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,9,12,16,0.4286,0.3600,0.3913,0.3600,0.6000,Ring-billed Gull (Immature) (4)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,13,12,28,0.5200,0.3171,0.3939,0.3171,0.8537,Ring-billed Gull (Adult) (9)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,24,38,35,0.3871,0.4068,0.3967,0.4068,0.8644,"Ruby-throated Hummingbird (Female, immature) (15)"
377,Pacific Wren,Pacific Wren,Perching Birds,21,7,7,14,0.5000,0.3333,0.4000,0.3333,0.9048,Winter Wren (13)
137,Red-tailed Hawk (Dark morph),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",30,11,13,19,0.4583,0.3667,0.4074,0.3667,0.8000,Swainson's Hawk (Dark morph ) (5)
346,Common Raven,Common Raven,Perching Birds,57,28,50,29,0.3590,0.4912,0.4148,0.4912,0.9649,American Crow (14)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,13,19,15,0.4062,0.4643,0.4333,0.4643,1.0000,Chimney Swift (10)
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,10,13,13,0.4348,0.4348,0.4348,0.4348,0.8696,Ring-billed Gull (Adult) (3)
53,Rough-legged Hawk (Dark morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",24,10,11,14,0.4762,0.4167,0.4444,0.4167,0.7917,Red-tailed Hawk (Dark morph) (5)
52,Broad-winged Hawk (Adult),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",26,11,12,15,0.4783,0.4231,0.4490,0.4231,0.8077,Cooper's Hawk (Adult) (5)
356,Black-capped Chickadee,Black-capped Chickadee,Perching Birds,60,20,9,40,0.6897,0.3333,0.4494,0.3333,0.9167,Carolina Chickadee (36)
362,Juniper Titmouse,Juniper Titmouse,Perching Birds,25,10,9,15,0.5263,0.4000,0.4545,0.4000,0.9200,Oak Titmouse (10)
471,Cordilleran Flycatcher,Cordilleran Flycatcher,Perching Birds,31,15,18,16,0.4545,0.4839,0.4688,0.4839,0.9355,Pacific-slope Flycatcher (6)
75,Black Guillemot (Breeding),Black Guillemot,Skuas and Alcids,20,9,9,11,0.5000,0.4500,0.4737,0.4500,0.9000,Pigeon Guillemot (Breeding) (8)
115,Neotropic Cormorant,Neotropic Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",38,17,16,21,0.5152,0.4474,0.4789,0.4474,0.8684,Double-crested Cormorant (Adult) (7)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,12,10,16,0.5455,0.4286,0.4800,0.4286,0.9643,Trumpeter Swan (10)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,25,31,23,0.4464,0.5208,0.4808,0.5208,0.9583,"Broad-tailed Hummingbird (Female, immature) (10)"
230,Harlequin Duck (Female/juvenile),Harlequin Duck,"Ducks, Geese, and Swans",22,7,0,15,1.0000,0.3182,0.4828,0.3182,0.7273,White-winged Scoter (Female/juvenile) (5)
535,Hooded Oriole (Female/Immature male),Hooded Oriole,Perching Birds,35,15,12,20,0.5556,0.4286,0.4839,0.4286,0.8571,Orchard Oriole (Immature Male) (4)
274,"Broad-billed Hummingbird (Female, immature)",Broad-billed Hummingbird,Swifts and Hummingbirds,22,8,3,14,0.7273,0.3636,0.4848,0.3636,0.8636,Broad-billed Hummingbird (Adult Male) (3)
261,Red-shouldered Hawk (Immature),Red-shouldered Hawk,"Hawks, Kites, Eagles, and Allies",38,20,24,18,0.4545,0.5263,0.4878,0.5263,0.8684,Red-shouldered Hawk (Adult ) (3)
484,Bell's Vireo,Bell's Vireo,Perching Birds,29,11,5,18,0.6875,0.3793,0.4889,0.3793,0.7241,Cassin's Vireo (2)
72,Allen's Hummingbird (Adult Male),Allen's Hummingbird,Swifts and Hummingbirds,60,26,20,34,0.5652,0.4333,0.4906,0.4333,0.9833,Rufous Hummingbird (Adult Male) (30)
552,Orchard Oriole (Female/Juvenile),Orchard Oriole,Perching Birds,26,12,10,14,0.5455,0.4615,0.5000,0.4615,0.8077,Prairie Warbler (3)
353,Cave Swallow,Cave Swallow,Perching Birds,34,16,14,18,0.5333,0.4706,0.5000,0.4706,0.7059,Cliff Swallow (8)
41,Great Cormorant (Adult),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",40,18,14,22,0.5625,0.4500,0.5000,0.4500,0.8500,Double-crested Cormorant (Adult) (10)
26,Barrow's Goldeneye (Breeding male),Barrow's Goldeneye,"Ducks, Geese, and Swans",35,12,1,23,0.9231,0.3429,0.5000,0.3429,0.9429,Common Goldeneye (Breeding male) (20)
262,Broad-winged Hawk (Immature),Broad-winged Hawk,"Hawks, Kites, Eagles, and Allies",29,13,10,16,0.5652,0.4483,0.5000,0.4483,0.6207,Red-shouldered Hawk (Immature) (5)
414,Mourning Warbler,Mourning Warbler,Perching Birds,52,23,15,29,0.6053,0.4423,0.5111,0.4423,0.7692,MacGillivray's Warbler (12)
486,Plumbeous Vireo,Plumbeous Vireo,Perching Birds,41,20,17,21,0.5405,0.4878,0.5128,0.4878,0.8780,Cassin's Vireo (6)
553,Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler,Perching Birds,44,23,22,21,0.5111,0.5227,0.5169,0.5227,0.9773,Yellow-rumped Warbler (Breeding Audubon's) (11)
5,Snow Goose (White morph),Snow Goose,"Ducks, Geese, and Swans",26,12,8,14,0.6000,0.4615,0.5217,0.4615,0.9615,Ross's Goose (10)
352,Cliff Swallow,Cliff Swallow,Perching Birds,30,17,18,13,0.4857,0.5667,0.5231,0.5667,0.9000,Cave Swallow (6)
381,Black-tailed Gnatcatcher,Black-tailed Gnatcatcher,Perching Birds,22,15,20,7,0.4286,0.6818,0.5263,0.6818,0.9091,Blue-gray Gnatcatcher (2)
264,Golden Eagle (Immature),Golden Eagle,"Hawks, Kites, Eagles, and Allies",30,14,9,16,0.6087,0.4667,0.5283,0.4667,0.8333,Golden Eagle (Adult) (10)
18,Greater Scaup (Breeding male),Greater Scaup,"Ducks, Geese, and Swans",43,18,7,25,0.7200,0.4186,0.5294,0.4186,0.8605,Lesser Scaup (Breeding male) (17)
544,Lesser Goldfinch (Female/juvenile),Lesser Goldfinch,Perching Birds,36,17,11,19,0.6071,0.4722,0.5312,0.4722,0.7500,Lesser Goldfinch (Adult Male) (6)
50,Cooper's Hawk (Adult),Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",57,38,48,19,0.4419,0.6667,0.5315,0.6667,0.9123,Sharp-shinned Hawk (Adult ) (12)
220,Blue-winged Teal (Female/juvenile),Blue-winged Teal,"Ducks, Geese, and Swans",17,8,5,9,0.6154,0.4706,0.5333,0.4706,0.8824,Cinnamon Teal (Female/juvenile) (3)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,18,8,23,0.6923,0.4390,0.5373,0.4390,0.9268,"Rufous Hummingbird (Female, immature) (15)"
457,Boat-tailed Grackle,Boat-tailed Grackle,Perching Birds,60,32,26,28,0.5517,0.5333,0.5424,0.5333,0.8333,Great-tailed Grackle (14)
89,Black Tern,Black Tern,"Gulls, Terns, and Allies",35,16,8,19,0.6667,0.4571,0.5424,0.4571,0.7714,Laughing Gull (Nonbreeding/Immature) (4)
281,"Rufous Hummingbird (Female, immature)",Rufous Hummingbird,Swifts and Hummingbirds,37,23,24,14,0.4894,0.6216,0.5476,0.6216,0.9730,"Calliope Hummingbird (Female, immature) (7)"
186,Chimney Swift,Chimney Swift,Swifts and Hummingbirds,33,19,17,14,0.5278,0.5758,0.5507,0.5758,0.9394,Vaux's Swift (11)
177,Western Screech-Owl,Western Screech-Owl,Owls,34,19,16,15,0.5429,0.5588,0.5507,0.5588,0.9706,Eastern Screech-Owl (14)
267,Purple Gallinule (Immature),Purple Gallinule,Cranes and Rails,11,5,2,6,0.7143,0.4545,0.5556,0.4545,0.9091,Purple Gallinule (Adult) (4)
134,Mississippi Kite,Mississippi Kite,"Hawks, Kites, Eagles, and Allies",50,25,15,25,0.6250,0.5000,0.5556,0.5000,0.7200,Swainson's Hawk (Dark morph ) (3)
468,Eastern Wood-Pewee,Eastern Wood-Pewee,Perching Birds,49,34,39,15,0.4658,0.6939,0.5574,0.6939,0.9796,Western Wood-Pewee (9)
136,Swainson's Hawk (Light morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",39,24,23,15,0.5106,0.6154,0.5581,0.6154,0.9231,Swainson's Hawk (Dark morph ) (6)
140,Prairie Falcon,Prairie Falcon,Caracaras and Falcons,42,21,12,21,0.6364,0.5000,0.5600,0.5000,0.8571,Rough-legged Hawk (Light morph) (3)
458,Great-tailed Grackle,Great-tailed Grackle,Perching Birds,60,35,30,25,0.5385,0.5833,0.5600,0.5833,0.9333,Boat-tailed Grackle (9)
207,Ring-billed Gull (Immature),Ring-billed Gull,"Gulls, Terns, and Allies",36,23,23,13,0.5000,0.6389,0.5610,0.6389,0.8611,Herring Gull (Immature) (7)
266,Peregrine Falcon (Immature),Peregrine Falcon,Caracaras and Falcons,31,13,2,18,0.8667,0.4194,0.5652,0.4194,0.8387,Peregrine Falcon (Adult) (6)
19,Lesser Scaup (Breeding male),Lesser Scaup,"Ducks, Geese, and Swans",44,29,29,15,0.5000,0.6591,0.5686,0.6591,0.9773,Greater Scaup (Breeding male) (6)
49,Sharp-shinned Hawk (Adult ),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,31,20,27,0.6078,0.5345,0.5688,0.5345,0.9310,Cooper's Hawk (Adult) (20)
71,Rufous Hummingbird (Adult Male),Rufous Hummingbird,Swifts and Hummingbirds,50,32,30,18,0.5161,0.6400,0.5714,0.6400,0.9800,Allen's Hummingbird (Adult Male) (14)
233,Black Scoter (Female/juvenile),Black Scoter,"Ducks, Geese, and Swans",22,10,3,12,0.7692,0.4545,0.5714,0.4545,0.8636,White-winged Scoter (Female/juvenile) (2)
514,Lark Bunting (Female/Nonbreeding male),Lark Bunting,Perching Birds,32,14,3,18,0.8235,0.4375,0.5714,0.4375,0.8125,Vesper Sparrow (4)
522,Western Tanager (Female/Nonbreeding Male),Western Tanager,Perching Birds,33,16,7,17,0.6957,0.4848,0.5714,0.4848,0.8182,Scarlet Tanager (Female/Nonbreeding Male) (6)
150,Greater Yellowlegs,Greater Yellowlegs,"Plovers, Sandpipers, and Allies",59,31,18,28,0.6327,0.5254,0.5741,0.5254,0.9831,Lesser Yellowlegs (22)
521,Scarlet Tanager (Female/Nonbreeding Male),Scarlet Tanager,Perching Birds,28,21,24,7,0.4667,0.7500,0.5753,0.7500,0.9286,Western Tanager (Female/Nonbreeding Male) (2)
275,"Ruby-throated Hummingbird (Female, immature)",Ruby-throated Hummingbird,Swifts and Hummingbirds,60,41,41,19,0.5000,0.6833,0.5775,0.6833,0.9667,"Black-chinned Hummingbird (Female, immature) (11)"
259,Sharp-shinned Hawk (Immature),Sharp-shinned Hawk,"Hawks, Kites, Eagles, and Allies",58,32,20,26,0.6154,0.5517,0.5818,0.5517,0.8966,Cooper's Hawk (Immature) (11)
440,Brewer's Sparrow,Brewer's Sparrow,Perching Birds,35,23,21,12,0.5227,0.6571,0.5823,0.6571,0.9143,Vesper Sparrow (4)
54,Golden Eagle (Adult),Golden Eagle,"Hawks, Kites, Eagles, and Allies",42,27,23,15,0.5400,0.6429,0.5870,0.6429,0.9762,"Northern Harrier (Female, immature) (4)"
152,Lesser Yellowlegs,Lesser Yellowlegs,"Plovers, Sandpipers, and Allies",60,37,29,23,0.5606,0.6167,0.5873,0.6167,0.9833,Greater Yellowlegs (14)
84,Glaucous-winged Gull (Adult),Glaucous-winged Gull,"Gulls, Terns, and Allies",38,20,10,18,0.6667,0.5263,0.5882,0.5263,0.8684,Herring Gull (Adult) (8)
249,Northern Gannet (Immature/Juvenile),Northern Gannet,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",20,10,4,10,0.7143,0.5000,0.5882,0.5000,0.8500,"Northern Gannet (Adult, Subadult) (2)"
277,"Anna's Hummingbird (Female, immature)",Anna's Hummingbird,Swifts and Hummingbirds,52,32,24,20,0.5714,0.6154,0.5926,0.6154,0.9231,"Black-chinned Hummingbird (Female, immature) (9)"
465,Hoary Redpoll,Hoary Redpoll,Perching Birds,29,16,9,13,0.6400,0.5517,0.5926,0.5517,0.9655,Common Redpoll (8)
210,Herring Gull (Immature),Herring Gull,"Gulls, Terns, and Allies",44,30,27,14,0.5263,0.6818,0.5941,0.6818,0.9545,California Gull (Immature) (7)
413,MacGillivray's Warbler,MacGillivray's Warbler,Perching Birds,46,25,13,21,0.6579,0.5435,0.5952,0.5435,0.9565,Mourning Warbler (11)
114,Brandt's Cormorant,Brandt's Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",33,20,14,13,0.5882,0.6061,0.5970,0.6061,0.9394,Pelagic Cormorant (6)
99,Trumpeter Swan,Trumpeter Swan,"Ducks, Geese, and Swans",37,23,17,14,0.5750,0.6216,0.5974,0.6216,0.9730,Tundra Swan (7)
289,Red-tailed Hawk (Light morph immature),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",60,39,31,21,0.5571,0.6500,0.6000,0.6500,0.8833,Red-shouldered Hawk (Immature) (6)
540,Cassin's Finch (Female/immature),Cassin's Finch,Perching Birds,24,12,4,12,0.7500,0.5000,0.6000,0.5000,0.8750,Purple Finch (Female/immature) (7)
533,Brewer's Blackbird (Male),Brewer's Blackbird,Perching Birds,60,31,12,29,0.7209,0.5167,0.6019,0.5167,0.8500,Boat-tailed Grackle (6)
83,Herring Gull (Adult),Herring Gull,"Gulls, Terns, and Allies",57,39,33,18,0.5417,0.6842,0.6047,0.6842,0.9825,Glaucous-winged Gull (Adult) (7)
232,White-winged Scoter (Female/juvenile),White-winged Scoter,"Ducks, Geese, and Swans",30,20,16,10,0.5556,0.6667,0.6061,0.6667,0.9667,Surf Scoter (Female/immature) (3)
235,Common Goldeneye (Female/Eclipse male),Common Goldeneye,"Ducks, Geese, and Swans",33,24,22,9,0.5217,0.7273,0.6076,0.7273,0.8788,Lesser Scaup (Breeding male) (2)
160,Western Sandpiper,Western Sandpiper,"Plovers, Sandpipers, and Allies",51,31,20,20,0.6078,0.6078,0.6078,0.6078,0.9804,Semipalmated Sandpiper (9)
510,"Bay-breasted Warbler (Female, Nonbreeding male, Immature)",Bay-breasted Warbler,Perching Birds,29,14,3,15,0.8235,0.4828,0.6087,0.4828,0.7586,Bay-breasted Warbler (Breeding male) (6)
33,Red-throated Loon (Breeding),Red-throated Loon,Loons,12,7,4,5,0.6364,0.5833,0.6087,0.5833,0.9167,Red-throated Loon (Nonbreeding/juvenile) (2)
195,Red-naped Sapsucker,Red-naped Sapsucker,Woodpeckers,54,31,16,23,0.6596,0.5741,0.6139,0.5741,0.9815,Yellow-bellied Sapsucker (20)
226,Redhead (Female/Eclipse male),Redhead,"Ducks, Geese, and Swans",17,12,10,5,0.5455,0.7059,0.6154,0.7059,0.8824,Pied-billed Grebe (2)
139,Merlin,Merlin,Caracaras and Falcons,58,33,16,25,0.6735,0.5690,0.6168,0.5690,0.8621,Cooper's Hawk (Immature) (5)
260,Cooper's Hawk (Immature),Cooper's Hawk,"Hawks, Kites, Eagles, and Allies",60,42,34,18,0.5526,0.7000,0.6176,0.7000,0.9500,Sharp-shinned Hawk (Immature) (10)
410,Tennessee Warbler,Tennessee Warbler,Perching Birds,60,42,33,18,0.5600,0.7000,0.6222,0.7000,0.9333,"Bay-breasted Warbler (Female, Nonbreeding male, Immature) (3)"
455,Rusty Blackbird,Rusty Blackbird,Perching Birds,48,28,14,20,0.6667,0.5833,0.6222,0.5833,0.8542,Brewer's Blackbird (Female/Juvenile) (4)
231,Surf Scoter (Female/immature),Surf Scoter,"Ducks, Geese, and Swans",24,14,7,10,0.6667,0.5833,0.6222,0.5833,0.9167,Bufflehead (Female/immature male) (3)
90,Common Tern,Common Tern,"Gulls, Terns, and Allies",60,34,15,26,0.6939,0.5667,0.6239,0.5667,0.9333,Forster's Tern (11)
469,Least Flycatcher,Least Flycatcher,Perching Birds,60,38,23,22,0.6230,0.6333,0.6281,0.6333,0.9167,Eastern Wood-Pewee (4)
48,Northern Harrier (Adult male),Northern Harrier,"Hawks, Kites, Eagles, and Allies",60,28,1,32,0.9655,0.4667,0.6292,0.4667,0.6167,Cooper's Hawk (Adult) (5)
355,Carolina Chickadee,Carolina Chickadee,Perching Birds,58,46,42,12,0.5227,0.7931,0.6301,0.7931,0.9655,Black-capped Chickadee (8)
211,Glaucous-winged Gull (Immature),Glaucous-winged Gull,"Gulls, Terns, and Allies",22,12,4,10,0.7500,0.5455,0.6316,0.5455,1.0000,Herring Gull (Immature) (4)
361,Oak Titmouse,Oak Titmouse,Perching Birds,37,24,15,13,0.6154,0.6486,0.6316,0.6486,0.8919,Juniper Titmouse (2)
88,Caspian Tern,Caspian Tern,"Gulls, Terns, and Allies",49,34,24,15,0.5862,0.6939,0.6355,0.6939,1.0000,Royal Tern (7)
450,Summer Tanager (Female),Summer Tanager,Perching Birds,33,22,14,11,0.6111,0.6667,0.6377,0.6667,0.8788,Painted Bunting (Female/juvenile) (4)
159,Semipalmated Sandpiper,Semipalmated Sandpiper,"Plovers, Sandpipers, and Allies",60,37,19,23,0.6607,0.6167,0.6379,0.6167,0.9833,Western Sandpiper (14)
215,Ross's Goose,Ross's Goose,"Ducks, Geese, and Swans",23,16,11,7,0.5926,0.6957,0.6400,0.6957,1.0000,Snow Goose (White morph) (5)
489,Hutton's Vireo,Hutton's Vireo,Perching Birds,39,26,16,13,0.6190,0.6667,0.6420,0.6667,0.9487,Ruby-crowned Kinglet (6)
364,Black-crested Titmouse,Black-crested Titmouse,Perching Birds,33,20,9,13,0.6897,0.6061,0.6452,0.6061,0.9394,Tufted Titmouse (6)
200,Hairy Woodpecker,Hairy Woodpecker,Woodpeckers,60,37,17,23,0.6852,0.6167,0.6491,0.6167,0.9500,Downy Woodpecker (16)
4,Red-tailed Hawk (Light morph adult),Red-tailed Hawk,"Hawks, Kites, Eagles, and Allies",60,38,19,22,0.6667,0.6333,0.6496,0.6333,0.9000,Red-tailed Hawk (Light morph immature) (7)
194,Yellow-bellied Sapsucker,Yellow-bellied Sapsucker,Woodpeckers,59,42,28,17,0.6000,0.7119,0.6512,0.7119,0.9831,Red-naped Sapsucker (9)
178,Eastern Screech-Owl,Eastern Screech-Owl,Owls,50,34,20,16,0.6296,0.6800,0.6538,0.6800,1.0000,Western Screech-Owl (16)
542,Red Crossbill (Female/juvenile),Red Crossbill,Perching Birds,34,18,3,16,0.8571,0.5294,0.6545,0.5294,0.7647,House Finch (Female/immature) (3)
263,Rough-legged Hawk (Light morph),Rough-legged Hawk,"Hawks, Kites, Eagles, and Allies",40,25,11,15,0.6944,0.6250,0.6579,0.6250,0.8750,Red-tailed Hawk (Light morph adult) (5)
520,Chipping Sparrow (Immature/nonbreeding adult),Chipping Sparrow,Perching Birds,46,31,17,15,0.6458,0.6739,0.6596,0.6739,0.9348,Chipping Sparrow (Breeding) (4)
326,Brewer's Blackbird (Female/Juvenile),Brewer's Blackbird,Perching Birds,31,21,11,10,0.6562,0.6774,0.6667,0.6774,0.9032,Brown-headed Cowbird (Female/Juvenile) (4)
460,Orchard Oriole (Immature Male),Orchard Oriole,Perching Birds,25,16,7,9,0.6957,0.6400,0.6667,0.6400,0.8800,Hooded Oriole (Female/Immature male) (3)
342,Yellow-rumped Warbler (Winter/juvenile Myrtle),Yellow-rumped Warbler,Perching Birds,53,40,27,13,0.5970,0.7547,0.6667,0.7547,0.9811,Yellow-rumped Warbler (Winter/juvenile Audubon's) (6)
350,Northern Rough-winged Swallow,Northern Rough-winged Swallow,Perching Birds,42,30,18,12,0.6250,0.7143,0.6667,0.7143,0.9048,Eastern Wood-Pewee (2)
389,Townsend's Solitaire,Townsend's Solitaire,Perching Birds,37,26,15,11,0.6341,0.7027,0.6667,0.7027,0.9189,Black-tailed Gnatcatcher (2)
470,Pacific-slope Flycatcher,Pacific-slope Flycatcher,Perching Birds,59,36,13,23,0.7347,0.6102,0.6667,0.6102,0.9153,Cordilleran Flycatcher (13)
257,"Bald Eagle (Immature, juvenile)",Bald Eagle,"Hawks, Kites, Eagles, and Allies",43,29,15,14,0.6591,0.6744,0.6667,0.6744,0.9535,Golden Eagle (Immature) (5)
