order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6238,0.6187,0.5979,0.5996,0.9461
"Hawks, Kites, Eagles, and Allies",29,1260,0.6500,0.6316,0.6252,0.6191,0.8841
Skuas and Alcids,4,91,0.6593,0.6679,0.6314,0.6481,0.9231
"Gulls, Terns, and Allies",26,1038,0.6898,0.6692,0.6667,0.6607,0.9268
Caracaras and Falcons,7,346,0.6965,0.7804,0.6719,0.7120,0.8960
Loons,6,226,0.6991,0.7038,0.6395,0.6542,0.9159
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7027,0.6495,0.6521,0.6423,0.9361
Woodpeckers,16,843,0.7983,0.7957,0.7939,0.7915,0.9751
"Ducks, Geese, and Swans",70,2420,0.7983,0.7844,0.7649,0.7577,0.9566
Perching Birds,265,12539,0.8055,0.7962,0.7814,0.7824,0.9548
Nightjars,1,39,0.8205,0.8649,0.8205,0.8421,0.9744
Grebes,9,375,0.8213,0.8534,0.8137,0.8294,0.9600
Cuckoos,3,113,0.8230,0.8296,0.8162,0.8211,0.9558
Owls,9,426,0.8474,0.8608,0.8377,0.8472,0.9789
"Plovers, Sandpipers, and Allies",32,1573,0.8544,0.8800,0.8566,0.8660,0.9822
Storks,1,56,0.8571,0.8727,0.8571,0.8649,0.9821
"Pelicans, Herons, Ibises, and Allies",21,983,0.8769,0.8793,0.8658,0.8703,0.9715
Pigeons and Doves,7,359,0.8802,0.9208,0.8786,0.8987,0.9526
Cranes and Rails,6,200,0.9300,0.8803,0.8618,0.8657,0.9800
"Grouse, Quail, and Allies",10,342,0.9357,0.9236,0.9034,0.9116,0.9766
Parrots,1,28,0.9643,0.9643,0.9643,0.9643,1.0000
Kingfishers and Allies,1,60,0.9667,0.8529,0.9667,0.9062,0.9833
