species,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Bank Swallow,1,27,0.0741,0.3333,0.0741,0.1212,0.5556
Chihuahuan Raven,1,27,0.1111,0.1765,0.1111,0.1364,0.8148
Fish Crow,1,30,0.1667,0.2000,0.1667,0.1818,0.8667
Boreal Chickadee,1,42,0.2143,1.0000,0.2143,0.3529,0.8333
Cassin's Vireo,1,36,0.2222,0.2963,0.2222,0.2540,0.9167
Barrow's Goldeneye,2,60,0.2333,0.7949,0.2114,0.3214,0.9167
Northwestern Crow,1,19,0.2632,0.5000,0.2632,0.3448,0.8947
Greater Scaup,2,73,0.2877,0.7350,0.2593,0.3529,0.8082
Western Wood-Pewee,1,49,0.3265,0.4211,0.3265,0.3678,0.7959
Black-capped Chickadee,1,60,0.3333,0.6897,0.3333,0.4494,0.9167
Pacific Wren,1,21,0.3333,0.5000,0.3333,0.4000,0.9048
California Gull,2,66,0.3333,0.4743,0.3385,0.3926,0.7576
Bell's Vireo,1,29,0.3793,0.6875,0.3793,0.4889,0.7241
Pacific Loon,2,47,0.3830,0.6667,0.4241,0.5143,0.9362
Great Cormorant,2,64,0.3906,0.5146,0.3708,0.4295,0.8438
Juniper Titmouse,1,25,0.4000,0.5263,0.4000,0.4545,0.9200
Tundra Swan,1,28,0.4286,0.5455,0.4286,0.4800,0.9643
Swainson's Hawk,3,93,0.4301,0.3985,0.3968,0.3819,0.8280
Mew Gull,1,23,0.4348,0.4348,0.4348,0.4348,0.8696
Allen's Hummingbird,2,101,0.4356,0.6288,0.4362,0.5139,0.9604
Broad-winged Hawk,2,55,0.4364,0.5217,0.4357,0.4745,0.7091
American Crow,1,57,0.4386,0.3472,0.4386,0.3876,0.8947
Mourning Warbler,1,52,0.4423,0.6053,0.4423,0.5111,0.7692
Neotropic Cormorant,1,38,0.4474,0.5152,0.4474,0.4789,0.8684
Black Tern,1,35,0.4571,0.6667,0.4571,0.5424,0.7714
Vaux's Swift,1,28,0.4643,0.4062,0.4643,0.4333,1.0000
Cave Swallow,1,34,0.4706,0.5333,0.4706,0.5000,0.7059
Cordilleran Flycatcher,1,31,0.4839,0.4545,0.4839,0.4688,0.9355
Plumbeous Vireo,1,41,0.4878,0.5405,0.4878,0.5128,0.8780
Common Raven,1,57,0.4912,0.3590,0.4912,0.4148,0.9649
Western Gull,2,59,0.4915,0.5833,0.4516,0.4960,0.8475
Mississippi Kite,1,50,0.5000,0.6250,0.5000,0.5556,0.7200
Prairie Falcon,1,42,0.5000,0.6364,0.5000,0.5600,0.8571
Greater Yellowlegs,1,59,0.5254,0.6327,0.5254,0.5741,0.9831
Black Guillemot,2,32,0.5312,0.6136,0.5583,0.5847,0.8750
Glaucous-winged Gull,2,60,0.5333,0.7083,0.5359,0.6099,0.9167
Boat-tailed Grackle,1,60,0.5333,0.5517,0.5333,0.5424,0.8333
Costa's Hummingbird,2,58,0.5345,0.4938,0.4498,0.4666,0.8793
Sharp-shinned Hawk,2,116,0.5431,0.6116,0.5431,0.5753,0.9138
MacGillivray's Warbler,1,46,0.5435,0.6579,0.5435,0.5952,0.9565
Rough-legged Hawk,2,64,0.5469,0.5853,0.5208,0.5512,0.8438
Lark Bunting,2,51,0.5490,0.8235,0.5872,0.6746,0.8431
Hoary Redpoll,1,29,0.5517,0.6400,0.5517,0.5926,0.9655
Western Screech-Owl,1,34,0.5588,0.5429,0.5588,0.5507,0.9706
Black-chinned Hummingbird,2,109,0.5596,0.5711,0.5734,0.5721,0.9083
Broad-tailed Hummingbird,2,73,0.5616,0.6282,0.5129,0.5634,0.9452
Cliff Swallow,1,30,0.5667,0.4857,0.5667,0.5231,0.9000
Common Tern,1,60,0.5667,0.6939,0.5667,0.6239,0.9333
Merlin,1,58,0.5690,0.6735,0.5690,0.6168,0.8621
Golden Eagle,2,72,0.5694,0.5743,0.5548,0.5576,0.9167
Brewer's Blackbird,2,91,0.5714,0.6886,0.5970,0.6343,0.8681
Red-naped Sapsucker,1,54,0.5741,0.6596,0.5741,0.6139,0.9815
Chimney Swift,1,33,0.5758,0.5278,0.5758,0.5507,0.9394
Rusty Blackbird,1,48,0.5833,0.6667,0.5833,0.6222,0.8542
Great-tailed Grackle,1,60,0.5833,0.5385,0.5833,0.5600,0.9333
Red-tailed Hawk,3,150,0.5867,0.5607,0.5500,0.5523,0.8733
Peregrine Falcon,2,77,0.5974,0.7920,0.5684,0.6413,0.8442
Red-shouldered Hawk,2,76,0.6053,0.6606,0.6053,0.6263,0.8816
Black-crested Titmouse,1,33,0.6061,0.6897,0.6061,0.6452,0.9394
Brandt's Cormorant,1,33,0.6061,0.5882,0.6061,0.5970,0.9394
Calliope Hummingbird,2,89,0.6067,0.7065,0.6141,0.6488,0.9438
Western Sandpiper,1,51,0.6078,0.6078,0.6078,0.6078,0.9804
Pacific-slope Flycatcher,1,59,0.6102,0.7347,0.6102,0.6667,0.9153
Snow Goose,2,54,0.6111,0.7375,0.6058,0.6647,0.9444
Hairy Woodpecker,1,60,0.6167,0.6852,0.6167,0.6491,0.9500
Lesser Yellowlegs,1,60,0.6167,0.5606,0.6167,0.5873,0.9833
Semipalmated Sandpiper,1,60,0.6167,0.6607,0.6167,0.6379,0.9833
Trumpeter Swan,1,37,0.6216,0.5750,0.6216,0.5974,0.9730
Eastern Meadowlark,1,40,0.6250,0.8621,0.6250,0.7246,0.9750
Rufous Hummingbird,2,87,0.6322,0.5027,0.6308,0.5595,0.9770
Least Flycatcher,1,60,0.6333,0.6230,0.6333,0.6281,0.9167
Northern Harrier,2,120,0.6333,0.7719,0.6333,0.6503,0.8000
Hooded Oriole,2,78,0.6410,0.7508,0.6213,0.6794,0.9231
Cackling Goose,1,14,0.6429,0.8182,0.6429,0.7200,0.8571
Oak Titmouse,1,37,0.6486,0.6154,0.6486,0.6316,0.8919
Cape May Warbler,1,60,0.6500,0.9512,0.6500,0.7723,0.8167
Mexican Jay,1,26,0.6538,0.7391,0.6538,0.6939,1.0000
Florida Scrub-Jay,1,26,0.6538,0.7391,0.6538,0.6939,1.0000
Black-billed Cuckoo,1,32,0.6562,0.7500,0.6562,0.7000,0.9375
Brewer's Sparrow,1,35,0.6571,0.5227,0.6571,0.5823,0.9143
Red Crossbill,2,59,0.6610,0.8661,0.6847,0.7558,0.8475
Hutton's Vireo,1,39,0.6667,0.6190,0.6667,0.6420,0.9487
Common Redpoll,1,40,0.6750,0.7500,0.6750,0.7105,0.9750
Eastern Screech-Owl,1,50,0.6800,0.6296,0.6800,0.6538,1.0000
Black-tailed Gnatcatcher,1,22,0.6818,0.4286,0.6818,0.5263,0.9091
Black Scoter,2,41,0.6829,0.8583,0.7010,0.7594,0.9024
Herring Gull,2,101,0.6832,0.5340,0.6830,0.5994,0.9703
Downy Woodpecker,1,60,0.6833,0.6833,0.6833,0.6833,0.9667
Cooper's Hawk,2,117,0.6838,0.4972,0.6833,0.5746,0.9316
White-winged Scoter,2,57,0.6842,0.6736,0.6852,0.6756,0.9825
Mottled Duck,1,29,0.6897,0.6897,0.6897,0.6897,0.9655
Bay-breasted Warbler,2,62,0.6935,0.8261,0.6808,0.7308,0.8548
Caspian Tern,1,49,0.6939,0.5862,0.6939,0.6355,1.0000
Eastern Wood-Pewee,1,49,0.6939,0.4658,0.6939,0.5574,0.9796
Ross's Goose,1,23,0.6957,0.5926,0.6957,0.6400,1.0000
Golden-fronted Woodpecker,1,33,0.6970,0.8846,0.6970,0.7797,0.9394
Tennessee Warbler,1,60,0.7000,0.5600,0.7000,0.6222,0.9333
Warbling Vireo,1,60,0.7000,0.8400,0.7000,0.7636,0.9667
American Black Duck,1,37,0.7027,0.8667,0.7027,0.7761,0.9730
Townsend's Solitaire,1,37,0.7027,0.6341,0.7027,0.6667,0.9189
Brown-capped Rosy-Finch,1,34,0.7059,0.8000,0.7059,0.7500,0.9412
Royal Tern,1,38,0.7105,0.7297,0.7105,0.7200,0.9474
Nuttall's Woodpecker,1,45,0.7111,0.7111,0.7111,0.7111,1.0000
Yellow-bellied Sapsucker,1,59,0.7119,0.6000,0.7119,0.6512,0.9831
Louisiana Waterthrush,1,42,0.7143,0.6818,0.7143,0.6977,1.0000
Northern Rough-winged Swallow,1,42,0.7143,0.6250,0.7143,0.6667,0.9048
Western Grebe,1,42,0.7143,0.9091,0.7143,0.8000,1.0000
Cassin's Kingbird,1,35,0.7143,0.7353,0.7143,0.7246,1.0000
Vesper Sparrow,1,60,0.7167,0.6825,0.7167,0.6992,0.9667
Curve-billed Thrasher,1,46,0.7174,0.8919,0.7174,0.7952,0.9565
Ring-billed Gull,2,96,0.7188,0.5739,0.7028,0.6316,0.9271
Gadwall,2,75,0.7200,0.6067,0.6039,0.6051,0.9467
Northern Gannet,2,80,0.7250,0.7857,0.6500,0.7079,0.9250
Lesser Goldfinch,2,95,0.7263,0.7369,0.6768,0.7026,0.8842
Anna's Hummingbird,2,106,0.7264,0.6875,0.7244,0.7054,0.9528
Pigeon Guillemot,2,59,0.7288,0.7222,0.7045,0.7116,0.9492
Blue Grosbeak,2,100,0.7300,0.8136,0.7147,0.7589,0.9700
Red-necked Grebe,2,60,0.7333,0.8307,0.7353,0.7785,0.9500
Yellow-rumped Warbler,4,214,0.7336,0.6976,0.7207,0.7066,0.9860
Lesser Scaup,2,79,0.7342,0.5400,0.7438,0.6255,0.9494
Ruby-throated Hummingbird,2,114,0.7368,0.6272,0.7398,0.6761,0.9737
Gray Jay,1,54,0.7407,0.9524,0.7407,0.8333,0.9259
Eastern Phoebe,1,60,0.7500,0.7377,0.7500,0.7438,0.9500
Glossy Ibis,1,44,0.7500,0.8462,0.7500,0.7952,0.9773
Hermit Thrush,1,60,0.7500,0.7500,0.7500,0.7500,0.9167
Pine Warbler,1,48,0.7500,0.7500,0.7500,0.7500,0.8333
Blue-gray Gnatcatcher,1,60,0.7500,0.7895,0.7500,0.7692,0.9500
Orchard Oriole,3,93,0.7527,0.6994,0.7005,0.6966,0.9140
Harris's Sparrow,2,61,0.7541,0.8106,0.7565,0.7826,0.9836
Rufous-crowned Sparrow,1,41,0.7561,0.7750,0.7561,0.7654,0.9512
Violet-green Swallow,1,37,0.7568,0.9032,0.7568,0.8235,0.8108
Cassin's Finch,2,62,0.7581,0.8611,0.7105,0.7730,0.9516
Winter Wren,1,54,0.7593,0.6508,0.7593,0.7009,0.9815
Broad-billed Hummingbird,2,71,0.7606,0.7976,0.6512,0.6934,0.9296
Black-legged Kittiwake,2,42,0.7619,0.6992,0.7597,0.7245,0.9286
White-faced Ibis,1,34,0.7647,0.7429,0.7647,0.7536,0.9706
Yellow Warbler,1,60,0.7667,0.8519,0.7667,0.8070,0.9167
Common Loon,2,120,0.7667,0.7792,0.7667,0.7571,0.9000
