order,n_classes,support,accuracy,macro_precision,macro_recall,macro_f1,top5_recall
Swifts and Hummingbirds,21,909,0.6535,0.6520,0.6378,0.6335,0.9494
"Frigatebirds, Boobies, Cormorants, Darters, and Allies",10,407,0.7346,0.7337,0.6792,0.6794,0.9484
Skuas and Alcids,4,91,0.7473,0.7261,0.7048,0.7072,0.9451
"Hawks, Kites, Eagles, and Allies",29,1260,0.7643,0.7721,0.7494,0.7560,0.9556
"Gulls, Terns, and Allies",26,1038,0.7755,0.7529,0.7414,0.7396,0.9547
Loons,6,226,0.7832,0.7792,0.7571,0.7652,0.9823
Caracaras and Falcons,7,346,0.8266,0.8361,0.7933,0.8051,0.9624
Woodpeckers,16,843,0.8624,0.8640,0.8611,0.8610,0.9893
Grebes,9,375,0.8640,0.8797,0.8537,0.8643,0.9787
"Ducks, Geese, and Swans",70,2420,0.8649,0.8607,0.8363,0.8361,0.9744
Perching Birds,265,12539,0.8734,0.8711,0.8529,0.8560,0.9771
Owls,9,426,0.8991,0.8889,0.8895,0.8886,0.9812
"Plovers, Sandpipers, and Allies",32,1573,0.9135,0.9217,0.9142,0.9160,0.9898
"Pelicans, Herons, Ibises, and Allies",21,983,0.9227,0.9236,0.9115,0.9146,0.9888
Cranes and Rails,6,200,0.9250,0.9285,0.8554,0.8789,0.9950
Cuckoos,3,113,0.9292,0.9370,0.9233,0.9283,0.9912
Pigeons and Doves,7,359,0.9359,0.9611,0.9351,0.9475,0.9777
Nightjars,1,39,0.9487,0.9024,0.9487,0.9250,0.9744
"Grouse, Quail, and Allies",10,342,0.9678,0.9371,0.9509,0.9427,0.9912
Storks,1,56,0.9821,0.9483,0.9821,0.9649,1.0000
Kingfishers and Allies,1,60,0.9833,0.9672,0.9833,0.9752,0.9833
Parrots,1,28,1.0000,1.0000,1.0000,1.0000,1.0000
