true_class,pred_class,count,same_species,same_order
Black-capped Chickadee,Carolina Chickadee,28,False,True
"Allen's Hummingbird (Female, immature)","Rufous Hummingbird (Female, immature)",27,False,True
Greater Yellowlegs,Lesser Yellowlegs,27,False,True
Red-naped Sapsucker,Yellow-bellied Sapsucker,26,False,True
Great-tailed Grackle,Boat-tailed Grackle,24,False,True
Greater Scaup (Female/Eclipse male),Lesser Scaup (Female/Eclipse male),24,False,True
Greater Scaup (Breeding male),Lesser Scaup (Breeding male),23,False,True
Sharp-shinned Hawk (Adult ),Cooper's Hawk (Adult),21,False,True
Barrow's Goldeneye (Female/Eclipse male),Common Goldeneye (Female/Eclipse male),20,False,True
Allen's Hummingbird (Adult Male),Rufous Hummingbird (Adult Male),20,False,True
Cassin's Vireo,Blue-headed Vireo,19,False,True
Western Sandpiper,Semipalmated Sandpiper,19,False,True
Brewer's Blackbird (Male),Boat-tailed Grackle,19,False,True
Eastern Screech-Owl,Western Screech-Owl,17,False,True
Sharp-shinned Hawk (Immature),Cooper's Hawk (Immature),17,False,True
Downy Woodpecker,Hairy Woodpecker,17,False,True
Tundra Swan,Trumpeter Swan,17,False,True
American Crow,Fish Crow,16,False,True
"Ruby-throated Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",16,False,True
Barrow's Goldeneye (Breeding male),Common Goldeneye (Breeding male),16,False,True
Chihuahuan Raven,Common Raven,16,False,True
Western Wood-Pewee,Eastern Wood-Pewee,16,False,True
Pacific Wren,Winter Wren,16,False,True
"Calliope Hummingbird (Female, immature)","Broad-tailed Hummingbird (Female, immature)",15,False,True
Northern Flicker (Red-shafted),Northern Flicker (Yellow-shafted),14,True,True
Hairy Woodpecker,Downy Woodpecker,14,False,True
Boat-tailed Grackle,Great-tailed Grackle,13,False,True
Cooper's Hawk (Adult),Sharp-shinned Hawk (Adult ),13,False,True
Rufous Hummingbird (Adult Male),Allen's Hummingbird (Adult Male),13,False,True
Snow Goose (White morph),Ross's Goose,13,False,True
Eastern Wood-Pewee,Western Wood-Pewee,13,False,True
Plumbeous Vireo,Cassin's Vireo,13,False,True
Yellow-rumped Warbler (Winter/juvenile Audubon's),Yellow-rumped Warbler (Breeding Audubon's),12,True,True
Northern Harrier (Adult male),"Northern Harrier (Female, immature)",12,True,True
Chimney Swift,Vaux's Swift,12,False,True
"Black-chinned Hummingbird (Female, immature)","Ruby-throated Hummingbird (Female, immature)",12,False,True
Eastern Meadowlark,Western Meadowlark,12,False,True
Common Raven,American Crow,11,False,True
Western Screech-Owl,Eastern Screech-Owl,11,False,True
Orchard Oriole (Female/Juvenile),Hooded Oriole (Female/Immature male),11,False,True
Pacific-slope Flycatcher,Cordilleran Flycatcher,11,False,True
California Gull (Adult),Mew Gull,11,False,True
Vaux's Swift,Chimney Swift,11,False,True
Peregrine Falcon (Immature),Peregrine Falcon (Adult),10,True,True
Common Tern,Forster's Tern,10,False,True
Louisiana Waterthrush,Northern Waterthrush,10,False,True
European Starling (Nonbreeding Adult),European Starling (Breeding Adult),10,True,True
MacGillivray's Warbler,Mourning Warbler,10,False,True
Least Sandpiper,Semipalmated Sandpiper,10,False,True
Glossy Ibis,White-faced Ibis,10,False,True
Black-crested Titmouse,Tufted Titmouse,9,False,True
Sharp-shinned Hawk (Immature),Sharp-shinned Hawk (Adult ),9,True,True
Bank Swallow,Northern Rough-winged Swallow,9,False,True
Common Raven,Fish Crow,9,False,True
Great Cormorant (Immature),Double-crested Cormorant (Immature),9,False,True
Herring Gull (Immature),California Gull (Immature),9,False,True
Glaucous-winged Gull (Adult),Herring Gull (Adult),9,False,True
Swainson's Hawk (Light morph ),Swainson's Hawk (Dark morph ),9,True,True
"Broad-tailed Hummingbird (Female, immature)","Calliope Hummingbird (Female, immature)",9,False,True
"Costa's Hummingbird (Female, immature)","Black-chinned Hummingbird (Female, immature)",8,False,True
