class_idx,class_name,species,order,support,TP,FP,FN,precision,recall,f1,accuracy,top5_recall,most_confused_with
208,Western Gull (Immature),Western Gull,"Gulls, Terns, and Allies",26,1,10,25,0.0909,0.0385,0.0541,0.0385,0.6154,California Gull (Immature) (6)
228,Greater Scaup (Female/Eclipse male),Greater Scaup,"Ducks, Geese, and Swans",30,1,2,29,0.3333,0.0333,0.0606,0.0333,0.7000,Lesser Scaup (Female/Eclipse male) (24)
282,"Allen's Hummingbird (Female, immature)",Allen's Hummingbird,Swifts and Hummingbirds,41,4,1,37,0.8000,0.0976,0.1739,0.0976,0.8780,"Rufous Hummingbird (Female, immature) (27)"
209,California Gull (Immature),California Gull,"Gulls, Terns, and Allies",25,5,19,20,0.2083,0.2000,0.2041,0.2000,0.8000,Herring Gull (Immature) (4)
278,"Costa's Hummingbird (Female, immature)",Costa's Hummingbird,Swifts and Hummingbirds,21,5,21,16,0.1923,0.2381,0.2128,0.2381,0.9524,"Black-chinned Hummingbird (Female, immature) (8)"
236,Barrow's Goldeneye (Female/Eclipse male),Barrow's Goldeneye,"Ducks, Geese, and Swans",25,3,0,22,1.0000,0.1200,0.2143,0.1200,1.0000,Common Goldeneye (Female/Eclipse male) (20)
487,Cassin's Vireo,Cassin's Vireo,Perching Birds,36,7,21,29,0.2500,0.1944,0.2188,0.1944,0.9167,Blue-headed Vireo (19)
345,Chihuahuan Raven,Chihuahuan Raven,Perching Birds,27,5,7,22,0.4167,0.1852,0.2564,0.1852,0.9259,Common Raven (16)
344,Fish Crow,Fish Crow,Perching Birds,30,12,35,18,0.2553,0.4000,0.3117,0.4000,0.9333,American Crow (8)
276,"Black-chinned Hummingbird (Female, immature)",Black-chinned Hummingbird,Swifts and Hummingbirds,59,23,47,36,0.3286,0.3898,0.3566,0.3898,0.8136,"Ruby-throated Hummingbird (Female, immature) (12)"
519,Dark-eyed Junco (White-winged),Dark-eyed Junco,Perching Birds,9,2,0,7,1.0000,0.2222,0.3636,0.2222,0.8889,Dark-eyed Junco (Slate-colored) (6)
377,Pacific Wren,Pacific Wren,Perching Birds,21,5,1,16,0.8333,0.2381,0.3704,0.2381,1.0000,Winter Wren (16)
251,Great Cormorant (Immature),Great Cormorant,"Frigatebirds, Boobies, Cormorants, Darters, and Allies",24,8,11,16,0.4211,0.3333,0.3721,0.3333,0.9583,Double-crested Cormorant (Immature) (9)
187,Vaux's Swift,Vaux's Swift,Swifts and Hummingbirds,28,10,14,18,0.4167,0.3571,0.3846,0.3571,0.9643,Chimney Swift (11)
343,Northwestern Crow,Northwestern Crow,Perching Birds,19,7,10,12,0.4118,0.3684,0.3889,0.3684,0.9474,American Crow (5)
82,California Gull (Adult),California Gull,"Gulls, Terns, and Allies",41,13,12,28,0.5200,0.3171,0.3939,0.3171,0.9024,Mew Gull (11)
280,"Broad-tailed Hummingbird (Female, immature)",Broad-tailed Hummingbird,Swifts and Hummingbirds,29,14,27,15,0.3415,0.4828,0.4000,0.4828,0.8621,"Calliope Hummingbird (Female, immature) (9)"
351,Bank Swallow,Bank Swallow,Perching Birds,27,7,1,20,0.8750,0.2593,0.4000,0.2593,0.8889,Northern Rough-winged Swallow (9)
279,"Calliope Hummingbird (Female, immature)",Calliope Hummingbird,Swifts and Hummingbirds,48,19,23,29,0.4524,0.3958,0.4222,0.3958,0.9583,"Broad-tailed Hummingbird (Female, immature) (15)"
87,Mew Gull,Mew Gull,"Gulls, Terns, and Allies",23,12,21,11,0.3636,0.5217,0.4286,0.5217,0.9130,Ring-billed Gull (Adult) (5)
100,Tundra Swan,Tundra Swan,"Ducks, Geese, and Swans",28,10,6,18,0.6250,0.3571,0.4545,0.3571,1.0000,Trumpeter Swan (17)
550,Fox Sparrow (Thick-billed/Slate-colored),Fox Sparrow,Perching Birds,16,5,1,11,0.8333,0.3125,0.4545,0.3125,0.9375,Fox Sparrow (Sooty) (8)
288,Swainson's Hawk (Immature),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",24,12,15,12,0.4444,0.5000,0.4706,0.5000,0.8333,Red-tailed Hawk (Light morph immature) (4)
3,Swainson's Hawk (Dark morph ),Swainson's Hawk,"Hawks, Kites, Eagles, and Allies",30,17,25,13,0.4048,0.5667,0.4722,0.5667,0.9333,Swainson's Hawk (Immature) (6)
501,American Crow,American Crow,Perching Birds,57,27,29,30,0.4821,0.4737,0.4779,0.4737,0.9825,Fish Crow (16)
